HR Split,Overall
Dates,="9/16/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,8:40 PM,Mason Adams,vs,1.93,0.88,2.31,2.50,10.9%,33.3%,58.7%,32.6%,5.9%,154
2,1:15 PM,Matthew Liberatore,vs,1.26,0.12,1.46,2.04,11.7%,22.9%,44.0%,31.2%,8.1%,1385
3,7:40 PM,Shota Imanaga,vs,1.09,1.21,0.77,2.05,10.1%,21.9%,40.1%,34.9%,6.3%,1365
4,8:05 PM,Jake Bennett,@,0.93,-1.45,1.30,1.69,12.2%,20.4%,43.4%,30.2%,7.3%,531
5,6:40 PM,Andrew Abbott,vs,0.88,2.06,0.01,2.03,10.3%,16.1%,39.8%,30.8%,6.8%,1462
6,1:40 PM,Zebby Matthews,vs,0.65,0.99,0.02,1.62,10.3%,19.0%,41.5%,29.7%,7.0%,967
7,1:15 PM,Anthony Molina,@,0.52,0.89,0.07,1.59,8.2%,16.6%,39.9%,32.0%,8.8%,334
8,3:07 PM,Max Scherzer,vs,0.51,0.52,0.42,1.51,9.6%,14.4%,36.6%,36.6%,7.1%,825
9,7:40 PM,JR Ritchie,@,0.51,-0.06,0.72,1.33,12.1%,17.0%,39.3%,30.7%,6.2%,320
10,9:38 PM,Yusei Kikuchi,vs,0.41,-0.52,0.70,1.33,8.8%,21.2%,44.7%,23.9%,9.9%,1111
11,6:45 PM,Zack Wheeler,@,0.28,0.87,-0.28,1.56,8.3%,19.8%,34.9%,27.8%,5.2%,1279
12,8:40 PM,Robbie Ray,@,0.21,-0.51,0.49,1.33,8.5%,13.2%,40.0%,32.1%,6.5%,1523
13,3:07 PM,Keider Montero,@,0.10,0.62,-0.75,1.31,7.4%,14.1%,35.5%,31.4%,7.9%,1103
14,6:40 PM,Logan Henderson,@,0.07,0.41,-0.30,1.04,8.1%,12.6%,37.1%,35.3%,8.8%,538
15,8:10 PM,Cristian Javier,vs,0.04,-0.53,0.93,1.22,8.6%,9.8%,31.3%,35.7%,7.2%,494
16,1:10 PM,Anthony Kay,@,0.03,-1.05,0.49,1.36,7.1%,20.4%,38.2%,22.3%,6.4%,763
17,9:38 PM,George Kirby,@,-0.12,0.31,-0.34,1.23,6.4%,19.2%,39.6%,21.2%,7.1%,1426
18,6:40 PM,Jared Jones,vs,-0.18,0.38,-0.69,0.95,8.0%,13.9%,37.8%,29.2%,6.6%,464
19,1:40 PM,Carlos Rodon,@,-0.20,0.05,-0.15,0.96,7.4%,9.7%,41.6%,31.1%,7.1%,1215
20,7:10 PM,Chris Bassitt,@,-0.20,0.15,-0.33,1.14,6.3%,15.7%,36.4%,24.9%,7.8%,1304
21,9:40 PM,Merrill Kelly,vs,-0.23,0.15,-0.44,1.12,8.7%,10.8%,35.7%,26.5%,4.8%,1525
22,9:40 PM,Ryan Gusto,@,-0.25,0.23,-0.43,0.81,8.9%,8.8%,42.0%,25.1%,9.7%,910
23,7:10 PM,Robert Stock,vs,-0.41,-0.21,-0.63,0.73,8.3%,7.8%,40.1%,27.2%,8.0%,245
24,6:40 PM,Nick Martinez,vs,-0.42,-0.47,0.06,1.03,5.8%,12.1%,31.6%,28.6%,6.9%,1464
25,8:10 PM,Daniel Lynch IV,@,-0.49,-0.69,-0.13,0.83,6.0%,11.4%,39.3%,25.3%,8.0%,676
26,8:05 PM,MacKenzie Gore,vs,-0.65,-0.31,-0.49,0.57,8.1%,7.2%,38.2%,26.9%,6.2%,1490
27,1:10 PM,Parker Messick,vs,-0.84,0.18,-0.98,0.75,4.0%,13.2%,30.6%,23.8%,7.4%,970
28,6:40 PM,Brady Basso,@,-1.38,-1.16,-0.72,0.30,5.2%,3.6%,31.0%,20.8%,6.7%,266
29,6:40 PM,Blake Snell,@,-2.10,-1.72,-1.50,0.09,1.9%,2.1%,16.8%,21.5%,3.8%,652
30,6:45 PM,Jared Simpson,vs,-,-,-,0.00,0.0%,0.0%,28.6%,28.6%,4.5%,28
