Split,Season
Range,L10
Dates,="6/15/2026"
Games,10

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
8:05 PM,Michael Lorenzen,@,48.2,227,4.42,0.330,0.386,1.79,0.184,0.515,7,1.29,106,19.7%,18.5%,18.4%,8.7%,7.77,19,8.4%,61.2%,6.7%,166,41.0%,17,10.2%,25.9%,16.3%,18.1%
7:10 PM,Tobias Myers,@,11.1,51,6.72,0.292,0.413,1.50,0.375,0.667,4,3.18,32,15.4%,19.6%,23.8%,8.6%,7.94,3,5.9%,68.6%,12.3%,38,55.3%,5,13.2%,39.5%,26.7%,31.6%
6:40 PM,Ryan Gusto,@,9.0,40,1.77,0.289,0.302,1.44,0.079,0.368,0,-,14,16.4%,22.5%,20.5%,7.9%,9.00,2,5.0%,62.5%,6.6%,29,48.3%,3,10.3%,10.3%,-,17.2%
10:10 PM,Nick Martinez,@,59.1,252,3.20,0.272,0.298,1.25,0.113,0.385,3,0.46,92,17.7%,13.1%,19.0%,9.0%,5.01,9,3.6%,65.5%,7.3%,208,30.8%,13,6.2%,26.4%,5.5%,19.2%
9:40 PM,Ryne Nelson,vs,56.1,240,5.71,0.268,0.350,1.30,0.241,0.509,13,2.08,112,19.8%,15.8%,14.6%,10.8%,6.07,14,5.8%,64.9%,7.3%,184,41.3%,20,10.9%,40.2%,17.6%,16.3%
6:45 PM,Mitch Spence,@,4.0,21,8.60,0.267,0.439,2.25,0.333,0.600,1,2.25,9,19.4%,14.3%,17.6%,7.1%,6.75,5,23.8%,52.4%,3.6%,13,38.5%,1,7.7%,23.1%,33.3%,23.1%
9:40 PM,Jared Jones,@,13.2,58,4.05,0.264,0.335,1.39,0.189,0.453,2,1.32,24,34.9%,24.1%,22.6%,16.7%,9.22,5,8.6%,57.6%,7.5%,39,46.2%,4,10.3%,35.9%,14.3%,17.9%
6:45 PM,Andrew Alvarez,vs,23.2,103,3.40,0.261,0.328,1.48,0.152,0.413,2,0.76,38,28.4%,25.2%,20.2%,12.8%,9.89,11,10.7%,46.6%,7.2%,66,45.5%,5,7.6%,9.1%,33.3%,18.2%
8:10 PM,Kai-Wei Teng,vs,33.2,154,4.64,0.258,0.346,1.54,0.167,0.424,4,1.07,56,26.4%,21.4%,19.2%,11.4%,8.82,18,11.7%,61.1%,6.8%,99,40.4%,6,6.1%,23.2%,17.4%,15.2%
8:05 PM,MacKenzie Gore,vs,50.1,224,3.68,0.255,0.323,1.45,0.155,0.410,4,0.72,82,24.2%,20.5%,17.1%,12.0%,8.23,22,9.8%,62.5%,7.7%,155,45.2%,13,8.4%,26.5%,9.8%,20.0%
10:10 PM,Eric Lauer,vs,46.1,203,6.96,0.255,0.353,1.38,0.261,0.516,14,2.72,95,17.4%,13.3%,11.5%,8.8%,5.24,17,8.4%,64.9%,5.4%,159,39.0%,18,11.3%,41.5%,19.7%,22.0%
8:05 PM,Shota Imanaga,vs,59.1,245,5.66,0.236,0.329,1.16,0.244,0.480,15,2.28,108,29.5%,20.4%,22.0%,14.8%,7.58,16,6.5%,55.1%,5.9%,176,37.5%,19,10.8%,30.7%,27.8%,17.6%
7:45 PM,Dustin May,vs,58.0,237,2.91,0.231,0.276,1.16,0.093,0.324,3,0.47,70,22.4%,23.2%,19.4%,10.7%,8.53,17,7.2%,59.6%,6.5%,163,45.4%,10,6.1%,21.5%,5.7%,14.1%
9:40 PM,J.T. Ginn,vs,54.0,227,4.04,0.215,0.293,1.22,0.135,0.350,6,1.00,70,28.1%,23.8%,24.3%,13.0%,9.00,23,10.1%,55.9%,6.4%,146,40.4%,10,6.8%,20.5%,13.3%,14.4%
8:10 PM,Troy Melton,@,25.1,102,5.39,0.213,0.292,1.03,0.202,0.415,5,1.78,39,17.6%,13.7%,16.9%,8.9%,4.97,6,5.9%,50.0%,6.0%,81,37.0%,5,6.2%,24.7%,10.0%,16.0%
9:40 PM,Walbert Urena,@,54.0,227,3.93,0.193,0.279,1.24,0.104,0.297,4,0.67,57,28.2%,23.3%,21.5%,12.1%,8.83,30,13.2%,51.1%,6.0%,141,32.6%,8,5.7%,25.5%,8.3%,14.9%
7:10 PM,Chase Burns,vs,59.0,226,2.81,0.185,0.246,0.92,0.142,0.327,6,0.92,69,32.8%,31.0%,23.7%,16.1%,10.68,15,6.6%,58.6%,6.4%,141,36.9%,11,7.8%,27.0%,13.2%,17.0%
6:40 PM,Zack Wheeler,vs,56.1,213,3.58,0.182,0.249,0.85,0.157,0.338,7,1.12,67,26.6%,24.9%,20.0%,13.6%,8.47,12,5.6%,68.1%,6.2%,146,36.3%,12,8.2%,25.3%,18.9%,17.8%
