Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Tyler Soderstrom,LHB,ATH,Payton Tolle,L,52.6,7,10.6,21.9,16.4
Tyler O'Neill,RHB,BAL,Nathan Eovaldi,R,40.6,11,10.2,21.4,16.3
Trevor Larnach,LHB,MIN,Shane Drohan,L,35.1,10.7,10.7,23.4,16.3
Colt Keith,LHB,DET,JT Brubaker,R,52,7.2,16.2,14.7,16.3
Ali Sanchez,RHB,NYY,Tyler Mahle,R,42.5,,,47.9,16.2
Rhys Hoskins,RHB,CLE,Noah Schultz,L,16.5,7.9,19.2,23.6,16.1
Ildemaro Vargas,SHB,ARI,Roki Sasaki,R,34.9,8,,39.3,16.1
Elias Diaz,RHB,TEX,Shane Baz,R,28.6,7.1,9.6,31.1,16
Xander Bogaerts,RHB,SD,Ronel Blanco,R,68.9,1.5,7.7,25.1,16
Ian Happ,SHB,CHC,Daniel Lynch IV,L,36,8.2,8.4,28.2,16
Cole Young,LHB,SEA,Drew Rasmussen,R,18.7,21.7,12,11.6,16
Masataka Yoshida,LHB,BOS,Jack Perkins,R,36.6,,13.7,32.5,15.9
Ernie Clement,RHB,TOR,Zack Wheeler,R,20.7,5.4,11.5,33.2,15.7
Yainer Diaz,RHB,HOU,Robbie Ray,L,27.7,5.8,,43.1,15.6
Miguel Amaya,RHB,CHC,Daniel Lynch IV,L,48.8,,,42.8,15.6
Luis Lara,SHB,MIL,Zebby Matthews,R,13.5,9.6,,43.1,15.5
Anthony Seigler,SHB,BOS,Jack Perkins,R,28.6,,7.6,41.2,15.4
Shohei Ohtani,LHB,LAD,Merrill Kelly,R,40.3,3.2,8.2,30.6,15.3
Brooks Lee,SHB,MIN,Shane Drohan,L,27,8.4,5,32.8,15.3
Teoscar Hernandez,RHB,LAD,Merrill Kelly,R,41.4,13.3,7.7,16.4,15.2
Brandon Lockridge,RHB,MIL,Zebby Matthews,R,37.9,11.4,,29.8,15.2
Vaughn Grissom,RHB,LAA,Tyler Phillips,R,31.9,9.6,15,16.8,15.2
Jose Fermin,RHB,STL,Ryan Feltner,R,33.5,8.5,10.1,23.4,15.2
Victor Robles,RHB,SEA,Drew Rasmussen,R,56.1,4.6,,32,15.2
Nolan Arenado,RHB,ARI,Roki Sasaki,R,31.4,8,7.1,28.1,15.1
Luis Torrens,RHB,NYM,Carmen Mlodzinski,R,49.7,,8.5,30.3,15.1
Andruw Monasterio,RHB,BOS,Jack Perkins,R,28.7,15.5,9.5,15.6,15
Tommy Edman,SHB,LAD,Merrill Kelly,R,33.5,8.2,,35,15
Jorge Barrosa,SHB,ARI,Roki Sasaki,R,31.3,9.1,,34.6,15
Caleb Durbin,RHB,BOS,Jack Perkins,R,25.5,5.5,14.7,24.5,15
Jake Bauers,LHB,MIL,Zebby Matthews,R,32.8,8.9,9.2,22.9,14.9
Taylor Ward,RHB,SEA,Drew Rasmussen,R,30.3,11.3,,31.8,14.9
Alex Call,RHB,LAD,Merrill Kelly,R,19.1,5.3,,44.5,14.9
Austin Riley,RHB,ATL,Max Fried,L,31.5,10.3,7.4,23.7,14.9
Jose Caballero,RHB,NYY,Tyler Mahle,R,17.9,6.8,6.8,34.6,14.9
Cooper Pratt,RHB,MIL,Zebby Matthews,R,25.7,9.1,,35.2,14.6
Jake Mangum,SHB,PIT,Zach Thornton,L,49.9,,,38.5,14.6
Paul Goldschmidt,RHB,NYY,Tyler Mahle,R,24.6,9.8,11.7,20.5,14.5
Spencer Jones,LHB,NYY,Tyler Mahle,R,30.7,,,45.9,14.5
Eduardo Valencia,RHB,DET,JT Brubaker,R,21.8,7.7,14,21.8,14.5
Ezequiel Duran,RHB,TEX,Shane Baz,R,37.9,4.1,7.2,28.6,14.5
JJ Wetherholt,LHB,STL,Ryan Feltner,R,20.5,3.2,,45.1,14.4
Otto Lopez,RHB,MIA,George Klassen,R,37.2,6.5,6.5,25.8,14.4
Jonny DeLuca,RHB,TB,Logan Gilbert,R,31.3,6.7,14,18.9,14.4
Jose Tena,LHB,WSH,Chase Petty,R,24,7.7,7,28.5,14.3
Carlos Narvaez,RHB,BAL,Nathan Eovaldi,R,37.9,,8.4,31,14.1
Christian Koss,RHB,SF,Keider Montero,R,25.7,10,,31.7,14
Miguel Rojas,RHB,LAD,Merrill Kelly,R,24.2,7.7,,35.4,14
Josh Lowe,LHB,LAA,Tyler Phillips,R,28.2,8.2,8.2,23.1,13.9
Troy Johnston,LHB,COL,Kyle Leahy,R,29.8,,,43.5,13.9
Drew Cavanaugh,LHB,SF,Keider Montero,R,38.9,9.6,,26.2,13.8
Andres Gimenez,LHB,TOR,Zack Wheeler,R,24.4,10.4,9.5,19.3,13.8
Colton Cowser,LHB,BAL,Nathan Eovaldi,R,30.5,25.7,5.6,,13.7
Jakob Marsee,LHB,MIA,George Klassen,R,39.1,4.2,6,25.1,13.5
Javier Baez,RHB,DET,JT Brubaker,R,38.5,,18.4,16.6,13.5
Austin Wynns,RHB,TEX,Shane Baz,R,43.1,,,36.9,13.5
Josh Bell,SHB,MIN,Shane Drohan,L,19,18.5,,18.9,13.1
Alex Bregman,RHB,CHC,Daniel Lynch IV,L,16.3,3.7,9.1,29.5,13
Lane Thomas,RHB,ATL,Max Fried,L,26.2,5.1,7.7,24.7,12.9
J.T. Realmuto,RHB,PHI,Jose Soriano,R,17.8,11,7.6,20.1,12.9
Luisangel Acuna,RHB,CWS,Parker Messick,L,17.7,,,44.4,12.9
Weston Wilson,RHB,SEA,Drew Rasmussen,R,25,11.5,11.5,11.5,12.8
Freddie Freeman,LHB,LAD,Merrill Kelly,R,19.5,7.6,,32.9,12.8
Nico Hoerner,RHB,CHC,Daniel Lynch IV,L,41.3,,,34.2,12.7
Brandon Valenzuela,SHB,TOR,Zack Wheeler,R,29.7,4,5.3,26.6,12.6
David Hamilton,LHB,MIL,Zebby Matthews,R,41.4,9,5.2,15.2,12.6
Ben Williamson,RHB,TB,Logan Gilbert,R,18.8,6.2,14.1,16.4,12.4
Brayan Rocchio,SHB,CLE,Noah Schultz,L,28,11,,22,12.2
Javier Sanoja,RHB,MIA,George Klassen,R,7.3,8,14.3,17.7,12.2
Endy Rodriguez,SHB,PIT,Zach Thornton,L,48.2,12.1,,12.1,12.1
Wade Meckler,LHB,LAA,Tyler Phillips,R,35.5,9.6,,20.3,12
Bo Bichette,RHB,NYM,Carmen Mlodzinski,R,35.5,,3.5,29.5,12
Hunter Feduccia,LHB,LAD,Merrill Kelly,R,20.6,8.2,,28.1,12
Jeremiah Jackson,RHB,BAL,Nathan Eovaldi,R,45.9,,,29.3,11.9
Davis Schneider,RHB,TOR,Zack Wheeler,R,21.9,8.5,8.5,16.7,11.9
Sam Antonacci,LHB,CWS,Parker Messick,L,5.3,11.1,,29.4,11.8
Edmundo Sosa,RHB,PHI,Jose Soriano,R,23.1,9.5,7.9,15.2,11.8
Xavier Edwards,SHB,MIA,George Klassen,R,29.3,5.5,6.2,20.2,11.8
Nicky Lopez,LHB,TEX,Shane Baz,R,,,,47,11.8
Austin Martin,RHB,MIN,Shane Drohan,L,23.9,8.1,,26.2,11.8
Ryan Kreidler,RHB,MIN,Shane Drohan,L,30,,,35.3,11.8
Austin Hedges,RHB,CLE,Noah Schultz,L,17.8,6.2,8.8,20.1,11.6
Gunnar Henderson,LHB,BAL,Nathan Eovaldi,R,28.1,,6,28,11.6
Geraldo Perdomo,SHB,ARI,Roki Sasaki,R,26.6,7.4,7.7,15.6,11.5
James Outman,LHB,DET,JT Brubaker,R,23,5.1,7.5,20.4,11.4
Vladimir Guerrero Jr.,RHB,TOR,Zack Wheeler,R,31.4,8.5,,21.1,11.4
Luis Garcia Jr.,LHB,NYY,Tyler Mahle,R,35,3.4,13.8,10.2,11.4
Jhonny Pereda,RHB,SEA,Drew Rasmussen,R,28,,,33.9,11.3
Luis Robert,RHB,NYM,Carmen Mlodzinski,R,36.1,,,30.5,11.2
Brett Sullivan,LHB,COL,Kyle Leahy,R,15.3,,6,30.8,11
