Matchup,PIT @ COL
Pitcher,Tomoyuki Sugano
Pitcher Team,COL
Opposing Team,PIT

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,73.1,313,0.269,0.349,0.495,0.226,1.34,13,1.60,7.0%,17.2%,13.1%,12.4%,7.7%,5.03,60.2%,8.7%,14.5%,45.2%,30.6%,13.2%,20.2%
vsLHB,35.0,156,0.270,0.378,0.560,0.291,1.51,9,2.31,9.6%,21.5%,12.8%,14.2%,9.6%,5.14,58.3%,8.3%,17.4%,43.8%,33.1%,20.0%,19.8%
vsRHB,37.2,157,0.268,0.319,0.430,0.162,1.19,4,0.96,4.5%,13.3%,13.4%,11.1%,6.0%,5.02,62.0%,9.2%,11.8%,46.5%,28.3%,5.6%,20.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Henry Davis RHB,—,N/A,22,23,3.00,2,2,0.158,0.304,0.474,0.316,0.337,13.0%,24.3%,26.1%,11.0%,83.7,281.4,4,2,15.4%,15.4%,53.8%,53.8%,30.8%,73.5,33.3%,26.7%,16.7%,83.3%,23.1%,66.7%,23.1%,30.8%,69.2%,15.4%,15.4%,42.9%
Bryan Reynolds SHB,,+350,21,19,4.00,2,2,0.353,0.421,0.706,0.353,0.477,10.5%,20.7%,15.8%,8.5%,94.4,306.5,3,2,14.3%,-,7.1%,57.1%,35.7%,73.6,30.8%,42.3%,23.1%,92.9%,21.4%,66.7%,21.4%,57.1%,42.9%,50.0%,7.1%,33.3%
Endy Rodriguez SHB,,+470,34,19,3.40,2,2,0.375,0.474,0.812,0.438,0.531,15.8%,10.3%,21.1%,4.4%,98.1,286.4,4,2,16.7%,8.3%,16.7%,58.3%,41.7%,72.5,30.8%,42.3%,23.1%,92.9%,16.7%,0.0%,50.0%,33.3%,41.7%,33.3%,25.0%,17.6%
Spencer Horwitz LHB,,+420,23,28,5.00,1,1,0.300,0.500,0.600,0.300,0.468,17.9%,17.5%,14.3%,6.7%,89.2,238.7,3,2,12.5%,12.5%,25.0%,25.0%,25.0%,69.7,2.9%,20.0%,11.4%,89.7%,37.5%,16.7%,25.0%,18.8%,37.5%,12.5%,50.0%,15.4%
Marcell Ozuna RHB,—,N/A,25,24,3.60,1,1,0.304,0.333,0.435,0.130,0.337,4.2%,34.1%,25.0%,15.8%,92.2,255.4,2,1,12.5%,6.2%,12.5%,43.8%,43.8%,73.3,37.1%,28.6%,8.6%,83.3%,12.5%,50.0%,37.5%,50.0%,31.2%,43.8%,25.0%,8.7%
Brandon Lowe LHB,,+235,23,24,4.80,1,1,0.238,0.333,0.476,0.238,0.349,12.5%,36.2%,29.2%,16.3%,88.8,279.9,2,1,7.1%,7.1%,21.4%,35.7%,28.6%,73.1,37.2%,20.9%,9.3%,91.5%,14.3%,0.0%,28.6%,57.1%,64.3%,14.3%,21.4%,29.6%
Esmerlyn Valdez RHB,,+220,9,14,2.20,1,1,0.077,0.143,0.308,0.231,0.196,7.1%,45.7%,42.9%,23.5%,83.0,278.0,3,1,14.3%,-,-,28.6%,42.9%,73.9,32.1%,10.7%,7.1%,82.4%,42.9%,33.3%,-,42.9%,-,42.9%,57.1%,33.3%
Tyler Callihan LHB,,+491,18,12,2.80,1,2,0.364,0.417,0.818,0.455,0.512,8.3%,34.1%,50.0%,20.0%,94.0,324.0,4,2,20.0%,20.0%,60.0%,40.0%,80.0%,68.8,10.8%,10.8%,5.4%,94.9%,60.0%,33.3%,40.0%,-,60.0%,20.0%,20.0%,47.6%
Nick Gonzales RHB,,+760,16,29,4.20,0,1,0.185,0.241,0.259,0.074,0.226,3.4%,31.4%,24.1%,17.8%,85.9,278.2,5,1,-,-,10.0%,25.0%,40.0%,70.8,17.1%,26.8%,2.4%,83.7%,35.0%,0.0%,20.0%,45.0%,40.0%,40.0%,20.0%,34.6%
Jared Triolo RHB,,+880,14,27,4.20,0,1,0.182,0.333,0.227,0.045,0.269,14.8%,36.8%,29.6%,12.6%,82.6,275.8,4,0,-,-,-,28.6%,21.4%,70.4,-,21.9%,6.2%,84.2%,28.6%,0.0%,7.1%,50.0%,28.6%,42.9%,28.6%,24.1%
Jake Mangum SHB,,+1400,11,17,4.20,0,0,0.250,0.294,0.250,-,0.248,5.9%,19.1%,11.8%,9.6%,84.1,189.6,1,0,-,-,-,23.1%,15.4%,65.8,-,16.3%,4.7%,91.5%,7.7%,0.0%,23.1%,46.2%,23.1%,38.5%,38.5%,39.3%
Ryan O'Hearn LHB,,+410,25,15,4.60,0,1,0.267,0.267,0.333,0.067,0.263,-,28.0%,40.0%,12.5%,92.7,304.2,2,1,11.1%,-,11.1%,55.6%,44.4%,70.0,4.8%,28.6%,19.0%,84.0%,22.2%,0.0%,33.3%,44.4%,11.1%,66.7%,22.2%,11.1%
Billy Cook RHB,—,N/A,1,6,2.20,0,0,0.167,0.167,0.167,-,0.148,-,25.0%,33.3%,14.3%,89.3,190.7,0,0,-,-,-,-,-,72.2,14.3%,42.9%,14.3%,87.5%,25.0%,0.0%,-,25.0%,-,75.0%,25.0%,50.0%
