Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Oswald Peraza","LAA","George Kirby","SEA","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","0"
"Patrick Bailey","CLE","Tyler Alexander","TEX","1","1.000","1.00","2.00","3.00","0","0","1","0","1","2","3","0.0","1.000","0"
"Chase Meidroth","CWS","Shane Baz","BAL","3","0.667","0.67","0.33","1.00","1","1","0","0","1","0","3","0.0","0.667","0"
"Wilyer Abreu","BOS","Miles Mikolas","WSH","3","0.667","0.67","0.33","1.00","1","1","0","0","1","3","3","0.0","0.750","1"
"Kyle Schwarber","PHI","Braxton Ashcraft","PIT","3","0.667","1.00","1.00","1.67","1","0","0","1","1","2","5","33.3","0.750","1"
"Casey Schmitt","SF","Eduardo Rodriguez","ARI","8","0.625","0.60","0.75","1.38","3","0","0","2","2","3","11","12.5","0.667","1"
"Jacob Young","WSH","Ranger Suarez","BOS","5","0.600","0.60","0.20","0.80","2","1","0","0","1","1","4","0.0","0.600","0"
"Josh Bell","MIN","Peter Lambert","HOU","5","0.600","0.50","0.60","1.20","2","0","0","1","1","1","6","0.0","0.600","0"
"Caleb Durbin","BOS","Miles Mikolas","WSH","7","0.571","0.60","0.71","1.29","1","2","0","1","3","1","9","14.3","0.571","0"
"Ketel Marte","ARI","Tyler Mahle","SF","15","0.533","0.60","0.60","1.13","3","3","0","2","5","5","17","20.0","0.563","1"
"Jacob Wilson","ATH","Eric Lauer","LAD","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Max Muncy","ATH","Eric Lauer","LAD","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Miguel Vargas","CWS","Shane Baz","BAL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.667","1"
"Carlos Narvaez","BOS","Miles Mikolas","WSH","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Andrew Benintendi","CWS","Shane Baz","BAL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.667","1"
"Kyle Higashioka","TEX","Parker Messick","CLE","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Miguel Andujar","SD","Shota Imanaga","CHC","4","0.500","0.50","1.00","1.50","0","1","0","1","2","1","6","25.0","0.500","0"
"Taylor Ward","BAL","Sean Burke","CWS","9","0.444","0.50","0.22","0.67","2","2","0","0","2","2","6","11.1","0.444","0"
"Jazz Chisholm Jr.","NYY","Casey Mize","DET","10","0.400","0.50","0.30","0.70","3","0","0","1","1","2","7","30.0","0.455","1"
"Willson Contreras","BOS","Miles Mikolas","WSH","19","0.368","0.35","0.26","0.63","4","2","0","1","3","2","12","5.3","0.368","0"
"Myles Straw","TOR","Sean Manaea","NYM","11","0.364","0.50","0.09","0.45","3","1","0","0","1","0","5","27.3","0.462","2"
"Bryce Eldridge","SF","Eduardo Rodriguez","ARI","3","0.333","0.50","0.33","0.67","0","1","0","0","1","0","2","33.3","0.333","0"
