Matchup,SF @ ATL
Pitcher,Landen Roupp
Pitcher Team,SF
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,74.1,313,0.231,0.296,0.354,0.123,1.29,4,0.48,10.2%,26.2%,25.9%,20.4%,11.1%,9.81,57.6%,5.2%,3.6%,29.9%,18.8%,10.8%,14.7%
vsLHB,41.2,178,0.221,0.298,0.338,0.117,1.37,2,0.43,12.9%,25.6%,25.3%,21.1%,10.4%,9.72,55.9%,5.2%,2.8%,34.3%,18.5%,10.0%,16.7%
vsRHB,32.2,135,0.244,0.294,0.374,0.130,1.19,2,0.55,6.7%,27.1%,26.7%,19.6%,12.0%,9.92,60.0%,5.2%,4.5%,24.7%,19.1%,11.8%,12.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Matt Olson LHB,,+440,23,18,4.40,1,1,0.312,0.333,0.500,0.188,0.350,5.6%,28.1%,16.7%,15.8%,91.4,271.5,3,2,7.1%,-,21.4%,50.0%,21.4%,75.9,64.5%,32.3%,16.1%,96.9%,50.0%,14.3%,21.4%,21.4%,42.9%,42.9%,14.3%,37.5%
Michael Harris II LHB,,+570,17,18,3.80,1,2,0.312,0.389,0.500,0.188,0.387,11.1%,27.5%,27.8%,13.9%,96.1,333.0,4,3,27.3%,9.1%,9.1%,54.5%,36.4%,76.4,66.7%,22.2%,16.7%,92.3%,18.2%,50.0%,27.3%,54.5%,27.3%,72.7%,-,22.7%
Drake Baldwin LHB,,+570,23,15,4.40,1,3,0.333,0.400,0.667,0.333,0.430,13.3%,20.0%,13.3%,9.6%,97.9,346.1,5,3,45.5%,9.1%,27.3%,63.6%,54.5%,76.5,70.8%,37.5%,25.0%,96.0%,36.4%,25.0%,36.4%,27.3%,45.5%,27.3%,27.3%,27.3%
Mauricio Dubon RHB,,+1400,6,9,4.40,1,1,0.444,0.444,0.778,0.333,0.530,-,15.2%,11.1%,8.8%,92.6,303.3,3,2,25.0%,12.5%,12.5%,37.5%,75.0%,69.2,3.4%,17.2%,3.4%,90.6%,37.5%,33.3%,50.0%,12.5%,12.5%,50.0%,37.5%,26.7%
Ha-Seong Kim RHB,,+1260,13,14,3.20,0,0,0.091,0.286,0.091,-,0.203,21.4%,11.8%,7.1%,4.3%,75.5,243.5,1,0,-,-,-,-,11.1%,71.7,13.3%,-,-,88.2%,22.2%,0.0%,11.1%,66.7%,55.6%,22.2%,22.2%,12.5%
Dominic Smith LHB,,+1040,14,14,2.80,0,0,0.167,0.214,0.167,-,0.174,7.1%,12.5%,7.1%,6.5%,84.7,223.5,1,0,-,-,16.7%,33.3%,16.7%,70.9,13.0%,34.8%,13.0%,95.8%,16.7%,0.0%,16.7%,58.3%,58.3%,41.7%,-,41.7%
Ozzie Albies SHB,,+920,9,13,4.20,0,1,0.200,0.385,0.200,-,0.292,15.4%,21.7%,15.4%,8.1%,90.6,275.6,2,1,12.5%,-,37.5%,25.0%,37.5%,69.0,4.5%,31.8%,4.5%,95.7%,37.5%,0.0%,25.0%,37.5%,75.0%,25.0%,-,20.0%
Jorge Mateo RHB,—,N/A,14,12,2.00,0,0,0.091,0.167,0.182,0.091,0.160,8.3%,24.0%,25.0%,12.5%,97.2,310.7,3,3,12.5%,-,25.0%,75.0%,62.5%,74.4,39.1%,26.1%,21.7%,92.0%,25.0%,0.0%,37.5%,37.5%,50.0%,37.5%,12.5%,41.7%
Austin Riley RHB,,+630,16,12,4.20,0,0,0.100,0.250,0.100,-,0.188,8.3%,12.5%,33.3%,4.4%,88.5,242.4,1,1,-,-,-,16.7%,33.3%,76.0,56.2%,18.8%,6.2%,100.0%,33.3%,0.0%,-,50.0%,33.3%,50.0%,16.7%,20.0%
Mike Yastrzemski LHB,,+920,4,9,3.00,0,0,0.125,0.222,0.125,-,0.171,11.1%,21.1%,33.3%,6.9%,87.0,374.4,2,2,-,-,-,60.0%,40.0%,71.8,11.1%,16.7%,11.1%,94.7%,20.0%,0.0%,20.0%,60.0%,60.0%,40.0%,-,8.3%
Sandy León SHB,—,N/A,3,8,2.80,0,0,-,-,-,-,-,-,21.4%,50.0%,7.5%,81.8,266.9,1,0,-,-,-,25.0%,50.0%,68.1,-,16.7%,-,85.7%,25.0%,0.0%,25.0%,50.0%,50.0%,50.0%,-,8.3%
Eli White RHB,—,N/A,18,7,3.00,0,0,0.429,0.429,0.571,0.143,0.436,-,29.4%,-,15.6%,87.7,260.3,1,0,-,-,-,42.9%,28.6%,72.0,33.3%,26.7%,20.0%,88.2%,14.3%,0.0%,28.6%,57.1%,28.6%,42.9%,28.6%,25.0%
Rowdy Tellez LHB,—,N/A,-,3,1.00,0,0,-,-,-,-,-,-,40.0%,33.3%,25.0%,83.9,173.4,0,0,-,-,50.0%,-,50.0%,78.5,60.0%,-,-,100.0%,50.0%,0.0%,50.0%,-,50.0%,-,50.0%,0.0%
