Split,vsRHB
Range,Season
Dates,="8/2/2026"
Games,19

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
3:10 PM,Kyle Freeland,vs,73.2,338,5.61,0.315,0.400,1.60,0.284,0.599,19,2.32,190,21.3%,18.0%,17.6%,10.8%,7.45,18,5.3%,66.7%,7.0%,257,47.9%,32,12.5%,31.9%,22.0%,16.3%
1:37 PM,Matthew Liberatore,@,78.0,345,4.72,0.293,0.361,1.55,0.182,0.476,13,1.50,146,22.3%,20.6%,17.9%,10.5%,8.19,31,9.0%,61.0%,7.0%,241,41.1%,21,8.7%,29.5%,15.5%,24.5%
4:10 PM,George Kirby,vs,56.2,236,3.10,0.291,0.326,1.29,0.150,0.441,7,1.11,100,24.2%,25.0%,21.2%,13.2%,9.37,7,3.0%,67.8%,8.6%,168,39.9%,15,8.9%,20.8%,14.3%,9.5%
1:40 PM,Merrill Kelly,@,45.1,198,4.91,0.285,0.347,1.46,0.179,0.464,8,1.59,83,24.3%,17.7%,16.4%,12.5%,6.95,15,7.6%,65.3%,6.3%,147,42.2%,18,12.2%,21.8%,15.6%,16.3%
1:40 PM,Anthony Kay,@,73.0,343,5.80,0.277,0.370,1.56,0.190,0.467,12,1.48,135,22.0%,15.5%,12.7%,10.0%,6.53,34,9.9%,57.7%,5.8%,241,44.0%,26,10.8%,22.8%,20.0%,21.2%
2:10 PM,Peter Lambert,vs,46.2,197,4.24,0.274,0.329,1.24,0.177,0.452,8,1.54,84,21.4%,21.3%,17.5%,10.9%,8.10,7,3.6%,68.0%,7.4%,144,38.2%,12,8.3%,36.1%,15.4%,15.3%
2:20 PM,Gerrit Cole,@,21.2,94,3.19,0.273,0.316,1.34,0.136,0.409,2,0.83,36,17.6%,22.3%,22.3%,8.3%,8.72,5,5.3%,64.6%,8.8%,67,41.8%,8,11.9%,22.4%,13.3%,19.4%
1:40 PM,Sandy Alcantara,@,60.0,252,3.77,0.264,0.301,1.22,0.115,0.379,6,0.90,89,21.5%,17.1%,18.1%,10.8%,6.45,11,4.4%,68.5%,8.4%,192,37.5%,6,3.1%,19.8%,15.8%,16.1%
4:05 PM,Gage Jump,vs,45.2,196,3.67,0.264,0.335,1.42,0.172,0.437,5,0.99,76,25.5%,26.0%,20.1%,12.4%,10.05,19,9.7%,60.9%,8.0%,124,42.7%,8,6.5%,25.8%,15.6%,13.7%
1:35 PM,Kyle Bradish,vs,46.2,201,3.87,0.256,0.314,1.39,0.131,0.386,5,0.96,68,27.1%,22.9%,18.9%,11.8%,8.87,20,10.0%,55.7%,6.2%,134,37.3%,14,10.4%,22.4%,16.7%,9.7%
3:10 PM,Seth Lugo,@,44.1,186,5.02,0.256,0.332,1.26,0.202,0.458,8,1.62,77,18.8%,17.2%,17.9%,8.9%,6.50,13,7.0%,69.9%,8.0%,139,44.6%,14,10.1%,32.4%,17.8%,15.8%
1:37 PM,Max Scherzer,vs,8.2,35,6.56,0.250,0.356,1.27,0.281,0.531,3,3.12,17,20.5%,25.7%,15.3%,11.0%,9.35,3,8.6%,62.9%,8.4%,22,50.0%,3,13.6%,27.3%,50.0%,22.7%
4:10 PM,Taj Bradley,@,49.0,209,3.49,0.247,0.303,1.29,0.132,0.379,5,0.92,72,23.8%,23.9%,18.6%,11.7%,9.18,16,7.7%,56.0%,8.3%,141,45.4%,5,3.5%,27.7%,12.8%,17.0%
7:20 PM,Jake Bennett,@,48.0,193,3.75,0.244,0.279,1.08,0.122,0.367,5,0.94,66,24.9%,16.6%,17.2%,13.6%,6.00,8,4.1%,65.6%,8.4%,151,41.7%,11,7.3%,28.5%,11.6%,11.3%
4:10 PM,Landen Roupp,@,48.0,200,3.31,0.240,0.300,1.21,0.153,0.393,5,0.94,72,26.8%,25.0%,20.1%,12.0%,9.38,14,7.0%,58.5%,5.0%,135,25.9%,8,5.9%,23.0%,16.1%,14.8%
7:20 PM,Emmet Sheehan,vs,41.1,176,4.21,0.237,0.319,1.21,0.186,0.423,7,1.52,66,35.2%,27.3%,22.0%,18.3%,10.45,13,7.4%,60.8%,7.2%,111,36.9%,11,9.9%,30.6%,20.6%,19.8%
1:40 PM,Gavin Williams,vs,49.2,205,4.01,0.235,0.308,1.23,0.171,0.406,9,1.63,76,34.4%,30.7%,22.3%,16.3%,11.42,17,8.3%,63.4%,7.5%,123,54.5%,13,10.6%,19.5%,33.3%,12.2%
1:35 PM,Cade Cavalli,@,47.2,202,2.97,0.232,0.274,1.24,0.072,0.304,3,0.57,55,24.3%,25.2%,19.3%,11.8%,9.63,17,8.4%,65.8%,7.5%,132,43.2%,11,8.3%,19.7%,3.8%,9.8%
1:40 PM,Griffin Jax,vs,34.1,142,4.44,0.226,0.303,1.19,0.153,0.379,5,1.31,47,30.3%,22.5%,23.9%,14.5%,8.39,13,9.2%,67.6%,7.1%,95,42.1%,9,9.5%,28.4%,18.5%,14.7%
2:20 PM,Colin Rea,vs,47.0,198,6.14,0.221,0.317,1.13,0.232,0.453,12,2.30,82,18.4%,16.2%,13.7%,8.7%,6.13,13,6.6%,62.6%,7.8%,149,38.9%,21,14.1%,38.3%,15.8%,17.4%
4:10 PM,Michael King,vs,48.0,201,4.00,0.220,0.298,1.17,0.136,0.356,5,0.94,63,28.9%,23.4%,20.3%,13.5%,8.81,17,8.5%,68.3%,7.8%,130,35.4%,9,6.9%,25.4%,12.1%,12.3%
4:05 PM,Keider Montero,@,52.1,205,3.23,0.212,0.259,0.94,0.130,0.342,4,0.69,66,20.9%,19.0%,19.8%,10.3%,6.71,8,3.9%,64.9%,9.1%,155,36.1%,8,5.2%,16.8%,15.4%,18.1%
3:15 PM,Jacob Misiorowski,@,51.1,202,3.18,0.206,0.257,0.97,0.122,0.328,7,1.23,62,30.7%,31.2%,28.5%,14.8%,11.05,11,5.4%,66.8%,7.8%,126,35.7%,6,4.8%,20.6%,26.9%,10.3%
1:35 PM,Zack Wheeler,@,41.2,155,2.62,0.200,0.249,0.84,0.160,0.360,5,1.08,54,30.9%,32.3%,27.5%,15.4%,10.80,5,3.2%,72.9%,5.9%,100,24.0%,5,5.0%,21.0%,23.8%,14.0%
2:10 PM,Kumar Rocker,@,47.1,193,3.48,0.200,0.254,1.01,0.103,0.303,4,0.76,53,26.1%,21.2%,22.7%,12.9%,7.80,13,6.7%,53.9%,6.6%,136,33.8%,7,5.1%,18.4%,12.0%,14.0%
1:40 PM,Mitch Keller,@,41.2,172,3.46,0.196,0.253,1.13,0.072,0.268,2,0.43,41,24.5%,19.8%,16.3%,11.6%,7.34,17,9.9%,66.9%,8.5%,118,41.5%,4,3.4%,24.6%,6.9%,16.9%
3:15 PM,Walbert Urena,vs,44.1,188,3.46,0.195,0.262,1.11,0.079,0.274,3,0.61,45,29.9%,24.5%,22.1%,14.0%,9.34,17,9.0%,55.9%,6.7%,119,30.3%,5,4.2%,21.8%,7.7%,11.8%
1:40 PM,Chase Burns,vs,43.2,168,2.23,0.194,0.226,0.89,0.088,0.281,2,0.41,45,32.5%,26.2%,22.7%,16.5%,9.07,8,4.8%,58.3%,7.4%,116,40.5%,8,6.9%,28.4%,6.1%,13.8%
