HR Split,Overall
Dates,="6/13/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,10:05 PM,Joey Estes,vs,2.02,0.16,2.54,3.38,11.9%,21.1%,33.3%,45.2%,9.1%,55
2,7:10 PM,Mike Burrows,@,1.21,1.36,0.55,2.29,11.3%,22.4%,41.6%,28.8%,7.4%,860
3,4:05 PM,Randy Vasquez,@,1.18,0.40,1.34,1.69,13.9%,14.0%,48.9%,32.6%,9.9%,971
4,10:05 PM,Kyle Freeland,@,1.05,-0.92,1.19,2.08,10.8%,19.3%,45.7%,31.3%,6.7%,1077
5,4:10 PM,Jacob deGrom,@,0.98,0.96,0.59,1.94,9.8%,23.6%,44.1%,33.5%,6.1%,1059
6,4:10 PM,Joey Cantillo,vs,0.71,0.05,0.68,1.91,10.4%,19.4%,33.2%,35.9%,6.3%,806
7,10:07 PM,Griffin Jax,@,0.63,0.25,0.81,1.63,10.1%,27.8%,35.9%,22.6%,7.5%,531
8,7:10 PM,Aaron Nola,@,0.35,0.55,0.10,1.56,9.4%,16.1%,40.3%,28.9%,5.7%,803
9,4:05 PM,Trey Gibson,vs,0.34,0.02,0.39,1.06,11.5%,16.7%,44.3%,19.7%,9.1%,148
10,2:10 PM,Matthew Liberatore,@,0.32,1.62,-0.04,1.30,10.0%,15.3%,43.6%,25.3%,7.4%,1047
11,7:10 PM,Shane Drohan,vs,0.15,-0.93,0.64,0.78,12.7%,10.1%,41.0%,31.4%,8.0%,221
12,4:05 PM,Luis Castillo,@,0.07,0.77,-0.72,0.99,9.8%,13.1%,42.8%,30.2%,6.3%,1145
13,10:07 PM,Jose Soriano,vs,0.06,0.16,0.02,1.09,8.8%,20.8%,40.1%,21.2%,6.6%,1190
14,4:10 PM,Martin Perez,@,-0.07,0.04,-0.08,0.89,10.0%,12.5%,39.6%,27.2%,7.0%,541
15,4:05 PM,Cade Cavalli,vs,-0.19,-0.38,0.02,1.01,7.7%,11.1%,39.5%,23.1%,8.8%,653
16,3:07 PM,Kevin Gausman,vs,-0.21,-0.34,0.02,0.98,7.4%,13.2%,39.5%,27.9%,6.6%,1331
17,4:05 PM,Bubba Chandler,vs,-0.31,0.58,-0.87,0.87,7.4%,12.5%,36.3%,28.3%,7.6%,507
18,4:10 PM,Sean Burke,vs,-0.34,-0.33,-0.22,0.92,8.3%,7.2%,35.9%,31.7%,6.8%,997
19,3:07 PM,Cam Schlittler,@,-0.38,-0.42,-0.28,0.72,7.9%,7.1%,41.7%,30.6%,6.9%,791
20,4:10 PM,Yoshinobu Yamamoto,@,-0.52,-1.26,0.20,1.02,5.4%,14.4%,35.5%,19.8%,6.8%,1250
21,10:05 PM,Ben Brown,@,-0.59,-0.59,-0.37,0.29,8.3%,3.7%,47.3%,25.1%,8.2%,807
22,2:10 PM,Connor Prielipp,vs,-0.64,-0.16,-0.49,0.58,8.0%,9.0%,33.6%,24.9%,7.7%,301
23,4:10 PM,Rhett Lowder,vs,-0.68,-0.03,-1.23,0.46,7.6%,7.8%,40.7%,22.4%,7.2%,270
24,4:10 PM,Michael Soroka,@,-0.69,-0.39,-0.77,0.74,6.2%,10.3%,31.5%,27.7%,6.9%,817
25,7:10 PM,Noah Cameron,vs,-0.72,0.15,-0.61,0.63,5.8%,10.2%,37.2%,23.6%,7.0%,942
26,10:05 PM,Trevor McDonald,vs,-0.86,-0.57,-0.86,0.52,3.3%,18.7%,39.8%,11.1%,7.7%,340
27,4:10 PM,Tarik Skubal,@,-0.88,-0.55,-0.53,0.42,5.1%,7.8%,41.0%,22.6%,7.2%,1108
28,4:05 PM,Cade Gibson,@,-0.95,-0.03,-1.16,0.58,2.8%,9.8%,37.5%,21.8%,8.1%,302
29,4:10 PM,Ranger Suarez,vs,-1.03,-0.16,-0.90,0.51,6.0%,8.2%,30.6%,23.3%,5.9%,1049
