Matchup,CWS @ BAL
Pitcher,Erick Fedde
Pitcher Team,CWS
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,40.2,192,0.304,0.378,0.515,0.211,1.75,9,1.99,9.9%,17.4%,14.1%,11.6%,7.2%,5.98,70.1%,6.4%,7.6%,37.2%,25.5%,21.6%,24.8%
vsLHB,21.1,102,0.308,0.355,0.451,0.143,1.83,2,0.84,10.8%,17.1%,15.7%,11.3%,7.0%,6.75,70.9%,5.9%,6.7%,41.3%,22.7%,11.8%,25.3%
vsRHB,19.1,90,0.300,0.404,0.588,0.288,1.66,7,3.26,8.9%,17.7%,12.2%,12.1%,7.4%,5.12,69.2%,7.1%,8.6%,32.9%,28.6%,30.0%,24.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Blaze Alexander RHB,—,N/A,9,17,3.40,1,1,0.533,0.588,0.733,0.200,0.566,11.8%,4.0%,-,2.4%,89.9,267.9,2,1,7.1%,7.1%,28.6%,35.7%,28.6%,71.3,10.0%,55.0%,15.0%,80.0%,35.7%,21.4%,33.3%,14.3%,64.3%,57.1%,28.6%,14.3%,27.3%
Pete Alonso RHB,,+320,41,16,4.40,1,2,0.385,0.500,0.615,0.231,0.475,18.8%,16.7%,25.0%,6.2%,85.6,265.5,2,1,12.5%,-,25.0%,25.0%,37.5%,74.8,50.0%,13.6%,9.1%,91.7%,62.5%,25.0%,50.0%,37.5%,37.5%,62.5%,12.5%,25.0%,20.0%
Jackson Holliday LHB,,+630,24,6,2.40,1,1,0.167,0.167,0.667,0.500,0.350,-,25.0%,50.0%,8.8%,89.9,337.0,1,1,33.3%,-,-,66.7%,33.3%,69.4,-,20.0%,10.0%,83.3%,66.6%,33.3%,0.0%,33.3%,33.3%,33.3%,66.7%,-,11.1%
Taylor Ward RHB,,+560,21,17,4.60,0,0,0.176,0.176,0.176,-,0.157,-,15.4%,35.3%,8.2%,83.8,237.9,2,1,-,-,18.2%,18.2%,27.3%,67.3,-,25.0%,4.2%,92.3%,45.5%,18.2%,0.0%,27.3%,54.5%,63.6%,18.2%,18.2%,30.8%
Dylan Beavers LHB,,+580,15,16,3.20,0,0,0.231,0.375,0.385,0.154,0.336,18.8%,20.7%,31.2%,9.7%,92.6,283.7,3,1,12.5%,-,-,62.5%,50.0%,70.9,10.7%,21.4%,14.3%,100.0%,50.0%,12.5%,0.0%,37.5%,50.0%,12.5%,50.0%,37.5%,33.3%
Tyler O'Neill RHB,—,N/A,12,16,3.00,0,0,0.267,0.312,0.400,0.133,0.311,6.2%,28.6%,43.8%,12.5%,94.0,281.0,2,0,12.5%,-,25.0%,50.0%,37.5%,73.7,39.1%,26.1%,13.0%,88.5%,50.0%,12.5%,0.0%,37.5%,50.0%,75.0%,12.5%,12.5%,16.7%
Adley Rutschman SHB,,+430,14,11,4.00,0,0,0.222,0.273,0.222,-,0.221,9.1%,21.1%,9.1%,9.3%,83.2,298.3,2,0,-,-,12.5%,25.0%,25.0%,71.2,11.8%,29.4%,-,89.5%,37.5%,25.0%,0.0%,12.5%,62.5%,62.5%,37.5%,-,14.3%
Gunnar Henderson LHB,,+349,16,10,4.60,0,0,0.200,0.200,0.300,0.100,0.216,-,9.1%,10.0%,4.9%,93.7,278.5,1,0,-,-,-,33.3%,22.2%,75.0,54.5%,27.3%,13.6%,100.0%,33.3%,22.2%,0.0%,11.1%,66.7%,33.3%,33.3%,33.3%,25.0%
Leody Taveras SHB,—,N/A,9,9,3.40,0,0,0.500,0.556,1.125,0.625,0.672,11.1%,17.6%,22.2%,7.0%,90.5,207.9,0,0,-,-,33.3%,50.0%,33.3%,73.5,46.7%,20.0%,13.3%,88.2%,50.0%,-,-,50.0%,50.0%,66.7%,33.3%,-,18.2%
Coby Mayo RHB,,+390,21,8,3.40,0,0,0.125,0.125,0.250,0.125,0.159,-,20.0%,37.5%,8.6%,94.0,209.9,1,0,-,-,20.0%,20.0%,40.0%,74.8,64.3%,28.6%,7.1%,93.3%,60.0%,40.0%,0.0%,20.0%,20.0%,40.0%,20.0%,40.0%,44.4%
Samuel Basallo LHB,,+390,17,6,3.60,0,0,0.167,0.167,0.167,-,0.148,-,4.8%,-,2.9%,83.1,331.0,1,0,-,-,-,16.7%,16.7%,75.6,55.0%,10.0%,5.0%,100.0%,16.7%,16.7%,0.0%,-,83.3%,66.7%,16.7%,16.7%,30.8%
Chadwick Tromp RHB,—,N/A,5,6,2.40,0,0,-,-,-,-,-,-,0.0%,16.7%,-,81.6,257.6,1,1,-,-,25.0%,25.0%,25.0%,71.5,20.0%,30.0%,10.0%,100.0%,50.0%,25.0%,0.0%,25.0%,25.0%,50.0%,50.0%,-,12.5%
Colton Cowser LHB,,+470,20,5,3.00,0,0,0.200,0.200,0.200,-,0.178,-,41.7%,40.0%,18.5%,90.7,321.8,1,0,-,-,33.3%,66.7%,33.3%,75.6,50.0%,16.7%,8.3%,100.0%,33.3%,-,-,33.3%,66.7%,100.0%,-,-,28.6%
