Matchup,CHC @ STL
Pitcher,Kyle Leahy
Pitcher Team,STL
Opposing Team,CHC

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,50.2,228,0.286,0.356,0.458,0.172,1.58,8,1.42,9.6%,23.4%,18.4%,18.4%,10.4%,7.46,58.1%,8.4%,11.8%,50.3%,23.0%,21.6%,13.7%
vsLHB,26.0,126,0.333,0.411,0.550,0.216,2.00,6,2.08,11.9%,25.1%,17.5%,20.4%,10.2%,7.62,55.6%,9.0%,13.5%,58.4%,22.5%,30.0%,10.1%
vsRHB,24.0,102,0.228,0.289,0.348,0.120,1.17,2,0.75,6.9%,21.7%,19.6%,16.7%,10.6%,7.50,61.2%,7.7%,9.7%,40.3%,23.6%,11.8%,18.1%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ian Happ SHB,+570,28,4.60,2,2,0.185,0.214,0.481,0.296,0.296,3.6%,38.9%,39.3%,21.9%,89.4,18.8%,12.5%,31.2%,31.2%,37.5%,71.3,12.8%,19.1%,10.6%,87.0%,43.8%,28.6%,12.5%,18.8%,37.5%,37.5%,25.0%,51.9%
Michael Busch LHB,+570,28,5.00,1,1,0.167,0.464,0.333,0.167,0.378,25.0%,17.9%,14.3%,7.1%,93.6,14.3%,-,7.1%,50.0%,42.9%,67.9,2.9%,29.4%,14.7%,89.5%,35.7%,20.0%,28.6%,28.6%,7.1%,71.4%,21.4%,40.0%
Dansby Swanson RHB,+710,26,4.00,1,1,0.217,0.308,0.348,0.130,0.293,11.5%,27.9%,19.2%,11.8%,87.4,5.6%,5.6%,27.8%,27.8%,16.7%,71.8,12.5%,27.5%,2.5%,93.0%,38.9%,14.3%,11.1%,27.8%,50.0%,11.1%,38.9%,25.0%
Miguel Amaya RHB,N/A,24,2.60,1,1,0.105,0.292,0.263,0.158,0.263,16.7%,30.6%,29.2%,13.9%,90.0,16.7%,8.3%,25.0%,41.7%,41.7%,70.8,18.2%,18.2%,6.8%,93.6%,41.7%,20.0%,8.3%,33.3%,41.7%,41.7%,16.7%,14.3%
Nico Hoerner RHB,+1260,36,4.40,0,0,0.207,0.361,0.207,-,0.275,19.4%,7.5%,2.8%,2.8%,84.8,-,-,3.6%,32.1%,35.7%,67.8,-,34.7%,12.2%,92.5%,21.4%,0.0%,28.6%,42.9%,25.0%,46.4%,28.6%,20.5%
Alex Bregman RHB,+680,34,4.80,0,1,0.250,0.294,0.312,0.062,0.272,2.9%,20.3%,14.7%,10.9%,83.9,-,-,22.2%,18.5%,29.6%,68.4,-,25.9%,1.7%,90.6%,33.3%,0.0%,33.3%,29.6%,33.3%,40.7%,25.9%,30.6%
Carson Kelly RHB,+920,29,3.60,0,0,0.333,0.379,0.370,0.037,0.339,-,18.8%,17.2%,9.5%,83.5,-,-,18.2%,18.2%,36.4%,70.4,4.7%,25.6%,7.0%,89.6%,18.2%,0.0%,27.3%,45.5%,36.4%,59.1%,4.5%,40.7%
Pete Crow-Armstrong LHB,+590,28,4.80,0,1,0.190,0.357,0.238,0.048,0.282,17.9%,25.5%,21.4%,12.3%,93.4,12.5%,6.2%,37.5%,68.8%,50.0%,74.9,51.1%,25.5%,17.0%,92.2%,25.0%,0.0%,31.2%,18.8%,50.0%,25.0%,25.0%,25.0%
Seiya Suzuki RHB,+540,26,3.80,0,1,0.240,0.269,0.240,-,0.233,-,25.9%,26.9%,10.5%,90.6,5.6%,-,16.7%,55.6%,33.3%,72.3,27.7%,23.4%,14.9%,87.0%,22.2%,0.0%,33.3%,38.9%,38.9%,44.4%,16.7%,11.8%
Moisés Ballesteros LHB,+820,19,3.00,0,0,0.118,0.211,0.118,-,0.162,10.5%,34.4%,47.4%,16.2%,89.1,-,-,12.5%,50.0%,25.0%,73.0,41.4%,17.2%,6.9%,90.6%,25.0%,0.0%,25.0%,25.0%,25.0%,50.0%,25.0%,22.2%
Michael Conforto LHB,N/A,15,3.00,0,1,0.067,0.067,0.133,0.067,0.085,-,36.4%,46.7%,17.6%,90.2,-,-,37.5%,50.0%,25.0%,71.8,27.6%,13.8%,13.8%,90.6%,37.5%,0.0%,25.0%,37.5%,62.5%,12.5%,25.0%,52.9%
Pedro Ramirez SHB,N/A,7,2.67,0,0,0.333,0.429,0.500,0.167,0.401,14.3%,0.0%,-,-,93.9,-,-,-,66.7%,16.7%,72.4,16.7%,66.7%,50.0%,100.0%,-,-,16.7%,83.3%,33.3%,66.7%,-,75.0%
Kevin Alcantara RHB,N/A,1,1.00,0,0,-,-,-,-,-,-,100.0%,100.0%,33.3%,-,-,-,-,-,-,75.2,50.0%,-,-,100.0%,-,-,-,-,-,-,-,0.0%
