Matchup,SEA @ MIA
Pitcher,Tyler Phillips
Pitcher Team,MIA
Opposing Team,SEA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,44.0,190,0.263,0.339,0.450,0.187,1.45,7,1.43,10.0%,21.6%,14.2%,14.8%,10.1%,5.52,64.6%,7.2%,9.0%,46.5%,27.1%,15.4%,10.4%
vsLHB,20.2,100,0.315,0.403,0.562,0.247,1.89,5,2.18,11.0%,21.9%,15.0%,13.6%,9.7%,6.53,61.8%,7.5%,12.2%,48.6%,24.3%,22.2%,8.1%
vsRHB,23.1,90,0.207,0.268,0.329,0.122,1.07,2,0.77,8.9%,21.2%,13.3%,16.4%,10.5%,4.63,67.8%,6.9%,5.7%,44.3%,30.0%,9.5%,12.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Cole Young LHB,,+950,16,19,3.40,2,2,0.389,0.421,0.722,0.333,0.489,5.3%,11.1%,15.8%,5.1%,88.6,259.2,2,2,6.7%,-,20.0%,33.3%,46.7%,71.3,23.5%,26.5%,8.8%,94.4%,53.3%,20.0%,66.7%,33.3%,46.7%,46.7%,40.0%,13.3%,28.6%
Mitch Garver RHB,—,N/A,12,13,2.80,1,1,0.333,0.385,0.583,0.250,0.417,7.7%,41.2%,38.5%,16.3%,90.2,256.1,2,1,14.3%,14.3%,14.3%,42.9%,42.9%,72.7,28.6%,35.7%,14.3%,82.4%,71.5%,28.6%,50.0%,42.9%,28.6%,28.6%,57.1%,14.3%,33.3%
Josh Naylor LHB,,+600,27,30,4.20,0,0,0.241,0.267,0.276,0.034,0.242,3.3%,10.6%,6.7%,6.8%,85.3,244.9,4,2,-,-,11.1%,33.3%,37.0%,69.3,2.4%,43.9%,12.2%,87.2%,40.7%,14.8%,0.0%,25.9%,51.9%,18.5%,48.1%,33.3%,45.5%
JP Crawford LHB,,+960,27,24,4.20,0,0,0.190,0.292,0.238,0.048,0.245,12.5%,25.0%,33.3%,10.4%,95.3,231.5,1,0,-,-,15.4%,61.5%,23.1%,70.4,13.9%,36.1%,19.4%,83.7%,38.5%,7.7%,0.0%,30.8%,61.5%,38.5%,30.8%,30.8%,21.7%
Luke Raley LHB,,+475,33,23,3.60,0,2,0.143,0.174,0.238,0.095,0.177,4.3%,31.4%,30.4%,17.6%,88.6,279.2,5,2,13.3%,-,6.7%,40.0%,40.0%,74.7,52.2%,19.6%,6.5%,92.0%,60.0%,33.3%,0.0%,26.7%,26.7%,20.0%,40.0%,40.0%,27.8%
Cal Raleigh SHB,,+340,27,21,4.00,0,1,0.125,0.286,0.188,0.062,0.226,19.0%,29.2%,33.3%,13.3%,90.3,236.7,2,2,20.0%,10.0%,30.0%,30.0%,40.0%,74.7,46.7%,13.3%,6.7%,93.8%,50.0%,30.0%,0.0%,20.0%,30.0%,60.0%,10.0%,30.0%,45.5%
Randy Arozarena RHB,,+574,22,19,4.40,0,0,0.250,0.526,0.250,-,0.395,15.8%,34.5%,10.5%,13.5%,84.0,232.7,1,0,-,-,10.0%,20.0%,20.0%,69.8,14.8%,18.5%,7.4%,93.1%,30.0%,10.0%,0.0%,20.0%,60.0%,60.0%,10.0%,30.0%,25.0%
Dominic Canzone LHB,,+475,18,18,4.40,0,2,0.176,0.222,0.235,0.059,0.206,5.6%,28.1%,27.8%,13.2%,97.0,299.2,4,4,16.7%,-,16.7%,50.0%,41.7%,74.5,57.1%,35.7%,21.4%,87.5%,66.7%,41.7%,0.0%,25.0%,33.3%,33.3%,58.3%,8.3%,27.8%
Colt Emerson LHB,,+870,12,17,3.40,0,0,0.200,0.294,0.200,-,0.233,11.8%,34.9%,52.9%,17.6%,90.7,259.0,1,0,-,-,16.7%,16.7%,50.0%,71.9,30.6%,8.3%,2.8%,83.7%,50.0%,-,-,50.0%,50.0%,50.0%,33.3%,16.7%,31.6%
Miles Mastrobuoni LHB,—,N/A,6,17,3.20,0,0,0.200,0.294,0.200,-,0.233,11.8%,16.0%,23.5%,6.0%,91.3,305.5,3,1,-,-,-,27.3%,36.4%,66.7,-,41.7%,8.3%,96.0%,54.6%,27.3%,0.0%,27.3%,45.5%,27.3%,72.7%,-,31.6%
Victor Robles RHB,,+1200,9,14,3.00,0,2,0.182,0.357,0.182,-,0.271,14.3%,33.3%,21.4%,16.7%,92.0,298.4,4,2,-,-,37.5%,25.0%,37.5%,68.5,-,22.2%,3.7%,93.1%,87.5%,62.5%,0.0%,25.0%,12.5%,37.5%,25.0%,37.5%,47.1%
Weston Wilson RHB,—,N/A,5,11,2.20,0,0,0.200,0.273,0.200,-,0.221,9.1%,26.7%,18.2%,10.8%,81.6,166.0,0,0,-,-,12.5%,12.5%,37.5%,72.8,23.1%,23.1%,7.7%,92.9%,37.5%,12.5%,0.0%,25.0%,50.0%,25.0%,37.5%,37.5%,20.0%
Buddy Kennedy RHB,—,N/A,-,1,1.00,0,0,-,-,-,-,-,-,0.0%,-,-,73.2,257.3,0,0,-,-,100.0%,-,100.0%,68.5,-,-,-,100.0%,100.0%,100.0%,0.0%,-,-,100.0%,-,-,0.0%
