Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Hunter Goodman,RHB,COL,Framber Valdez,L,33.1,63.2,55.8,33.8,50.6
Victor Mesa Jr.,LHB,TB,Miguel Ullola,R,44.9,38,55.3,37.9,43.9
Max Muncy,LHB,LAD,Ryan Gusto,R,38.8,37.8,40.4,53.6,42.6
Yordan Alvarez,LHB,HOU,Drew Rasmussen,R,39.5,40.4,30,41.2,37.4
Ronald Acuna Jr.,RHB,ATL,Aaron Nola,R,45,25,29.1,52.4,35.1
Francisco Alvarez,RHB,NYM,Carlos Rodon,L,18,40.7,22.6,48.9,35
Christian Encarnacion-Strand,RHB,BAL,Max Scherzer,R,30.5,39.5,19.4,41.3,33
Richie Palacios,LHB,TB,Miguel Ullola,R,55.3,28.9,31.6,30.9,32.8
Luis Campusano,RHB,SD,Anthony Molina,R,43.4,29.7,21.9,43.6,32.2
Brady House,RHB,WSH,Yusei Kikuchi,L,36.8,26.3,19,53.3,31.9
Junior Caminero,RHB,TB,Miguel Ullola,R,45.3,27.6,36.3,27.2,31.9
Taylor Trammell,LHB,HOU,Drew Rasmussen,R,21.2,38.9,20,39.6,31.6
Spencer Torkelson,RHB,DET,Mason Adams,R,41.3,29.5,30.9,29.8,31.2
Colton Cowser,LHB,BAL,Max Scherzer,R,38.3,34.1,24.7,31.8,31.1
Max Muncy,RHB,ATH,George Kirby,R,52.4,33.6,16.2,36.4,31
Sean Keys,LHB,TOR,Chris Bassitt,R,49.1,28.9,29.7,27.4,30.8
Munetaka Murakami,LHB,CWS,Matthew Liberatore,L,32.8,27.9,27.9,36.7,30.6
Bo Bichette,RHB,NYM,Carlos Rodon,L,21,42.7,35.4,11.8,30.6
Ke'Bryan Hayes,RHB,CIN,Dustin May,R,49.1,35.5,15.2,33.9,30.4
Ryan Jeffers,RHB,MIN,Parker Messick,L,28.6,37.2,16.8,37.6,30.3
Bryce Eldridge,LHB,SF,Robbie Ray,L,46.2,25.1,21,41.8,30.2
Mike Trout,RHB,LAA,Cade Cavalli,R,37.2,31.3,19.8,37.2,29.9
Drake Baldwin,LHB,ATL,Aaron Nola,R,32,29.7,17.7,43.4,29.8
Ben Rice,LHB,NYY,Nolan McLean,R,45,15.2,20.3,55,29.7
Tyler Stephenson,RHB,CIN,Dustin May,R,38.4,24.5,28.1,34.7,29.5
Gleyber Torres,RHB,DET,Mason Adams,R,39.7,18.2,15.3,57.8,29.4
Hao-Yu  Lee,RHB,DET,Mason Adams,R,38.9,27.4,20.3,38.5,29.2
Matt McLain,RHB,CIN,Dustin May,R,30.2,39,9.6,38.4,29.2
Sal Stewart,RHB,CIN,Dustin May,R,21.5,23.8,29.1,38.4,28.8
Juan Soto,LHB,NYM,Carlos Rodon,L,21.4,26.2,16.9,49.8,28.8
Ben Malgeri,RHB,DET,Mason Adams,R,35.9,24.3,38,20.4,28.6
Coby Mayo,RHB,BAL,Max Scherzer,R,35.3,25,21.1,39.5,28.5
Zack Gelof,RHB,ATH,George Kirby,R,35.3,34.1,18,29.8,28.3
Bryce Harper,LHB,PHI,Chris Sale,L,50.8,15.4,20.7,44.8,27.9
Jose Siri,RHB,LAA,Cade Cavalli,R,30.3,23.8,20.4,41.3,27.8
Zach Neto,RHB,LAA,Cade Cavalli,R,39.7,24.3,19.7,37.2,27.7
Ty France,RHB,SD,Anthony Molina,R,27.4,24.6,18.7,41.7,27.4
Freddie Freeman,LHB,LAD,Ryan Gusto,R,16.3,20.4,12.5,59.1,27.3
Ryan Vilade,RHB,TB,Miguel Ullola,R,38.1,17.2,19.1,46.4,27.2
Eugenio Suarez,RHB,CIN,Dustin May,R,35.8,28.1,22.2,28,27.1
Miguel Vargas,RHB,CWS,Matthew Liberatore,L,15.5,26.2,17.9,44.2,27.1
Derek Hill,RHB,PHI,Chris Sale,L,21.8,41.8,18.6,18.6,27
Joshua Baez,RHB,STL,Anthony Kay,L,7.7,15.9,27.9,47.9,26.7
Josh Smith,LHB,TOR,Chris Bassitt,R,35.3,29.9,10.5,37.4,26.5
Mickey Gasper,SHB,BOS,Seth Lugo,R,39.1,17.2,23.1,36.9,26.1
Yainer Diaz,RHB,HOU,Drew Rasmussen,R,20.9,20.2,21.3,42,26
Gabriel Moreno,RHB,ARI,MacKenzie Gore,L,14.6,31.2,31.2,17,26
JJ Bleday,LHB,CIN,Dustin May,R,37.6,23.1,25.2,25.6,25.8
Jordan Walker,RHB,STL,Anthony Kay,L,34.8,28.1,16.8,28.4,25.5
Aaron Judge,RHB,NYY,Nolan McLean,R,30.6,23.1,25.6,25.6,25.2
Nolan Arenado,RHB,ARI,MacKenzie Gore,L,55.4,8.8,15,46.6,24.8
Riley Greene,LHB,DET,Mason Adams,R,40.2,25.6,22.2,20.5,24.8
Travis Bazzana,LHB,CLE,Taj Bradley,R,28.4,14.3,18.5,45.2,24.7
Randal Grichuk,RHB,CWS,Matthew Liberatore,L,27.4,34.3,18.4,17.8,24.7
Fernando Tatis Jr.,RHB,SD,Anthony Molina,R,32.3,24.6,16,32.3,24.7
Will Smith,RHB,LAD,Ryan Gusto,R,26.2,23.6,19.8,31.3,24.6
Cole Carrigg,SHB,COL,Framber Valdez,L,17.6,28.8,14.1,33.3,24.4
Ketel Marte,SHB,ARI,MacKenzie Gore,L,34.9,22.9,12.7,36.3,24.4
Kevin McGonigle,LHB,DET,Mason Adams,R,15.8,26.9,20,29.6,24.4
CJ Abrams,LHB,WSH,Yusei Kikuchi,L,46.3,12.9,31.4,22.8,24.3
Colson Montgomery,LHB,CWS,Matthew Liberatore,L,36.7,17.6,25.3,27.4,24.3
Jackson Merrill,LHB,SD,Anthony Molina,R,30.2,22.6,15.4,34.6,24.2
Eduardo Valencia,RHB,DET,Mason Adams,R,25.7,9.8,28.3,38.5,24.1
Randy Arozarena,RHB,SEA,Jeffrey Springs,L,46,21.7,9.3,36.5,24.1
Petey Halpin,LHB,CLE,Taj Bradley,R,29,17.9,23.8,31.3,24.1
Pete Alonso,RHB,BAL,Max Scherzer,R,38.4,11.4,24.1,35.6,24
Shohei Ohtani,LHB,LAD,Ryan Gusto,R,33.9,16,19.7,36,23.9
Trea Turner,RHB,PHI,Chris Sale,L,17.5,12.9,9,59.9,23.9
Christian Walker,RHB,HOU,Drew Rasmussen,R,25.7,18.3,20.9,33.9,23.7
Amed Rosario,RHB,NYY,Nolan McLean,R,19,23.5,22.3,27.7,23.7
Nolan Gorman,LHB,STL,Anthony Kay,L,45,19.6,10.1,36.7,23.6
Jeff McNeil,LHB,ATH,George Kirby,R,24,24.8,4.9,43.9,23.5
Angel Martinez,SHB,CLE,Taj Bradley,R,35.8,22.9,14.7,29.5,23.4
Daylen Lile,LHB,WSH,Yusei Kikuchi,L,36.3,20,11.4,37.5,23.4
Nick Sogard,SHB,BOS,Seth Lugo,R,32.9,16.4,13.4,40.9,23.3
Christopher Morel,RHB,NYM,Carlos Rodon,L,34.6,26.8,,41.8,23.3
Hunter Feduccia,LHB,LAD,Ryan Gusto,R,32.2,18.2,10,42,23.1
Carson Benge,LHB,NYM,Carlos Rodon,L,18.6,23.7,18.8,28.9,23
Nathaniel Lowe,LHB,CLE,Taj Bradley,R,34.8,18.6,19.6,28.4,23
James Wood,LHB,WSH,Yusei Kikuchi,L,64,13.2,19.2,24.3,22.9
Jarren Duran,LHB,BOS,Seth Lugo,R,37.8,14.7,9.1,43.9,22.6
A.J. Ewing,LHB,NYM,Carlos Rodon,L,42.7,24.1,,39.3,22.5
Christian Koss,RHB,SF,Robbie Ray,L,46.7,16.7,32.8,8.5,22.5
Cal Raleigh,SHB,SEA,Jeffrey Springs,L,31.6,18.9,19.1,28.1,22.5
Daniel Schneemann,LHB,CLE,Taj Bradley,R,37,17.7,18.9,27.2,22.4
Roman Anthony,LHB,BOS,Seth Lugo,R,39.4,14.6,19.1,30.6,22.4
Max Clark,LHB,DET,Mason Adams,R,29.5,,26.9,45,22.3
Jake Rogers,RHB,CWS,Matthew Liberatore,L,30,23.9,8.3,33.9,22.3
Luis Torrens,RHB,NYM,Carlos Rodon,L,16.5,18.9,19.2,32.8,22.2
John Rave,LHB,KC,Sonny Gray,R,31.7,17.9,19.4,27.6,22.2
