Matchup,SD @ LAD
Pitcher,Randy Vasquez
Pitcher Team,SD
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,47.0,216,0.323,0.396,0.571,0.247,1.68,10,1.91,6.9%,17.1%,12.0%,9.7%,8.4%,4.98,63.6%,9.6%,12.6%,48.3%,31.0%,16.7%,20.7%
vsLHB,26.0,125,0.342,0.418,0.614,0.272,1.85,5,1.73,7.2%,15.6%,10.4%,9.6%,7.4%,4.50,61.3%,10.4%,10.8%,49.0%,31.4%,12.5%,22.5%
vsRHB,21.0,91,0.298,0.365,0.512,0.214,1.48,5,2.14,6.6%,18.8%,14.3%,9.8%,9.7%,5.57,66.7%,8.6%,15.3%,47.2%,30.6%,22.7%,18.1%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Mookie Betts RHB,,+478,9,24,4.60,2,3,0.522,0.542,0.870,0.348,0.605,4.2%,14.3%,12.5%,7.1%,95.2,275.7,5,4,10.0%,10.0%,20.0%,55.0%,45.0%,69.8,11.1%,44.4%,19.4%,87.8%,50.0%,30.0%,33.3%,20.0%,45.0%,50.0%,30.0%,20.0%,48.1%
Freddie Freeman LHB,,+360,34,22,4.40,2,2,0.421,0.500,0.895,0.474,0.574,13.6%,17.4%,9.1%,8.5%,94.1,280.3,3,3,18.8%,12.5%,25.0%,68.8%,50.0%,71.8,15.4%,28.2%,17.9%,86.7%,56.3%,18.8%,66.7%,37.5%,43.8%,50.0%,37.5%,12.5%,60.0%
Kyle Tucker LHB,,+494,24,23,4.60,1,2,0.235,0.435,0.412,0.176,0.377,26.1%,23.8%,21.7%,11.2%,90.6,279.6,2,2,16.7%,8.3%,16.7%,41.7%,50.0%,70.5,15.0%,17.5%,7.5%,95.2%,75.0%,41.7%,20.0%,33.3%,25.0%,25.0%,33.3%,41.7%,44.4%
Dalton Rushing LHB,,+441,46,19,3.80,1,1,0.158,0.158,0.316,0.158,0.204,-,36.6%,31.6%,21.7%,91.4,271.9,6,2,15.4%,7.7%,30.8%,38.5%,30.8%,72.2,10.3%,20.5%,12.8%,95.1%,69.3%,38.5%,20.0%,30.8%,7.7%,38.5%,46.2%,15.4%,66.7%
Shohei Ohtani LHB,,+196,37,18,5.00,1,1,0.375,0.389,0.562,0.188,0.400,5.6%,20.7%,11.1%,7.2%,93.4,262.6,3,1,13.3%,13.3%,26.7%,46.7%,26.7%,74.5,48.0%,36.0%,20.0%,89.3%,40.0%,20.0%,33.3%,20.0%,53.3%,66.7%,13.3%,20.0%,27.8%
Andy Pages RHB,,+363,30,25,5.00,0,1,0.250,0.400,0.300,0.050,0.329,12.0%,25.0%,20.0%,9.5%,84.6,225.9,3,2,-,-,6.7%,20.0%,33.3%,73.3,31.2%,18.8%,6.2%,91.4%,53.3%,20.0%,0.0%,33.3%,26.7%,33.3%,33.3%,33.3%,31.0%
Max Muncy LHB,,+311,39,22,4.20,0,1,0.190,0.227,0.286,0.095,0.226,4.5%,22.6%,18.2%,11.1%,87.9,289.2,3,2,5.9%,-,23.5%,47.1%,23.5%,72.7,29.6%,33.3%,7.4%,96.4%,64.7%,47.1%,0.0%,17.6%,29.4%,35.3%,41.2%,23.5%,33.3%
Miguel Rojas RHB,—,N/A,19,20,2.80,0,0,0.214,0.350,0.286,0.071,0.286,15.0%,11.1%,5.0%,4.3%,84.1,250.4,4,2,13.3%,-,13.3%,46.7%,26.7%,70.0,8.3%,33.3%,16.7%,92.3%,46.7%,40.0%,0.0%,6.7%,33.3%,20.0%,73.3%,6.7%,11.1%
Tommy Edman SHB,,+610,7,20,4.40,0,0,0.421,0.450,0.579,0.158,0.444,5.0%,19.4%,15.0%,9.0%,85.5,244.5,1,0,6.2%,6.2%,12.5%,31.2%,43.8%,69.6,-,28.1%,9.4%,91.4%,50.0%,12.5%,0.0%,37.5%,43.8%,50.0%,18.8%,31.2%,34.8%
Teoscar Hernandez RHB,,+222,18,19,3.60,0,0,0.333,0.421,0.400,0.067,0.357,15.8%,25.0%,26.3%,11.6%,88.0,291.6,3,0,9.1%,-,18.2%,72.7%,36.4%,72.2,10.3%,17.2%,10.3%,87.9%,45.5%,9.1%,0.0%,36.4%,54.5%,27.3%,36.4%,36.4%,40.0%
