Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"JJ Bleday","CIN","Trevor Rogers","BAL","1","1.000","0.00","3.00","4.00","0","0","0","1","1","3","4","0.0","1.000","1"
"Jake Cronenworth","SD","Shohei Ohtani","LAD","3","1.000","1.00","1.67","2.67","0","2","0","1","3","3","8","0.0","1.000","0"
"Michael Busch","CHC","Andre Pallante","STL","6","1.000","1.00","1.17","2.17","3","1","0","2","3","5","13","0.0","1.000","0"
"Alejandro Kirk","TOR","Luis Castillo","SEA","5","0.600","0.67","0.60","1.20","2","0","0","1","1","2","6","20.0","0.600","0"
"Pete Alonso","BAL","Brady Singer","CIN","5","0.600","0.75","0.20","0.80","2","1","0","0","1","0","4","20.0","0.667","0"
"Seiya Suzuki","CHC","Andre Pallante","STL","10","0.600","0.60","0.20","0.80","4","2","0","0","2","0","8","0.0","0.636","1"
"Braden Montgomery","CWS","Gavin Williams","CLE","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.500","0"
"Drew Gilbert","SF","Ryan Feltner","COL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Elly De La Cruz","CIN","Trevor Rogers","BAL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.667","1"
"Luke Raley","SEA","Dylan Cease","TOR","2","0.500","1.00","0.50","1.00","0","1","0","0","1","2","2","50.0","0.500","0"
"Marcell Ozuna","PIT","Foster Griffin","WSH","2","0.500","0.00","1.50","2.00","0","0","0","1","1","3","4","0.0","0.667","1"
"Jordan Walker","STL","David Peterson","CHC","4","0.500","0.50","0.75","1.25","1","0","0","1","1","4","5","25.0","0.500","0"
"Jarren Duran","BOS","Reid Detmers","LAA","6","0.500","0.75","0.17","0.67","2","1","0","0","1","1","4","33.3","0.571","1"
"Christian Walker","HOU","Nick Martinez","TB","12","0.500","0.50","0.33","0.83","4","1","0","1","2","4","10","8.3","0.538","1"
"Ian Happ","CHC","Andre Pallante","STL","15","0.467","0.46","0.40","0.87","3","3","0","1","4","5","13","6.7","0.579","4"
"CJ Abrams","WSH","Mitch Keller","PIT","16","0.438","0.46","0.19","0.63","6","0","0","1","1","4","10","12.5","0.438","0"
"Shohei Ohtani","LAD","Michael King","SD","21","0.429","0.46","0.52","0.95","4","2","0","3","5","5","20","23.8","0.500","3"
"Lourdes Gurriel Jr.","ARI","Kyle Harrison","MIL","5","0.400","0.50","0.20","0.60","1","1","0","0","1","0","3","20.0","0.400","0"
"Nico Hoerner","CHC","Andre Pallante","STL","8","0.375","0.33","0.38","0.75","2","0","0","1","1","2","6","12.5","0.500","2"
"Gunnar Henderson","BAL","Brady Singer","CIN","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Eric Wagaman","NYM","Grant Holmes","ATL","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.333","0"
"Taylor Ward","BAL","Brady Singer","CIN","3","0.333","0.33","0.33","0.67","0","1","0","0","1","1","2","0.0","0.333","0"
"Corbin Carroll","ARI","Kyle Harrison","MIL","6","0.333","1.00","0.67","1.00","0","1","0","1","2","1","6","66.7","0.333","0"
"Mookie Betts","LAD","Michael King","SD","19","0.316","0.20","0.47","0.79","3","0","0","3","3","8","15","5.3","0.381","2"
"Teoscar Hernandez","LAD","Michael King","SD","23","0.304","0.31","0.26","0.57","5","0","0","2","2","7","13","21.7","0.385","3"
"James Wood","WSH","Mitch Keller","PIT","10","0.300","0.40","0.40","0.70","1","1","0","1","2","1","7","40.0","0.417","2"
"Luis Arraez","SF","Ryan Feltner","COL","10","0.300","0.30","0.10","0.40","2","1","0","0","1","1","4","0.0","0.300","0"
"Trevor Larnach","MIN","Gerrit Cole","NYY","7","0.286","0.50","0.43","0.71","1","0","0","1","1","1","5","57.1","0.375","1"
"Andrew Benintendi","CWS","Gavin Williams","CLE","7","0.286","0.29","0.14","0.43","1","1","0","0","1","3","3","0.0","0.375","1"
"Byron Buxton","MIN","Gerrit Cole","NYY","7","0.286","0.00","0.86","1.14","0","0","0","2","2","4","8","57.1","0.286","0"
"Josh Naylor","SEA","Dylan Cease","TOR","25","0.280","0.35","0.08","0.36","5","2","0","0","2","5","9","20.0","0.280","0"
"Luis Garcia Jr.","WSH","Mitch Keller","PIT","18","0.278","0.33","0.17","0.44","2","3","0","0","3","2","8","16.7","0.316","1"
"Jose Altuve","HOU","Nick Martinez","TB","33","0.273","0.25","0.21","0.48","4","4","0","1","5","2","16","0.0","0.294","0"
"Vladimir Guerrero Jr.","TOR","Luis Castillo","SEA","15","0.267","0.36","0.13","0.40","2","2","0","0","2","1","6","26.7","0.389","3"
"Keibert Ruiz","WSH","Mitch Keller","PIT","15","0.267","0.31","0.07","0.33","3","1","0","0","1","1","5","13.3","0.313","1"
"Nelson Velazquez","STL","David Peterson","CHC","4","0.250","0.00","0.75","1.00","0","0","0","1","1","2","4","50.0","0.250","0"
"Shea Langeliers","ATH","Tyler Phillips","MIA","4","0.250","0.33","0.25","0.50","0","1","0","0","1","0","2","25.0","0.250","0"
"Nathan Lukes","TOR","Luis Castillo","SEA","4","0.250","0.00","0.75","1.00","0","0","0","1","1","3","4","0.0","0.200","0"
"Randy Arozarena","SEA","Dylan Cease","TOR","12","0.250","0.17","0.50","0.75","1","0","0","2","2","5","9","33.3","0.308","1"
"Leody Taveras","BAL","Brady Singer","CIN","9","0.222","0.40","0.33","0.56","0","1","1","0","2","2","5","44.4","0.300","1"
"Andres Gimenez","TOR","Luis Castillo","SEA","19","0.211","0.21","0.21","0.42","2","1","0","1","2","3","8","26.3","0.238","0"
"Xander Bogaerts","SD","Shohei Ohtani","LAD","11","0.182","0.13","0.27","0.45","1","0","0","1","1","2","5","18.2","0.250","1"
"Ty France","SD","Shohei Ohtani","LAD","17","0.176","0.21","0.06","0.24","2","1","0","0","1","1","4","17.6","0.300","1"
"Myles Straw","TOR","Luis Castillo","SEA","6","0.167","0.33","0.17","0.33","0","1","0","0","1","0","2","50.0","0.286","1"
"Connor Wong","BOS","Reid Detmers","LAA","6","0.167","0.25","0.17","0.33","0","1","0","0","1","0","2","33.3","0.167","0"
"Max Muncy","LAD","Michael King","SD","16","0.125","0.14","0.25","0.38","0","1","0","1","2","1","6","50.0","0.222","2"
"Isaac Paredes","HOU","Nick Martinez","TB","9","0.111","0.17","0.11","0.22","0","1","0","0","1","1","2","33.3","0.200","1"
"Daulton Varsho","TOR","Luis Castillo","SEA","12","0.083","0.13","0.08","0.17","0","1","0","0","1","0","2","33.3","0.154","1"
