Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"James Outman","DET","Spencer Arrighetti","HOU","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Gabriel Moreno","ARI","Nick Martinez","TB","1","1.000","0.00","3.00","4.00","0","0","0","1","1","4","4","0.0","1.000","0"
"Jeremiah Jackson","BAL","Andrew Alvarez","WSH","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Andrew Benintendi","CWS","Steven Cruz","KC","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Colt Keith","DET","Spencer Arrighetti","HOU","4","0.750","0.75","0.50","1.25","1","2","0","0","2","0","5","0.0","0.750","0"
"Brandon Lowe","PIT","Andrew Abbott","CIN","3","0.667","0.67","0.67","1.33","0","2","0","0","2","1","4","0.0","0.667","0"
"Jackson Chourio","MIL","Colin Rea","CHC","5","0.600","0.60","0.40","1.00","2","0","1","0","1","0","5","0.0","0.600","0"
"Riley Greene","DET","Spencer Arrighetti","HOU","5","0.600","0.00","1.80","2.40","0","0","0","3","3","6","12","20.0","0.600","0"
"Brayan Rocchio","CLE","Luis Castillo","SEA","5","0.600","0.75","0.20","0.80","2","1","0","0","1","0","4","20.0","0.600","0"
"Christian Vazquez","HOU","Keider Montero","DET","5","0.600","0.50","0.60","1.20","2","0","0","1","1","1","6","0.0","0.600","0"
"Carson Benge","NYM","Zack Wheeler","PHI","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.667","1"
"Marcelo Mayer","BOS","Will Warren","NYY","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Kerry Carpenter","DET","Spencer Arrighetti","HOU","2","0.500","1.00","1.00","1.50","0","0","1","0","1","2","3","50.0","0.667","1"
"Andres Chaparro","WSH","Trevor Rogers","BAL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Jazz Chisholm Jr.","NYY","Payton Tolle","BOS","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Matt Vierling","DET","Spencer Arrighetti","HOU","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Kyle Tucker","LAD","Walker Buehler","SD","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.750","2"
"Victor Robles","SEA","Joey Cantillo","CLE","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.500","0"
"Byron Buxton","MIN","Tomoyuki Sugano","COL","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Max Kepler","ARI","Nick Martinez","TB","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Jordan Walker","STL","Max Meyer","MIA","4","0.500","0.67","0.25","0.75","1","1","0","0","1","0","3","25.0","0.600","1"
"Lourdes Gurriel Jr.","ARI","Nick Martinez","TB","6","0.500","0.50","0.67","1.17","1","1","0","1","2","3","7","16.7","0.500","0"
"Alejandro Kirk","TOR","Nathan Eovaldi","TEX","14","0.500","0.50","0.36","0.86","4","2","0","1","3","2","12","7.1","0.588","3"
"Vladimir Guerrero Jr.","TOR","Nathan Eovaldi","TEX","27","0.444","0.45","0.30","0.74","8","2","0","2","4","5","20","11.1","0.483","2"
"Andrew Vaughn","MIL","Colin Rea","CHC","7","0.429","0.29","0.43","0.86","2","0","0","1","1","2","6","0.0","0.444","1"
"CJ Abrams","WSH","Trevor Rogers","BAL","7","0.429","0.33","0.57","1.00","1","1","0","1","2","2","7","0.0","0.556","1"
"Steven Kwan","CLE","Luis Castillo","SEA","17","0.412","0.46","0.24","0.65","5","1","0","1","2","1","11","17.6","0.444","1"
"Xavier Edwards","MIA","Michael McGreevy","STL","5","0.400","0.40","0.20","0.60","1","1","0","0","1","1","3","0.0","0.500","1"
"Carlos Narvaez","BOS","Will Warren","NYY","5","0.400","0.25","0.60","1.00","1","0","0","1","1","1","5","0.0","0.625","2"
"Nathaniel Lowe","CIN","Paul Skenes","PIT","5","0.400","0.50","0.20","0.60","1","1","0","0","1","2","3","20.0","0.400","0"
"Jeff McNeil","ATH","Walbert Urena","LAA","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.400","0"
"Bryan Reynolds","PIT","Andrew Abbott","CIN","10","0.400","0.57","0.10","0.50","3","1","0","0","1","0","5","30.0","0.400","0"
"Rafael Devers","SF","Reynaldo Lopez","ATL","15","0.400","0.50","0.27","0.67","4","1","0","1","2","4","10","26.7","0.438","1"
"Luis Arraez","SF","Reynaldo Lopez","ATL","29","0.379","0.39","0.07","0.45","9","2","0","0","2","1","13","3.4","0.400","1"
"William Contreras","MIL","Colin Rea","CHC","8","0.375","0.38","0.13","0.50","2","1","0","0","1","1","4","0.0","0.375","0"
"Eric Wagaman","NYM","Zack Wheeler","PHI","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","66.7","0.333","0"
"Tyler Heineman","LAA","J.T. Ginn","ATH","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.333","0"
"Josh Bell","MIN","Tomoyuki Sugano","COL","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","0.0","0.333","0"
"Nick Kurtz","ATH","Walbert Urena","LAA","6","0.333","0.67","0.33","0.67","0","2","0","0","2","0","4","50.0","0.333","0"
"Otto Lopez","MIA","Michael McGreevy","STL","6","0.333","0.33","0.17","0.50","1","1","0","0","1","3","3","0.0","0.333","0"
"Seiya Suzuki","CHC","Jacob Misiorowski","MIL","9","0.333","0.33","0.33","0.67","2","0","0","1","1","1","6","22.2","0.400","1"
"Tyler Stephenson","CIN","Paul Skenes","PIT","9","0.333","0.60","0.11","0.44","2","1","0","0","1","0","4","44.4","0.333","0"
"Mark Vientos","NYM","Zack Wheeler","PHI","12","0.333","0.50","0.08","0.42","3","1","0","0","1","0","5","33.3","0.333","0"
"Andres Gimenez","TOR","Nathan Eovaldi","TEX","12","0.333","0.44","0.08","0.42","3","1","0","0","1","0","5","25.0","0.333","0"
"Elly De La Cruz","CIN","Paul Skenes","PIT","13","0.308","0.57","0.08","0.38","3","1","0","0","1","0","5","46.2","0.357","1"
"Elias Diaz","TEX","Patrick Corbin","TOR","24","0.292","0.35","0.04","0.33","6","1","0","0","1","0","8","16.7","0.320","1"
"Brandon Nimmo","TEX","Patrick Corbin","TOR","45","0.289","0.37","0.13","0.42","11","0","0","2","2","2","19","28.9","0.333","2"
"Kyle Higashioka","TEX","Patrick Corbin","TOR","7","0.286","0.29","0.29","0.57","0","2","0","0","2","2","4","0.0","0.286","0"
"Brett Baty","NYM","Zack Wheeler","PHI","14","0.286","0.30","0.21","0.50","3","0","0","1","1","2","7","21.4","0.286","0"
"Myles Straw","TOR","Nathan Eovaldi","TEX","11","0.273","0.50","0.18","0.45","1","2","0","0","2","2","5","45.5","0.333","1"
"Juan Soto","NYM","Zack Wheeler","PHI","56","0.268","0.32","0.20","0.46","10","2","0","3","5","5","26","28.6","0.438","17"
"Spencer Steer","CIN","Paul Skenes","PIT","15","0.267","0.50","0.07","0.33","3","1","0","0","1","1","5","46.7","0.267","0"
"George Springer","TOR","Nathan Eovaldi","TEX","30","0.267","0.29","0.20","0.47","5","1","1","1","3","1","14","16.7","0.290","1"
"Brice Turang","MIL","Colin Rea","CHC","4","0.250","0.33","0.25","0.50","0","1","0","0","1","0","2","25.0","0.333","1"
"Nolan Schanuel","LAA","J.T. Ginn","ATH","8","0.250","0.25","0.50","0.75","0","1","0","1","2","1","6","37.5","0.250","0"
"Jarren Duran","BOS","Will Warren","NYY","8","0.250","0.40","0.50","0.75","0","0","2","0","2","0","6","37.5","0.333","1"
"Ketel Marte","ARI","Nick Martinez","TB","12","0.250","0.27","0.17","0.42","2","0","1","0","1","0","5","8.3","0.250","0"
"Freddie Freeman","LAD","Walker Buehler","SD","20","0.250","0.21","0.30","0.55","3","0","0","2","2","4","11","20.0","0.375","4"
"Francisco Lindor","NYM","Zack Wheeler","PHI","36","0.250","0.29","0.17","0.42","6","1","1","1","3","5","15","22.2","0.300","2"
"Michael Busch","CHC","Jacob Misiorowski","MIL","9","0.222","0.29","0.11","0.33","1","1","0","0","1","3","3","22.2","0.222","0"
"Luis Garcia Jr.","WSH","Trevor Rogers","BAL","9","0.222","0.25","0.22","0.44","0","2","0","0","2","1","4","22.2","0.273","1"
"Davis Schneider","TOR","Nathan Eovaldi","TEX","5","0.200","0.00","0.60","0.80","0","0","0","1","1","2","4","40.0","0.200","0"
"Edouard Julien","COL","Taj Bradley","MIN","5","0.200","0.00","0.60","0.80","0","0","0","1","1","3","4","40.0","0.333","1"
"Eric Haase","SF","Reynaldo Lopez","ATL","5","0.200","0.33","0.20","0.40","0","1","0","0","1","1","2","60.0","0.167","0"
"Zach Neto","LAA","J.T. Ginn","ATH","10","0.200","0.17","0.30","0.50","1","0","0","1","1","2","5","30.0","0.333","1"
"Geraldo Perdomo","ARI","Nick Martinez","TB","10","0.200","0.25","0.10","0.30","1","1","0","0","1","0","3","20.0","0.273","1"
"Jo Adell","LAA","J.T. Ginn","ATH","10","0.200","0.25","0.10","0.30","1","1","0","0","1","0","3","20.0","0.200","0"
"Corey Seager","TEX","Patrick Corbin","TOR","35","0.200","0.28","0.03","0.23","6","1","0","0","1","2","8","31.4","0.275","4"
"Nolan Arenado","ARI","Nick Martinez","TB","11","0.182","0.20","0.18","0.36","0","2","0","0","2","3","4","9.1","0.182","0"
"Jakob Marsee","MIA","Michael McGreevy","STL","6","0.167","0.25","0.33","0.50","0","0","1","0","1","1","3","33.3","0.167","0"
"Ceddanne Rafaela","BOS","Will Warren","NYY","6","0.167","0.17","0.17","0.33","0","1","0","0","1","0","2","0.0","0.167","0"
"Josh Lowe","LAA","J.T. Ginn","ATH","6","0.167","0.25","0.17","0.33","0","1","0","0","1","1","2","33.3","0.286","1"
"Henry Davis","PIT","Andrew Abbott","CIN","8","0.125","0.00","0.38","0.50","0","0","0","1","1","1","4","25.0","0.125","0"
