Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Nolan Gorman,LHB,STL,Jared Jones,R,34.9,48.1,25.5,44.9,39.2
Corey Seager,LHB,TEX,Logan Henderson,R,42.6,42.5,23.8,47.3,38.1
Tyrone Taylor,RHB,CHC,Rhett Lowder,R,49.1,35.3,33.6,39.5,37.2
Max Muncy,LHB,LAD,Drew Anderson,R,34.2,32.1,27.7,50.7,35.6
Cole Carrigg,SHB,COL,Grant Holmes,R,38,36,22.3,48.6,35.2
Justin Foscue,RHB,TEX,Logan Henderson,R,26.5,25.4,26.3,63.1,35.2
Munetaka Murakami,LHB,CWS,Dean Kremer,R,34,46.2,15,41.9,34.5
Danny Jansen,RHB,TEX,Logan Henderson,R,46.2,25.7,26.6,51.1,34.4
Fernando Tatis Jr.,RHB,SD,Shane McClanahan,L,28.6,33.4,17.4,58.2,34.3
Adley Rutschman,SHB,BOS,Cam Schlittler,R,22.4,33.7,18.7,56.8,33.8
Josh Bell,SHB,MIN,Luis Castillo,R,31,33.9,22.9,45.3,33.2
Henry Davis,RHB,PIT,Quinn Mathews,L,35,47.4,9.1,41.6,33.2
Drake Baldwin,LHB,ATL,Tomoyuki Sugano,R,32.4,28.3,26.1,47.6,32.9
Max Kepler,LHB,ARI,Blade Tidwell,R,38.4,43.9,20.5,29.1,32.6
Luis Rengifo,SHB,SD,Shane McClanahan,L,28.1,36.6,11.2,54.2,32.5
Jake Burger,RHB,TEX,Logan Henderson,R,50,25.7,24,45.3,32.5
Abimelec Ortiz,LHB,WSH,Eury Perez,R,13.7,28.6,31,46.3,32.3
Yainer Diaz,RHB,HOU,Christian Scott,R,27.8,30,34.4,34.6,32.2
Corbin Carroll,LHB,ARI,Blade Tidwell,R,32.6,17.4,22.8,63.2,32
Jac Caglianone,LHB,KC,Tanner Bibee,R,30,27.7,27.7,43.5,31.9
Daylen Lile,LHB,WSH,Eury Perez,R,23.2,30.4,20.5,50.7,31.8
Zac Veen,LHB,COL,Grant Holmes,R,38.7,39.8,39.8,8,31.7
Jake McCarthy,LHB,COL,Grant Holmes,R,35.9,38,8,47.8,31.2
Nolan Arenado,RHB,ARI,Blade Tidwell,R,24.2,26.6,24.8,47.8,31.1
Jonathan Aranda,LHB,TB,Casey Mize,R,35.7,34.2,9.3,50.9,31.1
Seiya Suzuki,RHB,CHC,Rhett Lowder,R,49.9,27.3,21.6,40.4,31.1
Gabriel Arias,RHB,CHC,Rhett Lowder,R,53,24.6,26.8,33.4,30.3
Hunter Goodman,RHB,COL,Grant Holmes,R,37.3,23.9,31.8,34.1,30.2
Colson Montgomery,LHB,CWS,Dean Kremer,R,25.3,22.8,24.5,48.2,29.9
Liam Hicks,LHB,TB,Casey Mize,R,46.3,23.8,20.9,42.4,29.8
Bryce Eldridge,LHB,SF,Kohl Drake,L,33.6,32.2,21.3,34.1,29.5
Jake Bauers,LHB,MIL,Cody Bradford,L,31.6,31.6,24.4,31.6,29.4
Wyatt Langford,RHB,TEX,Logan Henderson,R,38.9,17.1,23.9,48.9,29.3
Joc Pederson,LHB,TEX,Logan Henderson,R,35.8,19.7,30.5,37.9,29.1
Kyle Schwarber,LHB,PHI,Reid Detmers,L,41.6,21,29.8,33.7,28.9
Yordan Alvarez,LHB,HOU,Christian Scott,R,29.4,35.4,22.7,26.2,28.7
Francisco Alvarez,RHB,NYM,Hunter Brown,R,32.6,30.9,18.8,35.3,28.5
Taylor Trammell,LHB,HOU,Christian Scott,R,17.9,38.5,21.4,26.3,28.3
Esmerlyn Valdez,RHB,PIT,Quinn Mathews,L,41.9,26.8,41.3,8.5,28.1
Christian Walker,RHB,HOU,Christian Scott,R,37.7,20.3,23.6,39.7,27.9
Lars Nootbaar,LHB,ARI,Blade Tidwell,R,33.7,24.3,15.7,45.1,27.9
Cam Smith,RHB,HOU,Christian Scott,R,50.4,21.1,20.3,37.7,27.9
Travis Bazzana,LHB,CLE,Michael Wacha,R,30.1,20.9,24.4,40.1,27.7
Eugenio Suarez,RHB,CIN,David Peterson,L,32.9,16.8,25.4,43.8,27.7
Francisco Lindor,SHB,NYM,Hunter Brown,R,42.8,18.6,17.2,46.9,27.7
Derek Hill,RHB,PHI,Reid Detmers,L,17.6,42.2,20.2,19.8,27.5
