Matchup,BAL @ BOS
Pitcher,Payton Tolle
Pitcher Team,BOS
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,41.1,161,0.174,0.230,0.282,0.107,0.90,3,0.65,6.8%,26.9%,28.6%,26.1%,14.8%,10.02,61.5%,7.3%,5.8%,36.9%,31.1%,9.4%,20.4%
vsLHB,10.1,43,0.220,0.277,0.390,0.171,0.97,2,1.74,2.3%,19.7%,16.3%,25.0%,10.8%,6.10,69.8%,6.7%,5.9%,35.3%,26.5%,22.2%,14.7%
vsRHB,30.2,118,0.157,0.213,0.241,0.083,0.88,1,0.29,8.5%,28.7%,33.1%,26.4%,15.8%,11.45,58.5%,7.5%,5.8%,37.7%,33.3%,4.3%,23.2%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Coby Mayo RHB,+568,13,3.60,2,2,0.545,0.615,1.273,0.727,0.755,15.4%,16.0%,30.8%,8.2%,101.2,42.9%,28.6%,42.9%,85.7%,57.1%,76.5,65.2%,26.1%,26.1%,95.8%,28.6%,100.0%,28.6%,28.6%,71.4%,14.3%,14.3%,46.7%
Weston Wilson RHB,+600,16,1.60,1,1,0.333,0.375,0.533,0.200,0.394,6.2%,19.2%,12.5%,8.5%,86.1,-,-,15.4%,38.5%,38.5%,73.7,37.5%,20.8%,8.3%,100.0%,30.8%,25.0%,23.1%,38.5%,46.2%,38.5%,15.4%,26.7%
Taylor Ward RHB,+620,16,4.80,0,0,0.231,0.375,0.231,-,0.289,18.8%,20.0%,25.0%,8.2%,91.7,-,-,11.1%,33.3%,55.6%,69.3,8.7%,30.4%,8.7%,95.8%,22.2%,0.0%,66.7%,11.1%,22.2%,44.4%,33.3%,36.8%
Adley Rutschman SHB,+630,14,4.40,0,0,0.222,0.500,0.333,0.111,0.386,35.7%,15.0%,7.1%,5.0%,92.9,12.5%,-,25.0%,62.5%,37.5%,70.5,11.1%,33.3%,16.7%,90.0%,37.5%,0.0%,25.0%,37.5%,25.0%,62.5%,12.5%,18.8%
Leody Taveras SHB,+980,12,4.00,0,0,0.250,0.250,0.250,-,0.222,-,15.0%,8.3%,6.5%,80.6,9.1%,-,-,27.3%,45.5%,74.0,35.3%,29.4%,5.9%,89.5%,18.2%,0.0%,36.4%,27.3%,27.3%,27.3%,45.5%,30.0%
Gunnar Henderson LHB,+610,12,4.60,0,0,0.182,0.250,0.273,0.091,0.240,-,21.1%,16.7%,7.5%,88.6,-,-,-,33.3%,22.2%,75.1,62.5%,25.0%,-,84.2%,-,-,22.2%,66.7%,33.3%,44.4%,22.2%,25.0%
Pete Alonso RHB,+433,11,4.20,0,1,0.182,0.182,0.182,-,0.162,-,27.3%,27.3%,14.6%,100.7,-,-,25.0%,87.5%,62.5%,74.2,31.6%,36.8%,15.8%,90.5%,25.0%,0.0%,37.5%,37.5%,25.0%,50.0%,25.0%,50.0%
Blaze Alexander RHB,+920,11,3.20,0,0,0.300,0.273,0.400,0.100,0.277,-,13.3%,-,8.5%,91.5,-,-,-,36.4%,45.5%,71.4,24.0%,28.0%,8.0%,86.2%,45.5%,0.0%,9.1%,36.4%,18.2%,45.5%,36.4%,53.8%
Tyler O'Neill RHB,+527,9,2.20,0,0,-,0.111,-,-,0.072,11.1%,27.8%,22.2%,11.6%,83.2,-,-,-,50.0%,33.3%,70.3,-,23.5%,-,94.4%,50.0%,0.0%,16.7%,33.3%,33.3%,16.7%,50.0%,18.2%
Samuel Basallo LHB,+540,6,3.40,0,0,0.167,0.167,0.167,-,0.148,-,26.7%,16.7%,11.1%,69.0,-,-,20.0%,20.0%,40.0%,74.0,46.2%,7.7%,7.7%,86.7%,-,-,20.0%,80.0%,40.0%,60.0%,-,42.9%
Jeremiah Jackson RHB,+725,5,2.80,0,0,-,-,-,-,-,-,27.8%,40.0%,12.5%,100.8,-,-,-,66.7%,-,73.9,37.5%,18.8%,12.5%,94.1%,-,-,-,100.0%,100.0%,-,-,18.2%
Colton Cowser LHB,N/A,3,2.60,0,0,0.333,0.333,0.333,-,0.297,-,25.0%,33.3%,14.3%,39.1,-,-,-,-,-,73.7,42.9%,-,-,87.5%,-,-,-,50.0%,-,50.0%,50.0%,50.0%
Jackson Holliday LHB,N/A,2,3.40,0,0,-,0.500,-,-,0.324,50.0%,33.3%,-,9.1%,85.9,-,-,-,-,-,69.2,-,33.3%,-,100.0%,100.0%,0.0%,-,-,-,100.0%,-,40.0%
