HR Split,Overall
Dates,="8/13/2026"
Games,20

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,3:07 PM,Max Scherzer,vs,1.73,1.54,1.59,2.87,11.2%,28.5%,38.6%,30.6%,7.6%,670
2,7:30 PM,Aaron Nola,@,1.23,1.05,0.87,2.46,9.9%,25.8%,44.4%,28.9%,5.0%,1075
3,1:10 PM,Braxton Ashcraft,@,0.46,0.45,0.27,1.74,7.5%,25.0%,41.1%,24.9%,6.5%,945
4,1:35 PM,Logan Gilbert,@,0.46,0.20,0.58,1.34,10.4%,18.1%,41.4%,28.6%,6.9%,1283
5,4:05 PM,Cade Cavalli,vs,0.46,0.33,0.43,1.56,8.1%,24.6%,41.4%,24.0%,7.8%,888
6,3:07 PM,Payton Tolle,@,0.34,0.31,0.31,1.64,6.7%,23.0%,38.4%,26.7%,7.4%,619
7,1:10 PM,Tyler Phillips,vs,0.21,-0.30,0.61,1.44,7.6%,12.1%,45.5%,27.0%,7.3%,796
8,10:10 PM,Roki Sasaki,vs,0.19,-0.24,0.91,1.44,7.7%,18.9%,38.9%,26.0%,7.2%,767
9,10:10 PM,Shane Drohan,@,0.12,-0.81,0.49,1.08,9.3%,11.7%,35.2%,34.1%,7.7%,513
10,1:10 PM,Keider Montero,vs,0.06,0.28,-0.06,1.23,7.8%,19.4%,37.3%,23.7%,8.6%,1006
11,10:07 PM,Jacob deGrom,@,0.05,0.54,-0.70,0.90,9.7%,12.7%,47.9%,28.5%,5.6%,1261
12,2:10 PM,Davis Martin,vs,-0.02,0.30,-0.39,1.20,7.0%,15.3%,43.0%,25.1%,7.4%,1221
13,7:30 PM,Taj Bradley,vs,-0.16,0.35,-0.79,0.92,7.6%,14.2%,43.8%,25.5%,7.1%,1286
14,2:10 PM,Andrew Abbott,@,-0.59,-0.56,-0.40,0.78,6.9%,9.2%,36.0%,27.1%,6.2%,1354
15,1:10 PM,Parker Messick,@,-0.66,-0.64,-0.47,1.01,5.0%,19.7%,30.8%,20.5%,6.5%,826
16,4:05 PM,Kevin Gausman,@,-0.75,-0.78,-0.37,0.73,5.2%,9.4%,37.2%,26.6%,6.3%,1577
17,10:07 PM,Walbert Urena,vs,-1.30,-0.85,-1.36,0.45,3.1%,7.6%,33.6%,22.4%,6.9%,535
18,1:35 PM,Max Fried,vs,-1.83,-1.16,-1.52,0.14,1.6%,2.5%,30.9%,19.4%,7.5%,1240
