Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Derek Hill,RHB,PHI,Miles Mikolas,R,29.8,34.5,34.9,67.6,42.4
Bo Bichette,RHB,NYM,Foster Griffin,L,44.8,40.5,39.8,24.1,36.6
Kyle Schwarber,LHB,PHI,Miles Mikolas,R,38.1,31.1,31.1,50,36.5
Brice Turang,LHB,MIL,Braxton Ashcraft,R,33.7,24.5,27.8,65,36.5
Randy Arozarena,RHB,SEA,Framber Valdez,L,39.8,37,37,30.7,35.7
Pete Alonso,RHB,BAL,Ryan Johnson,R,31.8,23.1,32.7,51.2,33.9
Drake Baldwin,LHB,ATL,Janson Junk,R,38.5,25.4,31.9,46.2,33.9
Henry Davis,RHB,PIT,Dustin May,R,37.4,32.1,27.6,40,33.3
Josh Bell,SHB,MIN,Michael Wacha,R,37.1,32.3,26.9,40.5,33.2
Francisco Alvarez,RHB,NYM,Foster Griffin,L,34.5,32.4,24.1,40.5,32.1
Jac Caglianone,LHB,KC,Bailey Ober,R,32.2,36.7,27.1,31.8,32.1
Bryce Harper,LHB,PHI,Miles Mikolas,R,40.3,31.1,31.1,31.1,32
Bobby Witt Jr.,RHB,KC,Bailey Ober,R,37.9,32.1,23.4,38.8,31.7
Dillon Dingler,RHB,DET,Bryce Miller,R,38.2,27.1,25.1,43.4,31.7
Esmerlyn Valdez,RHB,PIT,Dustin May,R,27.5,29.5,30.5,35,31
Fernando Tatis Jr.,RHB,SD,Kohl Drake,L,20.2,31.2,8.4,60.5,30.6
Austin Riley,RHB,ATL,Janson Junk,R,46.3,32.5,23.8,29.3,30.5
Dominic Smith,LHB,ATL,Janson Junk,R,51.1,24.6,19.1,40.4,29.6
Ozzie Albies,SHB,ATL,Janson Junk,R,45.1,17.9,28.1,41.3,29.5
Brandon Marsh,LHB,PHI,Miles Mikolas,R,40.3,27.4,29.2,28.5,29.5
Vaughn Grissom,RHB,LAA,Brandon Young,R,41.1,28,34.8,18.9,29.1
Tyler Stephenson,RHB,CIN,Mason Barnett,R,27,30.8,17.4,41.3,29
Carter Jensen,LHB,KC,Bailey Ober,R,31.5,28,22.3,36.9,28.9
Michael Conforto,LHB,CHC,Dylan Cease,R,35.7,16.2,27.3,45.2,28.7
Nathaniel Lowe,LHB,CLE,Nolan McLean,R,30.5,17.3,28.4,44,28.6
Riley Greene,LHB,DET,Bryce Miller,R,43.3,33.1,15.7,31.5,28.5
Munetaka Murakami,LHB,CWS,Ranger Suarez,L,32.9,27.5,26.6,30,28.4
Brandon Lowe,LHB,PIT,Dustin May,R,29,34.4,20,30,28.4
Randal Grichuk,RHB,CWS,Ranger Suarez,L,28.5,29.3,21.1,34.2,28
Jose Ramirez,SHB,CLE,Nolan McLean,R,25.7,30.8,14.1,41.8,28
Manny Machado,RHB,SD,Kohl Drake,L,27.4,29.1,10.9,46.7,27.9
Garrett Mitchell,LHB,MIL,Braxton Ashcraft,R,37.6,25.4,9.9,49.3,27.9
Julio Rodriguez,RHB,SEA,Framber Valdez,L,28.4,23.1,9.5,56.6,27.9
Miguel Amaya,RHB,CHC,Dylan Cease,R,31.6,21.9,20.9,41.6,27.5
Michael Harris II,LHB,ATL,Janson Junk,R,41.3,21,19.1,41.3,27.5
Tyrone Taylor,RHB,CHC,Dylan Cease,R,32.7,25.6,16.5,40.4,27.3
Lars Nootbaar,LHB,ARI,Walker Buehler,R,43.6,20.5,8.9,52.1,27.2
James Outman,LHB,DET,Bryce Miller,R,31.5,18.3,21.5,43.3,26.8
Ronald Acuna Jr.,RHB,ATL,Janson Junk,R,30.2,19.3,20.5,42.6,26.6
Max Kepler,LHB,ARI,Walker Buehler,R,40.4,39.5,12.4,18.6,26.2
Cal Raleigh,SHB,SEA,Framber Valdez,L,29,27.2,19.6,30.9,26
Mike Yastrzemski,LHB,ATL,Janson Junk,R,31.6,23,25.7,27.5,25.8
Tyler Soderstrom,LHB,ATH,Andrew Abbott,L,49.3,10.1,28.9,34.4,25.7
Matt Olson,LHB,ATL,Janson Junk,R,26.8,21,24,33.4,25.6
Wilyer Abreu,LHB,BOS,Luis Castillo,R,35,14.1,20,44.7,25.6
Daylen Lile,LHB,WSH,Cristopher Sanchez,L,39.7,20.3,10.5,45.7,25.6
Max Clark,LHB,DET,Bryce Miller,R,39.8,,34,44.6,25.3
Rhys Hoskins,RHB,CLE,Nolan McLean,R,42.7,23.9,19,27.6,25.2
Travis Bazzana,LHB,CLE,Nolan McLean,R,21.3,20.9,26.9,30.8,25.2
Colton Cowser,LHB,BAL,Ryan Johnson,R,23.2,34.9,19.1,19.9,25.2
Colson Montgomery,LHB,CWS,Ranger Suarez,L,37.6,20.9,21.8,30,25.1
Jared Triolo,RHB,PIT,Dustin May,R,56.7,12.2,9.9,48.3,25
Trevor Larnach,LHB,MIN,Michael Wacha,R,42.8,15.4,14.7,43.7,25
Gary Sanchez,RHB,MIL,Braxton Ashcraft,R,28.4,22.5,30.4,19.9,24.8
Gunnar Henderson,LHB,BAL,Ryan Johnson,R,35.6,19.9,19.2,33.7,24.7
Michael Massey,LHB,KC,Bailey Ober,R,20.9,24.1,12.5,41.3,24.6
Lane Thomas,RHB,ATL,Janson Junk,R,42.4,17.8,19,32.7,24.3
Kevin McGonigle,LHB,DET,Bryce Miller,R,27.6,22.7,8.4,44,24.2
Petey Halpin,LHB,CLE,Nolan McLean,R,20.4,19.6,26.3,29.5,24.2
Tristan Gray,LHB,MIN,Michael Wacha,R,42.6,21.6,,49.2,24.1
Nick Loftin,RHB,KC,Bailey Ober,R,49.9,14.5,14.9,38,24
Nolan Arenado,RHB,ARI,Walker Buehler,R,21.6,19.3,10.3,46.9,23.7
Francisco Lindor,SHB,NYM,Foster Griffin,L,54.9,17.3,9.2,37.4,23.7
Esteury Ruiz,RHB,MIA,Martin Perez,L,15.9,23.6,19.4,32,23.7
Spencer Torkelson,RHB,DET,Bryce Miller,R,38.3,18.6,18.6,31.3,23.7
Spencer Horwitz,LHB,PIT,Dustin May,R,47.9,22.6,28.4,10.1,23.7
Gabriel Moreno,RHB,ARI,Walker Buehler,R,27.3,17.8,10.8,45.6,23.6
Christian Yelich,LHB,MIL,Braxton Ashcraft,R,35.8,15.6,9.9,45.9,23.5
Endy Rodriguez,SHB,PIT,Dustin May,R,29,22.9,25.3,20,23.5
Moisés Ballesteros,LHB,LAA,Brandon Young,R,31.4,23.5,12.3,33.2,23.4
Salvador Perez,RHB,KC,Bailey Ober,R,41.7,8.2,20.5,40.5,23.3
Adley Rutschman,SHB,BOS,Luis Castillo,R,29,24.3,6.1,40,23.2
Jakob Marsee,LHB,MIA,Martin Perez,L,26.9,9.3,11.6,54.3,23
Luis Robert,RHB,NYM,Foster Griffin,L,48.4,21,21,17.5,22.9
Michael Busch,LHB,CHC,Dylan Cease,R,31.6,17.1,7.8,45.1,22.8
Chase DeLauter,LHB,CLE,Nolan McLean,R,16.1,31.5,13.8,23.5,22.6
Isaac Collins,SHB,KC,Bailey Ober,R,48.7,13.3,17.7,31.2,22.6
Coby Mayo,RHB,BAL,Ryan Johnson,R,31,12.6,13.4,44.2,22.6
Jackson Merrill,LHB,SD,Kohl Drake,L,32.2,12.2,13.4,44.1,22.5
Jonah Heim,SHB,ATH,Andrew Abbott,L,35.5,18.1,24,21.2,22.4
Edmundo Sosa,RHB,PHI,Miles Mikolas,R,32.8,22,19.4,21.5,22.2
Corbin Carroll,LHB,ARI,Walker Buehler,R,20.8,10.8,19.5,41.1,22
Joey Bart,RHB,CWS,Ranger Suarez,L,28,24.2,7.5,33.3,21.8
Max Muncy,RHB,ATH,Andrew Abbott,L,28.6,24,6.7,34.2,21.8
Kyle Isbel,LHB,KC,Bailey Ober,R,44.1,8.5,8.7,46.8,21.7
Ketel Marte,SHB,ARI,Walker Buehler,R,37.6,11.1,23.3,27.7,21.6
Bryson Stott,LHB,PHI,Miles Mikolas,R,32,21.4,5.9,35.6,21.4
Nick Gonzales,RHB,PIT,Dustin May,R,31.3,9.3,9.3,48.9,21.4
Zach McKinstry,LHB,DET,Bryce Miller,R,29.1,13.7,19,31.5,21.3
Colt Keith,LHB,DET,Bryce Miller,R,48.2,14.3,17.3,25.2,21.3
Vladimir Guerrero Jr.,RHB,TOR,David Peterson,L,20.8,16.1,9.2,43.1,21.2
Eugenio Suarez,RHB,CIN,Mason Barnett,R,23.7,20.6,8.7,35.5,21.1
Lawrence Butler,LHB,ATH,Andrew Abbott,L,49.2,17.4,9.1,29.3,21.1
Taylor Ward,RHB,SEA,Framber Valdez,L,27.8,19,13.3,29.9,20.9
Jeremiah Jackson,RHB,BAL,Ryan Johnson,R,56.3,10,21.5,21.1,20.9
Kyle Stowers,LHB,MIA,Martin Perez,L,39.3,9.9,11.6,40.1,20.9
Angel Martinez,SHB,CLE,Nolan McLean,R,29.4,16.4,17.6,27.6,20.9
William Contreras,RHB,MIL,Braxton Ashcraft,R,36.1,17.6,6.5,36.2,20.8
David Hamilton,LHB,MIL,Braxton Ashcraft,R,36.3,24.3,4.9,28.9,20.8
Bryan Reynolds,SHB,PIT,Dustin May,R,36.2,11.8,18.9,29,20.7
Heriberto Hernandez,RHB,MIA,Martin Perez,L,49.3,17.7,20.7,13.2,20.6
Brandon Valenzuela,SHB,TOR,David Peterson,L,15.4,19.1,19.1,26.2,20.5
Seiya Suzuki,RHB,CHC,Dylan Cease,R,30,16.8,17.9,25.2,20.5
Willson Contreras,RHB,BOS,Luis Castillo,R,27.8,14.9,17.5,28.8,20.4
Jorge Barrosa,SHB,ARI,Walker Buehler,R,20.6,21.4,8.9,32.7,20.4
Luis Lara,SHB,MIL,Braxton Ashcraft,R,25.4,18.9,,43.9,20.1
Jase Bowen,RHB,SD,Kohl Drake,L,15.3,28.6,8.4,24.3,20.1
Marcus Semien,RHB,NYM,Foster Griffin,L,14.5,16.4,8.3,41.5,20.1
Ty France,RHB,SD,Kohl Drake,L,14,19.6,20.2,22.6,20
Tim Tawa,RHB,ARI,Walker Buehler,R,53.1,15.6,9.2,25.9,20
Cole Young,LHB,SEA,Framber Valdez,L,38.9,13.7,17,24.9,20
Brady House,RHB,WSH,Cristopher Sanchez,L,26,15.6,9.7,35.1,19.7
Carson Benge,LHB,NYM,Foster Griffin,L,34.3,16.6,9.1,30.7,19.6
Denzer Guzman,RHB,LAA,Brandon Young,R,53,11.1,18.9,18.9,19.6
Weston Wilson,RHB,SEA,Framber Valdez,L,26,17.6,19.6,19.6,19.5
Hao-Yu  Lee,RHB,DET,Bryce Miller,R,43.4,16.5,15.8,18.7,19.5
Adam Frazier,LHB,LAA,Brandon Young,R,38.6,10.5,10.5,34.9,19.4
Kazuma Okamoto,RHB,TOR,David Peterson,L,37.8,17.2,9.2,26.2,19.1
Jacob Gonzalez,LHB,PIT,Dustin May,R,14.3,9.9,25.2,26.4,19.1
Jackson Holliday,LHB,BAL,Ryan Johnson,R,33.7,11.6,12.7,31.3,19.1
Andrew Vaughn,RHB,MIL,Braxton Ashcraft,R,34.4,11.6,17.4,25.2,19
Patrick Bailey,SHB,CLE,Nolan McLean,R,27,17.8,12.6,24.6,18.9
Anthony Seigler,SHB,BOS,Luis Castillo,R,23.5,9,11.2,39.8,18.8
Jackson Chourio,RHB,MIL,Braxton Ashcraft,R,38.5,16.6,8.9,25.3,18.7
Zach Neto,RHB,LAA,Brandon Young,R,33.4,14.6,18,18.8,18.5
Mike Trout,RHB,LAA,Brandon Young,R,30.2,18.9,13.4,18.9,18.4
Matt McLain,RHB,CIN,Mason Barnett,R,29.4,27.6,4.4,17.4,18.3
Alex Jackson,RHB,MIN,Michael Wacha,R,45.6,11,11,25.8,18.2
Pete Crow-Armstrong,LHB,CHC,Dylan Cease,R,16.3,18.6,7.8,30.5,18.1
Alec Bohm,RHB,PHI,Miles Mikolas,R,36.4,12.1,17.8,18.7,17.9
Ryan Jeffers,RHB,MIN,Michael Wacha,R,39.9,8.8,15,25.4,17.9
Ildemaro Vargas,SHB,ARI,Walker Buehler,R,42.9,6,5.9,38.6,17.8
A.J. Ewing,LHB,NYM,Foster Griffin,L,37.7,12.4,9.3,27.2,17.7
Henry Bolte,RHB,ATH,Andrew Abbott,L,33.8,12.1,7.4,31.4,17.7
Alika Williams,RHB,ATH,Andrew Abbott,L,28.8,9.8,,45,17.6
