Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Heriberto Hernandez,RHB,MIA,Matthew Boyd,L,56,35,41.8,42.9,41.1
Bryce Harper,LHB,PHI,Bryse Wilson,R,32.9,38.4,42.5,44.6,40.6
Junior Caminero,RHB,TB,Cam Schlittler,R,52.9,39.8,40.7,35.3,40.3
Jake Burger,RHB,TEX,Zach Thornton,L,48,35.8,37.6,43.5,39.5
Victor Mesa Jr.,LHB,TB,Cam Schlittler,R,17.9,43.6,35.1,41.1,37.9
Yordan Alvarez,LHB,HOU,Mason Barnett,R,27.7,45.7,24.8,44.2,37.3
Pete Crow-Armstrong,LHB,CHC,Tyler Phillips,R,35.9,29.2,28.6,52.7,35.6
Oneil Cruz,LHB,PIT,Kyle Leahy,R,30.5,38.6,20.3,51.3,35.5
Carson Benge,LHB,NYM,Kumar Rocker,R,14.9,39.4,21.9,52.6,35
Edmundo Sosa,RHB,PHI,Bryse Wilson,R,41.7,30.3,26.4,43.5,33.6
Jesus Sanchez,LHB,ARI,Tanner Gordon,R,28.3,57.2,,41.4,33.2
Juan Soto,LHB,NYM,Kumar Rocker,R,32.6,33.7,17.2,51.6,33.1
Max Muncy,LHB,LAD,Nick Pivetta,R,40.9,32.1,23.5,42,32.9
Alex Freeland,SHB,LAD,Nick Pivetta,R,21.1,47.2,22.8,29.6,32.9
Derek Hill,RHB,PHI,Bryse Wilson,R,21.3,32.1,27.2,44.6,32.7
Ryan Vilade,RHB,TB,Cam Schlittler,R,32,28.2,32.2,39.4,32.6
Carter Jensen,LHB,KC,David Sandlin,R,35.7,32.4,32.5,31.5,32.5
Francisco Lindor,SHB,NYM,Kumar Rocker,R,30.6,34.1,16.8,49.2,32.3
Henry Davis,RHB,PIT,Kyle Leahy,R,41.9,36,23.8,33.5,32.3
Vaughn Grissom,RHB,LAA,Bryan Woo,R,29.1,30.9,32.7,30.8,31.2
Christian Yelich,LHB,MIL,Andrew Painter,R,35.7,25.5,20.2,48.9,30.8
Nolan Gorman,LHB,STL,Paul Skenes,R,19.8,42,12.7,40.4,30.6
Munetaka Murakami,LHB,CWS,Randy Dobnak,R,36.2,33.1,21.3,34.4,30.2
Tyrone Taylor,RHB,CHC,Tyler Phillips,R,42.2,25.1,29.9,32.7,30.2
Eugenio Suarez,RHB,CIN,Tyler Mahle,R,26.3,41.1,19.3,29.1,30.1
Cal Raleigh,SHB,SEA,Grayson Rodriguez,R,38.7,19.7,17.1,56.1,29.9
Hunter Feduccia,LHB,LAD,Nick Pivetta,R,36.1,31.5,14.6,42.7,29.7
Jorge Mateo,RHB,TB,Cam Schlittler,R,72.8,31.2,13.9,28.5,29.5
Ronald Acuna Jr.,RHB,ATL,Brady Singer,R,35,22.9,15.9,51.8,29.2
Kyle Stowers,LHB,MIA,Matthew Boyd,L,42.8,21.8,19,45.9,29.1
Jackson Merrill,LHB,SD,Tyler Glasnow,R,32.7,27.4,24.8,34.8,29
JJ Wetherholt,LHB,STL,Paul Skenes,R,23.1,30.9,9.9,51.1,28.9
Adley Rutschman,SHB,BOS,Daniel Espino,R,27.9,28,27.3,32.5,28.9
Ben Rice,LHB,NYY,Ian Seymour,L,31.6,27.4,22.7,36.8,28.8
Rafael Flores,RHB,PIT,Kyle Leahy,R,34.6,20.9,18.1,49.1,28.5
Miguel Vargas,RHB,CWS,Randy Dobnak,R,37.2,24.1,17.1,43.5,28.2
Corbin Carroll,LHB,ARI,Tanner Gordon,R,26.9,20.8,18.9,49.9,28.1
Michael Busch,LHB,CHC,Tyler Phillips,R,37.8,18.3,8.2,61.4,28
Drake Baldwin,LHB,ATL,Brady Singer,R,28.5,31.6,16.3,36.4,27.9
Richie Palacios,LHB,TB,Cam Schlittler,R,25.7,22.5,21.6,43.6,27.8
Garrett Mitchell,LHB,MIL,Andrew Painter,R,36.6,21.4,20.5,40,27.3
Yandy Diaz,RHB,TB,Cam Schlittler,R,,30,23.8,38.1,27.2
Zach Neto,RHB,LAA,Bryan Woo,R,45.9,21.5,31.7,21.5,27
Kyle Schwarber,LHB,PHI,Bryse Wilson,R,32.1,27.8,32.1,16.6,26.7
Kyle Tucker,LHB,LAD,Nick Pivetta,R,47.3,18,20.6,38,26.7
Agustin Ramirez,RHB,MIA,Matthew Boyd,L,45.9,24.4,9.3,42.9,26.6
Jarren Duran,LHB,BOS,Daniel Espino,R,34.1,28.8,17,31.6,26.5
Jakob Marsee,LHB,MIA,Matthew Boyd,L,23.4,8.3,10.6,71.4,26.3
Shea Langeliers,RHB,ATH,Peter Lambert,R,59.6,17.9,14.8,38.7,26.3
Seiya Suzuki,RHB,CHC,Tyler Phillips,R,40.7,25.8,21.8,26.3,26.2
Jonathan Aranda,LHB,TB,Cam Schlittler,R,15.2,31.2,16.9,34.3,26.1
Jo Adell,RHB,CLE,Ranger Suarez,L,37.4,27.1,31.2,13.7,26
Jake Bauers,LHB,MIL,Andrew Painter,R,43,27.9,14.4,30.5,26
Colson Montgomery,LHB,CWS,Randy Dobnak,R,36.2,23,22.6,28.6,25.6
Anthony Volpe,RHB,NYY,Ian Seymour,L,20.5,22.4,12.4,47.7,25.5
Willson Contreras,RHB,BOS,Daniel Espino,R,33.1,19.5,18.9,37.1,25.1
Jose Siri,RHB,LAA,Bryan Woo,R,46.4,29.2,11.7,27.1,25.1
Wilyer Abreu,LHB,BOS,Daniel Espino,R,30.3,24.8,26.1,21.4,24.9
Ezequiel Duran,RHB,TEX,Zach Thornton,L,29.6,30.4,9.9,33.4,24.9
Pedro Pages,RHB,STL,Paul Skenes,R,38.8,26.2,24.7,17.9,24.9
Amed Rosario,RHB,NYY,Ian Seymour,L,25.9,27.1,12.4,35.5,24.7
Andy Pages,RHB,LAD,Nick Pivetta,R,23.4,35.2,17,19.7,24.7
Jared Triolo,RHB,PIT,Kyle Leahy,R,45.2,13.4,10.8,48.7,24.6
