Matchup,SD @ LAD
Pitcher,Shohei Ohtani
Pitcher Team,LAD
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,61.0,244,0.187,0.239,0.260,0.073,0.97,3,0.44,7.4%,31.1%,27.9%,26.0%,14.5%,10.03,55.5%,6.1%,3.3%,34.0%,22.9%,8.6%,14.4%
vsLHB,33.2,139,0.224,0.270,0.312,0.088,1.16,2,0.53,7.9%,29.5%,25.9%,26.5%,13.6%,9.62,55.4%,5.6%,2.2%,35.2%,20.9%,10.5%,17.6%
vsRHB,27.1,105,0.138,0.200,0.191,0.053,0.73,1,0.33,6.7%,33.2%,30.5%,25.4%,15.5%,10.54,55.7%,6.8%,4.8%,32.3%,25.8%,6.2%,9.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Gavin Sheets LHB,,+520,20,19,3.00,3,3,0.333,0.368,0.833,0.500,0.506,5.3%,15.2%,26.3%,6.8%,91.6,277.7,4,4,23.1%,15.4%,30.8%,46.2%,53.8%,74.3,53.8%,30.8%,19.2%,78.8%,53.9%,30.8%,75.0%,23.1%,38.5%,46.2%,38.5%,15.4%,10.0%
Sung-Mun Song LHB,—,N/A,20,15,3.40,1,1,0.308,0.400,0.615,0.308,0.430,13.3%,18.5%,6.7%,7.2%,92.3,259.3,4,2,16.7%,8.3%,50.0%,50.0%,50.0%,72.3,23.1%,30.8%,19.2%,100.0%,66.7%,25.0%,0.0%,41.7%,16.7%,58.3%,16.7%,25.0%,19.0%
Ty France RHB,,+600,33,12,3.80,1,1,0.222,0.417,0.667,0.444,0.455,8.3%,30.4%,25.0%,12.7%,85.5,295.8,3,1,-,-,16.7%,16.7%,33.3%,71.2,15.0%,20.0%,-,87.0%,66.7%,50.0%,33.3%,16.7%,16.7%,33.3%,16.7%,50.0%,8.3%
Fernando Tatis Jr. RHB,,+400,20,16,4.80,0,0,0.267,0.312,0.333,0.067,0.291,-,36.4%,18.8%,16.7%,96.0,278.1,3,2,8.3%,-,8.3%,58.3%,41.7%,75.9,75.0%,40.0%,20.0%,90.9%,66.7%,41.7%,0.0%,25.0%,25.0%,16.7%,66.7%,16.7%,23.1%
Jackson Merrill LHB,,+540,19,16,4.20,0,1,0.267,0.312,0.400,0.133,0.311,6.2%,30.8%,12.5%,17.9%,87.0,245.9,2,1,7.7%,7.7%,15.4%,46.2%,30.8%,72.4,16.7%,23.3%,10.0%,81.1%,38.5%,15.4%,0.0%,23.1%,46.2%,46.2%,23.1%,30.8%,61.1%
Xander Bogaerts RHB,,+750,14,13,3.60,0,0,0.364,0.462,0.364,-,0.374,15.4%,11.8%,7.7%,5.9%,89.2,244.1,2,0,-,-,30.0%,50.0%,50.0%,72.0,23.1%,30.8%,-,100.0%,80.0%,30.0%,0.0%,50.0%,20.0%,30.0%,60.0%,10.0%,20.0%
Jake Cronenworth LHB,,+900,23,13,3.00,0,0,0.083,0.154,0.083,-,0.118,7.7%,6.5%,15.4%,3.1%,81.6,246.9,1,0,10.0%,10.0%,20.0%,10.0%,40.0%,72.4,23.1%,23.1%,7.7%,86.7%,40.0%,10.0%,0.0%,30.0%,60.0%,70.0%,20.0%,10.0%,12.5%
Samad Taylor RHB,,+1300,16,12,4.00,0,0,0.300,0.417,0.300,-,0.331,16.7%,33.3%,41.7%,17.3%,68.4,208.8,0,0,-,-,-,60.0%,20.0%,66.6,-,13.0%,-,88.5%,20.0%,-,-,20.0%,40.0%,20.0%,80.0%,-,25.0%
Manny Machado RHB,,+420,16,11,4.20,0,2,0.250,0.455,0.500,0.250,0.408,27.3%,37.5%,45.5%,15.4%,97.2,348.1,2,2,33.3%,-,-,66.7%,100.0%,76.2,60.0%,20.0%,6.7%,100.0%,100.0%,66.7%,0.0%,33.3%,-,-,66.7%,33.3%,37.5%
Rodolfo Durán RHB,—,N/A,24,10,3.40,0,0,-,-,-,-,-,-,20.0%,40.0%,8.8%,86.6,255.0,2,1,-,-,16.7%,50.0%,-,72.8,46.2%,23.1%,7.7%,100.0%,33.3%,33.3%,0.0%,-,16.7%,16.7%,50.0%,33.3%,25.0%
