Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Cole Carrigg","COL","Logan Webb","SF","1","1.000","1.00","2.00","3.00","0","0","1","0","1","1","3","0.0","1.000","1"
"Brian Serven","ATH","MacKenzie Gore","TEX","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","1"
"Griffin Conine","MIA","Brady Singer","CIN","2","1.000","1.00","1.50","2.50","1","0","0","1","1","2","5","0.0","1.000","0"
"Alex Bregman","CHC","Michael McGreevy","STL","2","1.000","1.00","0.50","1.50","1","1","0","0","1","0","3","0.0","1.000","0"
"Brady House","WSH","Sean Manaea","NYM","4","0.750","0.67","1.00","1.75","1","1","0","1","2","4","7","0.0","0.800","1"
"Andrew Vaughn","MIL","Justin Wrobleski","LAD","3","0.667","0.67","0.33","1.00","1","1","0","0","1","1","3","0.0","0.667","0"
"Nasim Nuñez","WSH","Sean Manaea","NYM","3","0.667","0.50","1.00","1.67","1","0","0","1","1","2","5","0.0","0.800","2"
"William Contreras","MIL","Justin Wrobleski","LAD","3","0.667","0.50","1.00","1.67","1","0","0","1","1","3","5","0.0","0.667","0"
"Xavier Edwards","MIA","Brady Singer","CIN","8","0.625","0.63","0.13","0.75","4","1","0","0","1","1","6","0.0","0.625","0"
"Jacob Wilson","ATH","MacKenzie Gore","TEX","5","0.600","0.60","0.20","0.80","2","1","0","0","1","3","4","20.0","0.500","0"
"Sam Antonacci","CWS","Troy Melton","DET","5","0.600","0.50","0.60","1.20","2","0","0","1","1","1","6","0.0","0.714","1"
"Isaac Paredes","HOU","Emerson Hancock","SEA","5","0.600","0.50","0.60","1.20","2","0","0","1","1","2","6","0.0","0.600","0"
"Ian Happ","CHC","Michael McGreevy","STL","9","0.556","0.83","0.11","0.67","4","1","0","0","1","2","6","33.3","0.636","2"
"Bryce Eldridge","SF","Michael Lorenzen","COL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.750","2"
"JJ Bleday","CIN","Ryan Gusto","MIA","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Amed Rosario","NYY","Braydon Fisher","TOR","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Christian Vazquez","HOU","Emerson Hancock","SEA","2","0.500","1.00","0.50","1.00","0","1","0","0","1","3","2","50.0","0.500","0"
"Miguel Rojas","LAD","Jacob Misiorowski","MIL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Jazz Chisholm Jr.","NYY","Braydon Fisher","TOR","4","0.500","1.00","0.25","0.75","1","1","0","0","1","1","3","50.0","0.667","2"
"Gleyber Torres","DET","Anthony Kay","CWS","4","0.500","0.50","0.25","0.75","1","1","0","0","1","0","3","0.0","0.600","1"
"Jordan Walker","STL","Matthew Boyd","CHC","6","0.500","0.50","0.50","1.00","2","0","0","1","1","3","6","16.7","0.571","1"
"Seiya Suzuki","CHC","Michael McGreevy","STL","9","0.444","0.38","0.44","0.89","2","1","0","1","2","4","8","0.0","0.500","1"
"Cam Smith","HOU","Emerson Hancock","SEA","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.400","0"
"Junior Caminero","TB","Kyle Bradish","BAL","5","0.400","0.67","0.20","0.60","1","1","0","0","1","0","3","40.0","0.500","1"
"Agustin Ramirez","MIA","Brady Singer","CIN","5","0.400","0.40","0.40","0.80","0","2","0","0","2","2","4","0.0","0.400","0"
"Cal Raleigh","SEA","Hayden Wesneski","HOU","5","0.400","0.50","0.20","0.60","1","1","0","0","1","1","3","20.0","0.400","0"
"Michael Busch","CHC","Michael McGreevy","STL","10","0.400","0.29","0.70","1.10","1","1","0","2","3","4","11","10.0","0.400","0"
"Yandy Diaz","TB","Kyle Bradish","BAL","25","0.400","0.45","0.28","0.68","6","2","1","1","4","5","17","16.0","0.444","2"
"Mickey Moniak","COL","Logan Webb","SF","16","0.375","0.55","0.13","0.50","5","0","1","0","1","0","8","31.3","0.412","1"
"Ezequiel Tovar","COL","Logan Webb","SF","24","0.375","0.44","0.25","0.63","7","0","0","2","2","6","15","25.0","0.400","1"
"CJ Abrams","WSH","Sean Manaea","NYM","14","0.357","0.50","0.07","0.43","4","1","0","0","1","2","6","28.6","0.400","0"
"Jake McCarthy","COL","Logan Webb","SF","31","0.355","0.40","0.19","0.55","8","1","1","1","3","6","17","16.1","0.375","1"
"Ben Rice","NYY","Braydon Fisher","TOR","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","33.3","0.333","0"
