Matchup,DET @ TB
Pitcher,Nick Martinez
Pitcher Team,TB
Opposing Team,DET

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,66.2,269,0.244,0.278,0.354,0.110,1.11,4,0.54,4.5%,18.7%,15.2%,17.2%,9.3%,5.53,66.9%,6.9%,6.5%,31.3%,26.6%,7.0%,15.4%
vsLHB,38.2,160,0.238,0.280,0.364,0.126,1.16,3,0.70,5.6%,20.6%,15.6%,20.5%,9.7%,5.82,63.7%,6.9%,6.3%,33.3%,30.2%,7.9%,15.1%
vsRHB,27.0,109,0.252,0.275,0.340,0.087,1.07,1,0.33,2.8%,16.3%,14.7%,13.8%,8.7%,5.33,71.6%,6.8%,6.8%,28.4%,21.6%,5.3%,15.9%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Dillon Dingler RHB,+525,13,4.40,2,2,0.333,0.385,0.833,0.500,0.510,7.7%,17.9%,15.4%,11.4%,86.4,10.0%,-,20.0%,60.0%,40.0%,73.2,19.2%,23.1%,15.4%,92.9%,40.0%,50.0%,20.0%,40.0%,30.0%,50.0%,20.0%,46.7%
Kerry Carpenter LHB,+454,20,2.20,1,2,0.368,0.400,0.684,0.316,0.460,5.0%,34.1%,35.0%,19.7%,85.0,16.7%,8.3%,25.0%,33.3%,50.0%,71.9,10.5%,13.2%,5.3%,92.7%,16.7%,50.0%,33.3%,33.3%,33.3%,41.7%,25.0%,15.8%
Wenceel Perez SHB,+900,17,4.20,1,1,0.143,0.294,0.429,0.286,0.313,17.6%,23.1%,11.8%,9.7%,84.8,-,-,16.7%,16.7%,8.3%,69.9,10.0%,30.0%,5.0%,80.0%,41.7%,20.0%,-,41.7%,41.7%,33.3%,25.0%,33.3%
Riley Greene LHB,+520,17,4.40,1,1,0.312,0.353,0.562,0.250,0.393,5.9%,36.1%,35.3%,18.6%,92.6,10.0%,-,10.0%,80.0%,40.0%,75.6,57.6%,21.2%,12.1%,94.3%,20.0%,50.0%,20.0%,60.0%,40.0%,40.0%,20.0%,44.4%
Matt Vierling RHB,+940,10,4.00,1,1,0.375,0.400,0.750,0.375,0.453,10.0%,22.7%,10.0%,10.0%,90.7,12.5%,12.5%,25.0%,50.0%,50.0%,71.0,-,28.6%,14.3%,95.5%,25.0%,50.0%,25.0%,50.0%,50.0%,50.0%,-,7.1%
Kevin McGonigle LHB,+900,24,4.40,0,0,0.350,0.458,0.450,0.100,0.398,16.7%,19.4%,20.8%,8.6%,86.8,6.7%,-,20.0%,53.3%,33.3%,72.0,32.1%,28.6%,21.4%,90.3%,20.0%,0.0%,33.3%,40.0%,40.0%,60.0%,-,20.0%
Colt Keith LHB,+930,22,3.00,0,0,0.200,0.273,0.300,0.100,0.254,9.1%,10.7%,9.1%,4.6%,88.6,5.6%,-,11.1%,44.4%,44.4%,72.0,25.0%,35.7%,17.9%,100.0%,33.3%,0.0%,27.8%,27.8%,16.7%,61.1%,22.2%,18.2%
Zach McKinstry LHB,+900,17,3.20,0,1,0.083,0.235,0.083,-,0.167,17.6%,0.0%,5.9%,-,82.5,7.7%,-,-,23.1%,30.8%,69.0,3.8%,26.9%,7.7%,86.7%,46.2%,0.0%,15.4%,15.4%,7.7%,46.2%,38.5%,38.9%
Gleyber Torres RHB,+890,15,4.20,0,0,0.333,0.333,0.333,-,0.297,-,25.0%,6.7%,10.5%,80.8,-,-,-,35.7%,14.3%,67.7,-,31.8%,13.6%,91.7%,7.1%,0.0%,14.3%,78.6%,14.3%,42.9%,42.9%,30.0%
Jake Rogers RHB,+630,13,3.20,0,0,0.100,0.308,0.100,-,0.218,23.1%,23.8%,30.8%,9.3%,82.7,16.7%,-,50.0%,33.3%,50.0%,71.5,5.3%,15.8%,10.5%,95.0%,-,-,50.0%,-,50.0%,50.0%,-,23.1%
Spencer Torkelson RHB,+475,13,4.20,0,2,0.250,0.308,0.417,0.167,0.319,-,36.8%,30.8%,17.5%,93.9,12.5%,-,25.0%,62.5%,50.0%,74.2,38.9%,33.3%,16.7%,94.7%,50.0%,0.0%,37.5%,12.5%,37.5%,37.5%,25.0%,25.0%
Zack Short RHB,N/A,6,3.60,0,0,-,-,-,-,-,-,35.7%,33.3%,17.9%,85.2,-,-,25.0%,-,25.0%,71.0,14.3%,28.6%,-,100.0%,50.0%,0.0%,-,25.0%,50.0%,50.0%,-,14.3%
Jahmai Jones RHB,N/A,3,2.20,0,0,-,-,-,-,-,-,25.0%,33.3%,20.0%,81.4,-,-,-,-,-,71.0,25.0%,-,-,100.0%,50.0%,0.0%,-,50.0%,-,100.0%,-,100.0%
