Matchup,BOS @ TB
Pitcher,Nick Martinez
Pitcher Team,TB
Opposing Team,BOS

SPLIT,IP,WHIP,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Batting First,7.1,2.05,="12-34",.353,.529,0.176,0,6,0,1,10.8,3,.405,.934
Batting Second,8.0,1.63,="11-34",.324,.471,0.147,1,2,0,2,8.1,2,.378,.849
Batting Third,9.0,1.11,="9-35",.257,.371,0.114,1,1,0,6,13.9,1,.278,.649
Batting Fourth,8.0,1.13,="8-33",.242,.364,0.122,1,1,0,1,23.5,1,.265,.629
Batting Fifth,8.1,0.84,="6-31",.194,.226,0.032,0,1,0,0,15.6,1,.219,.445
Batting Sixth,7.2,1.17,="8-28",.286,.393,0.107,0,1,1,2,9.7,1,.300,.693
Batting Seventh,7.0,1.43,="9-29",.310,.483,0.173,1,2,0,2,16.7,1,.333,.816
Batting Eighth,8.0,0.63,="3-26",.115,.115,0.000,0,0,0,0,14.3,2,.179,.294
Batting Ninth,6.1,0.95,="5-22",.227,.545,0.318,2,1,0,3,19.2,1,.280,.825

PLAYER,SPLIT,H-AB,AVG,SLG,ISO,HR,2B,3B,RBI,K%,BB,OBP,OPS
Jarren Duran LHB,Batting First ​,="36-171",.211,.415,0.204,9,4,2,23,28.9,12,.267,.682
Ceddanne Rafaela RHB,Batting Second ​,="19-73",.260,.356,0.096,1,4,0,5,14.1,4,.308,.664
Wilyer Abreu LHB,Batting Third ​,="35-138",.254,.362,0.108,3,6,0,15,19.3,9,.295,.657
Willson Contreras RHB,Batting Fourth ​,="41-139",.295,.518,0.223,7,6,2,24,25.5,12,.376,.894
Masataka Yoshida LHB,Batting Fifth ​,="10-47",.213,.362,0.149,1,2,1,2,15.4,3,.269,.631
Mickey Gasper SHB,Batting Sixth ​,="10-25",.400,.600,0.200,0,3,1,3,13.8,4,.483,1.083
Caleb Durbin RHB,Batting Seventh ​,="11-41",.268,.439,0.171,1,4,0,5,13.3,4,.333,.772
Isiah Kiner-Falefa RHB,Batting Eighth ​,="4-7",.571,.571,0.000,0,0,0,0,11.1,2,.667,1.238
Marcelo Mayer LHB,Batting Ninth ​,="0-6",.000,.000,0.000,0,0,0,0,50.0,0,.000,.000
