Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Dansby Swanson","CHC","Landen Roupp","SF","2","1.000","1.00","0.50","1.50","1","1","0","0","1","2","3","0.0","1.000","0"
"Bryce Harper","PHI","Jacob Misiorowski","MIL","2","1.000","1.00","1.50","2.50","1","0","0","1","1","1","5","0.0","1.000","0"
"Jordan Walker","STL","Joe Ryan","MIN","3","1.000","1.00","1.00","2.00","2","0","0","1","1","1","6","0.0","1.000","0"
"George Springer","TOR","Ryan Weathers","NYY","3","0.667","1.00","1.00","1.67","1","0","0","1","1","1","5","33.3","0.667","0"
"Michael Conforto","CHC","Landen Roupp","SF","6","0.667","0.80","0.17","0.83","3","1","0","0","1","1","5","16.7","0.714","1"
"Lars Nootbaar","STL","Joe Ryan","MIN","5","0.600","0.50","0.60","1.20","2","0","0","1","1","2","6","0.0","0.667","0"
"Logan O'Hoppe","LAA","Shane McClanahan","TB","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Kyle Tucker","LAD","Anthony Kay","CWS","2","0.500","0.00","1.50","2.00","0","0","0","1","1","3","4","0.0","0.500","0"
"Gunnar Henderson","BAL","Griffin Canning","SD","8","0.500","0.43","0.63","1.13","2","0","1","1","2","2","9","12.5","0.444","0"
"Nathaniel Lowe","CIN","Eduardo Rodriguez","ARI","10","0.500","0.71","0.30","0.80","3","1","1","0","2","4","8","30.0","0.545","1"
"Adley Rutschman","BAL","Griffin Canning","SD","9","0.444","0.44","0.11","0.56","3","1","0","0","1","0","5","0.0","0.444","0"
"Pete Crow-Armstrong","CHC","Landen Roupp","SF","5","0.400","0.25","0.60","1.00","1","0","0","1","1","1","5","0.0","0.400","0"
"Freddy Fermin","SD","Shane Baz","BAL","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.500","1"
"Luis Arraez","SF","Javier Assad","CHC","5","0.400","0.40","0.20","0.60","1","1","0","0","1","0","3","0.0","0.400","0"
"Gleyber Torres","DET","Tanner Bibee","CLE","18","0.389","0.44","0.11","0.50","5","2","0","0","2","0","9","11.1","0.421","1"
"Brandon Lowe","PIT","Sandy Alcantara","MIA","16","0.375","0.43","0.25","0.63","2","4","0","0","4","1","10","12.5","0.500","4"
"Marcell Ozuna","PIT","Sandy Alcantara","MIA","31","0.355","0.39","0.26","0.61","7","2","0","2","4","7","19","19.4","0.394","2"
