Matchup,SF @ MIL
Pitcher,Adrian Houser
Pitcher Team,SF
Opposing Team,MIL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,56.1,257,0.290,0.363,0.489,0.199,1.56,9,1.44,8.2%,18.0%,13.2%,13.5%,8.3%,5.43,66.1%,6.6%,9.1%,44.9%,19.2%,21.1%,15.2%
vsLHB,29.1,158,0.353,0.451,0.632,0.279,2.25,7,2.15,11.4%,18.3%,15.8%,14.9%,8.3%,7.67,63.9%,6.6%,10.7%,46.4%,20.5%,26.1%,21.4%
vsRHB,26.2,99,0.200,0.222,0.284,0.084,0.82,2,0.68,3.0%,17.5%,9.1%,10.7%,8.5%,3.04,69.7%,6.6%,7.0%,43.0%,17.4%,13.3%,7.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jake Bauers LHB,+470,22,4.40,1,1,0.167,0.318,0.333,0.167,0.301,9.1%,28.6%,27.3%,11.1%,97.3,16.7%,-,8.3%,66.7%,33.3%,77.6,83.8%,24.3%,21.6%,90.2%,16.7%,50.0%,25.0%,58.3%,50.0%,25.0%,25.0%,21.7%
David Hamilton LHB,+930,15,3.40,1,2,0.214,0.267,0.429,0.214,0.302,6.7%,6.9%,6.7%,2.9%,84.4,-,-,-,46.2%,23.1%,70.1,-,36.0%,12.0%,89.3%,53.8%,14.3%,7.7%,23.1%,7.7%,23.1%,69.2%,22.7%
William Contreras RHB,+660,26,4.80,0,0,0.250,0.308,0.292,0.042,0.270,7.7%,15.9%,11.5%,8.1%,87.8,4.8%,-,-,33.3%,19.0%,73.4,35.9%,30.8%,12.8%,88.6%,23.8%,0.0%,14.3%,57.1%,19.0%,61.9%,19.0%,42.9%
Jackson Chourio RHB,+570,25,4.20,0,3,0.273,0.360,0.455,0.182,0.352,12.0%,16.7%,20.0%,6.0%,94.6,23.5%,-,-,52.9%,52.9%,75.0,54.5%,36.4%,24.2%,91.7%,47.1%,0.0%,23.5%,23.5%,11.8%,41.2%,47.1%,21.9%
Brice Turang LHB,+542,19,4.20,0,0,0.143,0.368,0.214,0.071,0.284,26.3%,35.4%,31.6%,14.8%,92.7,-,-,12.5%,62.5%,37.5%,68.0,4.8%,16.7%,7.1%,87.5%,-,-,37.5%,62.5%,37.5%,12.5%,50.0%,33.3%
Blake Perkins SHB,N/A,18,1.80,0,1,-,0.056,-,-,0.036,5.6%,31.6%,38.9%,15.2%,80.5,-,-,10.0%,40.0%,-,69.5,3.0%,18.2%,3.0%,91.7%,40.0%,0.0%,-,40.0%,30.0%,30.0%,40.0%,0.0%
Luis Rengifo SHB,+1120,17,3.80,0,0,0.200,0.294,0.200,-,0.233,11.8%,17.2%,-,8.6%,86.6,-,-,-,46.7%,20.0%,70.4,10.7%,42.9%,3.6%,96.6%,-,-,20.0%,73.3%,20.0%,66.7%,13.3%,35.3%
Garrett Mitchell LHB,+590,17,3.40,0,0,0.231,0.412,0.308,0.077,0.332,23.5%,39.3%,41.2%,15.9%,96.1,-,-,-,50.0%,-,76.3,69.2%,15.4%,11.5%,92.9%,16.7%,0.0%,-,83.3%,-,66.7%,33.3%,31.6%
Andrew Vaughn RHB,N/A,17,3.40,0,0,0.353,0.353,0.471,0.118,0.359,-,13.2%,11.8%,6.7%,94.0,-,-,26.7%,60.0%,33.3%,67.7,2.9%,37.1%,14.3%,92.1%,20.0%,0.0%,40.0%,40.0%,26.7%,20.0%,53.3%,30.0%
Christian Yelich LHB,+526,16,4.60,0,0,0.286,0.375,0.357,0.071,0.327,12.5%,40.6%,43.8%,15.9%,98.4,-,-,-,71.4%,71.4%,72.3,22.2%,22.2%,11.1%,84.4%,28.6%,0.0%,42.9%,28.6%,28.6%,42.9%,28.6%,9.1%
Joey Ortiz RHB,N/A,16,3.00,0,1,0.167,0.375,0.250,0.083,0.297,25.0%,14.3%,-,4.7%,85.9,-,-,-,33.3%,16.7%,73.4,35.0%,30.0%,20.0%,100.0%,33.3%,0.0%,8.3%,50.0%,33.3%,8.3%,58.3%,25.0%
Gary Sanchez RHB,+470,13,2.00,0,0,0.111,0.385,0.222,0.111,0.303,23.1%,38.9%,23.1%,15.6%,82.7,-,-,-,16.7%,16.7%,70.9,13.3%,20.0%,6.7%,83.3%,33.3%,0.0%,16.7%,50.0%,33.3%,50.0%,16.7%,28.6%
Sal Frelick LHB,+950,12,3.60,0,0,0.455,0.500,0.727,0.273,0.520,8.3%,7.7%,-,3.2%,91.6,-,-,18.2%,27.3%,54.5%,67.1,-,43.5%,13.0%,88.5%,-,-,54.5%,45.5%,54.5%,36.4%,9.1%,18.2%
