Matchup,ATL @ CIN
Pitcher,Martin Perez
Pitcher Team,ATL
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,46.2,185,0.199,0.275,0.355,0.157,1.03,5,0.96,8.1%,21.3%,21.6%,18.6%,9.6%,7.71,62.2%,7.5%,7.8%,40.6%,25.8%,12.1%,23.4%
vsLHB,13.2,54,0.200,0.269,0.360,0.160,0.88,1,0.66,3.7%,16.4%,22.2%,14.5%,8.1%,7.90,64.8%,10.4%,10.5%,34.2%,26.3%,10.0%,18.4%
vsRHB,33.0,131,0.198,0.278,0.353,0.155,1.09,4,1.09,9.9%,23.8%,21.4%,21.2%,10.3%,7.64,61.1%,6.2%,6.7%,43.3%,25.6%,13.0%,25.6%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Sal Stewart RHB,+434,11,4.60,1,1,0.400,0.455,0.700,0.300,0.493,9.1%,25.0%,27.3%,10.2%,83.3,14.3%,14.3%,14.3%,28.6%,14.3%,73.2,45.0%,15.0%,5.0%,100.0%,42.9%,33.3%,-,57.1%,42.9%,42.9%,14.3%,20.0%
Matt McLain RHB,+690,10,4.60,1,1,0.250,0.400,0.625,0.375,0.429,20.0%,17.6%,10.0%,8.3%,77.2,14.3%,-,14.3%,42.9%,42.9%,72.6,28.6%,21.4%,21.4%,82.4%,28.6%,50.0%,28.6%,14.3%,14.3%,71.4%,14.3%,22.2%
Eugenio Suarez RHB,+440,7,4.20,1,1,0.286,0.286,0.857,0.571,0.481,-,27.8%,28.6%,13.9%,99.1,20.0%,20.0%,20.0%,80.0%,40.0%,70.8,13.3%,33.3%,20.0%,93.8%,40.0%,50.0%,20.0%,40.0%,20.0%,60.0%,20.0%,37.5%
Blake Dunn RHB,+640,13,5.40,0,0,0.364,0.462,0.455,0.091,0.403,15.4%,30.0%,7.7%,15.0%,81.2,-,-,-,30.0%,60.0%,70.1,33.3%,22.2%,16.7%,90.0%,-,-,50.0%,20.0%,10.0%,50.0%,20.0%,58.3%
Tyler Stephenson RHB,+680,11,4.00,0,0,-,0.455,-,-,0.295,45.5%,12.5%,18.2%,3.4%,86.3,-,-,25.0%,25.0%,-,72.8,33.3%,22.2%,11.1%,69.2%,75.0%,0.0%,-,-,25.0%,50.0%,25.0%,20.0%
Nathaniel Lowe LHB,N/A,10,4.20,0,0,-,0.100,-,-,0.065,10.0%,11.8%,-,6.5%,83.5,-,-,-,22.2%,33.3%,74.3,40.0%,13.3%,-,93.8%,11.1%,0.0%,33.3%,33.3%,11.1%,44.4%,22.2%,22.2%
Dane Myers RHB,+690,10,2.60,0,0,0.222,0.300,0.444,0.222,0.326,-,31.2%,60.0%,12.5%,92.4,-,-,-,66.7%,66.7%,74.1,37.5%,12.5%,12.5%,100.0%,-,-,66.7%,33.3%,-,33.3%,66.7%,25.0%
Spencer Steer RHB,+551,9,4.20,0,0,0.375,0.444,0.500,0.125,0.411,11.1%,25.0%,-,11.8%,93.0,12.5%,-,25.0%,25.0%,62.5%,70.9,8.7%,30.4%,8.7%,95.8%,37.5%,0.0%,37.5%,25.0%,37.5%,37.5%,25.0%,33.3%
TJ Friedl LHB,N/A,8,2.40,0,0,0.250,0.250,0.250,-,0.222,-,0.0%,12.5%,-,78.6,-,-,-,14.3%,14.3%,70.8,-,33.3%,-,75.0%,-,-,14.3%,57.1%,42.9%,28.6%,28.6%,18.2%
Elly De La Cruz SHB,+496,8,4.80,0,0,0.375,0.375,0.750,0.375,0.473,-,19.2%,25.0%,10.9%,100.6,16.7%,16.7%,16.7%,66.7%,50.0%,75.6,54.5%,18.2%,13.6%,88.0%,33.3%,0.0%,50.0%,16.7%,33.3%,50.0%,16.7%,30.0%
JJ Bleday LHB,+710,7,4.80,0,0,0.667,0.714,0.833,0.167,0.656,14.3%,50.0%,14.3%,20.8%,91.2,-,-,-,40.0%,60.0%,73.4,33.3%,33.3%,11.1%,90.0%,-,-,60.0%,40.0%,20.0%,40.0%,40.0%,40.0%
