Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Francisco Alvarez","NYM","Carmen Mlodzinski","PIT","1","1.000","1.00","1.00","2.00","0","1","0","0","1","0","2","0.0","1.000","0"
"Jake Rogers","BOS","Jack Perkins","ATH","1","1.000","0.00","3.00","4.00","0","0","0","1","1","1","4","0.0","1.000","1"
"Leody Taveras","BAL","Nathan Eovaldi","TEX","2","1.000","1.00","0.50","1.50","1","1","0","0","1","2","3","0.0","1.000","0"
"Ben Williamson","TB","Logan Gilbert","SEA","3","1.000","1.00","0.33","1.33","2","1","0","0","1","1","4","0.0","1.000","0"
"Jonathan Aranda","TB","Logan Gilbert","SEA","4","0.750","1.00","0.50","1.25","1","2","0","0","2","1","5","25.0","0.750","0"
"Jose Altuve","HOU","Robbie Ray","SD","20","0.550","0.53","0.55","1.10","5","3","1","2","6","4","22","5.0","0.640","3"
"Gunnar Henderson","BAL","Nathan Eovaldi","TEX","13","0.538","0.70","0.08","0.62","6","1","0","0","1","1","8","23.1","0.538","0"
"Ben Rice","NYY","Tyler Mahle","ATL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","2","2","0.0","0.500","0"
"Kyle Karros","COL","Kyle Leahy","STL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Ezequiel Tovar","COL","Kyle Leahy","STL","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Kazuma Okamoto","TOR","Zack Wheeler","PHI","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"TJ Friedl","CIN","Cade Cavalli","WSH","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.667","0"
"Connor Wong","BOS","Jack Perkins","ATH","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Ketel Marte","ARI","Roki Sasaki","LAD","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.667","1"
