HR Split,Overall
Dates,="8/12/2026"
Games,15
#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,3:40 PM,Ryan Feltner,@,1.85,0.68,2.05,2.56,12.5%,25.5%,39.1%,31.1%,8.0%,607
2,3:05 PM,Jack Perkins,vs,1.36,1.50,0.46,2.13,11.5%,20.8%,37.0%,38.4%,6.9%,608
3,7:40 PM,Luis Castillo,vs,1.04,1.31,-0.04,1.93,9.6%,22.8%,40.1%,27.9%,8.1%,1363
4,10:10 PM,Eric Lauer,vs,0.91,1.09,0.59,1.96,10.1%,18.0%,33.5%,35.2%,7.2%,970
5,1:40 PM,Zebby Matthews,vs,0.78,0.13,0.85,1.57,11.4%,21.6%,41.0%,21.8%,7.7%,835
6,6:40 PM,Janson Junk,vs,0.56,0.08,0.58,1.40,9.1%,22.9%,42.0%,21.7%,8.6%,889
7,7:05 PM,Bryce Miller,@,0.45,-0.05,0.74,1.75,7.0%,16.9%,35.2%,33.0%,6.6%,871
8,3:40 PM,Merrill Kelly,vs,0.37,0.48,-0.09,1.37,9.5%,17.4%,44.8%,24.8%,4.7%,1374
9,7:05 PM,Will Warren,vs,0.16,0.30,-0.17,1.08,8.5%,19.1%,48.1%,16.8%,7.5%,1312
10,2:15 PM,Kyle Leahy,vs,0.13,0.03,0.07,0.94,9.5%,18.6%,44.7%,19.5%,8.1%,940
11,6:40 PM,Carmen Mlodzinski,@,0.09,-0.11,0.03,1.01,8.0%,13.1%,47.1%,26.4%,8.2%,895
12,10:10 PM,Cal Quantrill,@,0.08,0.63,-0.58,1.36,7.3%,16.3%,35.2%,27.9%,6.9%,870
13,10:10 PM,George Klassen,vs,0.08,-0.97,1.74,1.00,13.8%,14.3%,31.0%,24.1%,5.7%,104
14,6:40 PM,Foster Griffin,@,0.01,1.11,-0.24,1.30,7.1%,15.9%,37.5%,24.8%,6.9%,670
15,3:45 PM,Bryan King,@,-0.04,-0.78,0.40,1.46,5.9%,11.8%,40.4%,17.9%,9.4%,515
16,2:15 PM,Zack Wheeler,@,-0.06,0.30,-0.63,1.33,5.9%,21.8%,32.6%,27.9%,4.8%,1114
17,7:40 PM,Rhett Lowder,@,-0.11,0.52,-1.02,0.97,8.9%,10.9%,36.2%,31.7%,7.5%,490
18,6:45 PM,David Peterson,@,-0.42,0.03,-0.41,0.88,6.9%,13.8%,41.2%,22.2%,5.3%,1312
19,4:10 PM,Dustin May,@,-0.49,-0.39,-0.34,0.63,7.3%,8.7%,43.5%,26.3%,7.4%,1178
20,7:15 PM,Zach Thornton,@,-0.50,-0.37,-0.24,0.66,8.6%,5.3%,37.6%,27.6%,9.0%,264
21,7:15 PM,Tyler Mahle,vs,-0.53,-0.68,-0.09,0.86,6.3%,10.6%,38.5%,27.9%,5.2%,892
22,4:10 PM,Robbie Ray,vs,-0.58,-1.11,-0.07,0.78,6.5%,6.8%,39.3%,28.6%,6.7%,1409
23,3:05 PM,Drew Rasmussen,@,-0.70,-0.58,-0.41,0.67,6.3%,11.5%,33.8%,24.1%,8.1%,1177
24,1:40 PM,Shane Baz,@,-0.71,-0.47,-0.71,0.62,5.1%,8.8%,42.7%,24.9%,7.7%,1409
25,7:07 PM,Ranger Suarez,@,-0.74,0.14,-0.74,0.74,4.4%,16.9%,38.7%,18.6%,5.8%,1182
26,6:40 PM,Framber Valdez,vs,-0.79,-0.86,-0.44,0.59,4.6%,13.1%,45.1%,15.3%,7.3%,1475
27,7:07 PM,Jose Soriano,vs,-0.97,-0.62,-0.88,0.44,5.9%,9.4%,39.8%,18.1%,7.1%,1362
28,10:10 PM,Daniel Lynch IV,@,-1.23,-1.31,-0.40,0.41,4.1%,6.0%,34.6%,23.2%,8.0%,507
29,6:45 PM,Jackson Kent,vs,-,-,-,0.00,0.0%,0.0%,0.0%,0.0%,0.0%,0
30,3:45 PM,Adrian Houser,vs,0.34,1.12,-0.67,1.39,9.0%,17.1%,41.7%,25.3%,6.5%,424
