Matchup,NYM @ TOR
Pitcher,Braydon Fisher
Pitcher Team,TOR
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,10.1,50,0.262,0.380,0.548,0.286,1.84,4,3.48,16.0%,22.8%,16.0%,14.3%,11.0%,6.97,63.3%,3.7%,17.6%,41.2%,35.3%,33.3%,26.5%
vsLHB,5.0,27,0.286,0.448,0.714,0.429,2.40,3,5.40,22.2%,26.5%,14.8%,12.5%,12.4%,7.20,65.4%,3.8%,29.4%,58.8%,52.9%,33.3%,29.4%
vsRHB,5.1,23,0.238,0.300,0.381,0.143,1.31,1,1.69,8.7%,18.6%,17.4%,16.7%,9.3%,6.75,60.9%,3.5%,5.9%,23.5%,17.6%,33.3%,23.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Francisco Lindor SHB,,+471,24,20,4.20,2,2,0.211,0.250,0.632,0.421,0.368,5.0%,25.6%,20.0%,11.2%,98.5,298.3,6,4,13.3%,13.3%,33.3%,80.0%,46.7%,73.0,26.5%,38.2%,17.6%,89.5%,80.0%,46.7%,28.6%,33.3%,20.0%,53.3%,26.7%,20.0%,21.7%
Ronny Mauricio SHB,—,N/A,5,17,3.00,1,1,0.118,0.118,0.294,0.176,0.176,-,22.5%,41.2%,15.3%,88.9,222.6,1,1,10.0%,-,10.0%,40.0%,20.0%,74.9,51.5%,9.1%,9.1%,84.6%,30.0%,10.0%,0.0%,20.0%,50.0%,30.0%,70.0%,-,64.3%
Carson Benge LHB,,+630,27,15,4.60,1,2,0.357,0.400,0.571,0.214,0.421,6.7%,18.5%,26.7%,7.8%,87.6,242.5,2,1,-,-,20.0%,40.0%,50.0%,70.8,34.8%,26.1%,8.7%,85.2%,70.0%,40.0%,25.0%,30.0%,20.0%,20.0%,50.0%,30.0%,29.4%
Jared Young LHB,,+590,18,15,3.60,1,1,0.308,0.400,0.538,0.231,0.405,13.3%,28.0%,6.7%,11.9%,94.5,300.2,4,1,8.3%,8.3%,16.7%,58.3%,8.3%,73.6,39.1%,34.8%,17.4%,95.8%,33.3%,33.3%,25.0%,-,50.0%,33.3%,50.0%,16.7%,29.4%
Tyrone Taylor RHB,—,N/A,24,14,2.20,1,1,0.143,0.143,0.429,0.286,0.241,-,20.0%,7.1%,11.4%,82.5,258.7,4,3,15.4%,15.4%,38.5%,30.8%,38.5%,69.8,4.3%,30.4%,8.7%,95.8%,46.2%,30.8%,25.0%,15.4%,30.8%,69.2%,15.4%,15.4%,21.4%
Francisco Alvarez RHB,,+610,29,12,3.40,1,1,0.167,0.167,0.417,0.250,0.249,-,50.0%,41.7%,22.6%,94.1,298.5,2,2,28.6%,-,-,57.1%,42.9%,73.3,31.8%,22.7%,13.6%,91.7%,71.5%,42.9%,33.3%,28.6%,28.6%,14.3%,57.1%,28.6%,30.0%
Bo Bichette RHB,,+585,21,14,4.20,0,0,0.231,0.286,0.231,-,0.237,7.1%,30.8%,21.4%,19.0%,95.9,273.7,3,1,-,-,20.0%,60.0%,60.0%,71.9,25.0%,33.3%,20.8%,96.0%,70.0%,30.0%,0.0%,40.0%,30.0%,30.0%,20.0%,50.0%,53.3%
Brett Baty LHB,,+810,13,14,3.60,0,1,0.100,0.286,0.200,0.100,0.230,21.4%,20.8%,14.3%,9.6%,93.4,309.0,3,1,33.3%,22.2%,22.2%,55.6%,55.6%,76.0,54.2%,25.0%,12.5%,100.0%,66.6%,44.4%,0.0%,22.2%,33.3%,55.6%,22.2%,22.2%,44.4%
Juan Soto LHB,,+333,21,13,4.20,0,1,0.250,0.308,0.417,0.167,0.314,7.7%,13.6%,15.4%,5.0%,98.3,288.9,3,1,11.1%,-,11.1%,77.8%,44.4%,71.4,14.3%,38.1%,28.6%,95.5%,77.7%,33.3%,0.0%,44.4%,22.2%,22.2%,66.7%,11.1%,33.3%
Mark Vientos RHB,,+620,20,13,3.00,0,0,0.077,0.077,0.077,-,0.068,-,43.8%,46.2%,26.4%,89.8,241.5,1,0,-,-,14.3%,57.1%,14.3%,74.3,48.1%,14.8%,3.7%,84.4%,42.9%,28.6%,0.0%,14.3%,42.9%,14.3%,71.4%,14.3%,41.7%
A.J. Ewing LHB,,+900,33,12,3.60,0,1,-,0.083,-,-,0.060,-,0.0%,-,-,90.3,306.6,7,3,9.1%,-,18.2%,36.4%,45.5%,69.1,12.5%,56.2%,12.5%,84.2%,72.7%,54.5%,0.0%,18.2%,18.2%,27.3%,27.3%,45.5%,25.0%
Luis Torrens RHB,—,N/A,19,11,3.00,0,0,0.222,0.364,0.222,-,0.280,18.2%,24.1%,27.3%,14.0%,90.6,245.6,1,1,-,-,16.7%,33.3%,33.3%,69.9,10.3%,13.8%,6.9%,100.0%,50.0%,-,-,50.0%,33.3%,33.3%,50.0%,16.7%,25.0%
Eric Wagaman RHB,—,N/A,-,1,2.40,0,0,-,-,-,-,-,-,42.9%,100.0%,25.0%,-,-,0,0,-,-,-,-,-,71.2,16.7%,-,-,85.7%,-,-,-,-,-,-,-,-,33.3%
