Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Yordan Alvarez,LHB,HOU,Grayson Rodriguez,R,39.4,51.4,36.2,33.3,41.1
Cam Smith,RHB,HOU,Grayson Rodriguez,R,60,49.5,21.5,38.9,39.5
Christian Walker,RHB,HOU,Grayson Rodriguez,R,44.2,38.5,38.1,38.9,39
Yandy Diaz,RHB,TB,Connelly Early,L,37.2,31.7,33.4,45.4,36.2
Coby Mayo,RHB,BAL,Emerson Hancock,R,41.3,29,33.2,39,34
Tyler O'Neill,RHB,BAL,Emerson Hancock,R,58.9,29.7,24.5,38.4,33.2
Isaac Paredes,RHB,HOU,Grayson Rodriguez,R,37.7,26.8,30.5,42.3,32.9
Jazz Chisholm Jr.,LHB,NYY,Gavin Williams,R,45.1,26.1,21.3,50.1,32.6
Nathaniel Lowe,LHB,CIN,Walker Buehler,R,14,25.3,42.4,38.5,32.6
Willson Contreras,RHB,BOS,Ian Seymour,L,54.8,32.9,18.2,39.3,32.3
Ben Rice,LHB,NYY,Gavin Williams,R,52.5,16.3,29.6,48,31.8
James Wood,LHB,WSH,Logan Webb,R,17.5,40.4,22.7,35.2,31.5
Shea Langeliers,RHB,ATH,Kyle Harrison,L,19.5,36.2,25.1,37,31.4
Casey Schmitt,RHB,SF,Miles Mikolas,R,43.9,31.9,17.2,42,31.2
Ernie Clement,RHB,TOR,Cristopher Sanchez,L,12.4,30.9,30.9,37.3,30.6
Junior Caminero,RHB,TB,Connelly Early,L,8.4,33,32.1,32.2,30.1
Kyle Schwarber,LHB,PHI,Patrick Corbin,L,23.3,32.5,19.2,41.8,29.9
Bryce Eldridge,LHB,SF,Miles Mikolas,R,27.3,25.7,28.3,37.9,29.7
Brandon Valenzuela,SHB,TOR,Cristopher Sanchez,L,24.7,30.9,30.9,26.8,29.3
Kyle Manzardo,LHB,CLE,Will Warren,R,34.4,21.5,22.2,43,28.4
Tyler Stephenson,RHB,CIN,Walker Buehler,R,31.4,33.2,22.5,25.5,27.9
