Matchup,STL @ NYM
Pitcher,Dustin May
Pitcher Team,STL
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,66.2,278,0.266,0.316,0.393,0.127,1.29,5,0.68,6.8%,21.3%,21.6%,20.3%,10.1%,8.10,57.1%,7.3%,6.7%,48.7%,21.0%,9.8%,14.9%
vsLHB,39.2,175,0.299,0.359,0.448,0.149,1.56,4,0.91,9.1%,19.8%,20.0%,19.0%,9.1%,7.94,53.9%,7.5%,7.4%,47.5%,22.1%,11.1%,18.0%
vsRHB,26.1,103,0.214,0.245,0.306,0.092,0.91,1,0.34,2.9%,23.8%,24.3%,22.3%,11.9%,8.54,62.5%,7.1%,5.5%,50.7%,19.2%,7.1%,9.6%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
6 Marcus Semien RHB,,+800,15,25,4.20,3,3,0.318,0.400,0.727,0.409,0.472,12.0%,15.6%,12.0%,8.1%,90.3,296.9,6,4,21.1%,10.5%,21.1%,57.9%,52.6%,68.9,2.3%,34.1%,13.6%,97.8%,26.3%,60.0%,26.3%,42.1%,42.1%,42.1%,15.8%,55.6%
1 Carson Benge LHB,,+650,34,26,4.40,2,3,0.400,0.423,0.800,0.400,0.518,3.8%,30.8%,23.1%,14.5%,95.6,299.2,7,4,15.8%,5.3%,21.1%,63.2%,52.6%,71.5,21.7%,32.6%,15.2%,92.0%,36.8%,28.6%,26.3%,36.8%,47.4%,42.1%,10.5%,25.9%
4 Jared Young LHB,,+620,15,20,4.40,2,2,0.294,0.400,0.647,0.353,0.444,10.0%,26.2%,25.0%,10.9%,94.6,299.8,3,2,16.7%,8.3%,25.0%,50.0%,50.0%,73.3,30.8%,20.5%,10.3%,92.9%,33.3%,50.0%,33.3%,33.3%,50.0%,50.0%,-,13.6%
3 Juan Soto LHB,,+357,31,19,4.40,1,1,0.118,0.211,0.294,0.176,0.226,10.5%,18.5%,10.5%,6.5%,92.2,234.1,2,1,6.7%,6.7%,6.7%,33.3%,20.0%,72.4,26.1%,52.2%,17.4%,95.8%,33.3%,20.0%,13.3%,46.7%,53.3%,40.0%,6.7%,26.1%
8 MJ Melendez LHB,,+630,26,17,3.20,1,1,0.188,0.176,0.438,0.250,0.251,-,16.2%,17.6%,7.9%,91.1,256.3,1,1,-,-,57.1%,42.9%,35.7%,73.9,34.4%,28.1%,12.5%,88.9%,57.1%,12.5%,28.6%,-,57.1%,28.6%,14.3%,38.1%
7 Brett Baty LHB,,+820,20,26,4.20,0,0,0.167,0.231,0.208,0.042,0.201,7.7%,27.8%,38.5%,14.3%,83.8,248.0,3,2,-,-,14.3%,21.4%,50.0%,74.7,54.2%,12.5%,2.1%,90.6%,35.7%,0.0%,28.6%,28.6%,35.7%,35.7%,28.6%,38.5%
5 A.J. Ewing LHB,,+1260,27,24,4.20,0,0,0.364,0.417,0.409,0.045,0.367,8.3%,14.3%,20.8%,6.3%,90.4,241.7,3,1,5.9%,-,23.5%,52.9%,52.9%,69.7,10.8%,32.4%,13.5%,90.2%,17.6%,0.0%,29.4%,52.9%,35.3%,35.3%,29.4%,28.0%
2 Bo Bichette RHB,,+920,16,24,4.40,0,0,0.318,0.375,0.455,0.136,0.360,8.3%,18.5%,20.8%,10.4%,94.2,275.8,3,0,5.9%,5.9%,11.8%,52.9%,35.3%,70.6,14.6%,27.1%,14.6%,88.9%,29.4%,0.0%,29.4%,41.2%,17.6%,29.4%,52.9%,17.4%
9 Francisco Alvarez RHB,,+630,23,20,3.60,0,1,0.278,0.350,0.389,0.111,0.325,10.0%,27.8%,35.0%,11.1%,100.0,294.3,3,1,45.5%,27.3%,36.4%,72.7%,63.6%,74.9,50.0%,29.4%,20.6%,94.4%,18.2%,0.0%,54.5%,27.3%,36.4%,54.5%,9.1%,18.2%
