Matchup,LAA @ TB
Pitcher,Reid Detmers
Pitcher Team,LAA
Opposing Team,TB

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,63.0,264,0.225,0.284,0.352,0.127,1.14,5,0.71,7.2%,29.1%,28.4%,21.7%,14.5%,10.71,61.9%,7.8%,6.6%,34.1%,29.9%,8.0%,13.2%
vsLHB,16.2,67,0.200,0.246,0.267,0.067,0.90,1,0.54,4.5%,28.6%,23.9%,19.8%,14.0%,8.64,67.2%,7.0%,6.7%,35.6%,20.0%,-,2.2%
vsRHB,46.0,197,0.233,0.297,0.381,0.148,1.24,4,0.78,8.1%,29.3%,29.9%,22.3%,14.6%,11.54,60.1%,8.0%,6.6%,33.6%,33.6%,9.8%,17.2%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Junior Caminero RHB,+184,20,4.40,1,1,0.222,0.300,0.389,0.167,0.303,10.0%,10.0%,5.0%,4.6%,94.1,11.8%,11.8%,17.6%,47.1%,29.4%,79.7,85.7%,35.7%,28.6%,96.6%,23.5%,25.0%,23.5%,52.9%,47.1%,41.2%,11.8%,36.4%
Ryan Vilade RHB,+400,12,2.80,1,2,0.455,0.417,0.909,0.455,0.533,-,17.6%,25.0%,8.7%,85.0,11.1%,11.1%,22.2%,44.4%,33.3%,76.0,64.3%,14.3%,7.1%,90.3%,44.4%,25.0%,22.2%,22.2%,33.3%,33.3%,33.3%,26.7%
Yandy Diaz RHB,+219,14,4.00,0,2,0.250,0.286,0.417,0.167,0.296,-,14.3%,14.3%,8.9%,89.9,9.1%,-,18.2%,45.5%,27.3%,74.3,50.0%,25.0%,9.4%,91.4%,45.5%,0.0%,18.2%,27.3%,36.4%,45.5%,18.2%,64.3%
Taylor Walls SHB,+1154,13,4.00,0,0,0.091,0.231,0.091,-,0.168,15.4%,16.7%,23.1%,7.8%,67.1,-,-,37.5%,-,25.0%,66.3,-,14.3%,-,95.5%,25.0%,0.0%,12.5%,-,50.0%,12.5%,37.5%,40.0%
Nick Fortes RHB,+525,13,3.40,0,0,0.182,0.231,0.273,0.091,0.216,7.7%,13.8%,7.7%,7.7%,83.2,-,-,9.1%,36.4%,18.2%,72.8,22.2%,18.5%,11.1%,93.1%,18.2%,0.0%,9.1%,54.5%,27.3%,54.5%,18.2%,28.6%
Jonathan Aranda LHB,+331,12,4.40,0,0,0.182,0.250,0.182,-,0.202,8.3%,34.8%,33.3%,14.5%,85.6,-,-,-,28.6%,-,68.3,10.5%,26.3%,-,82.6%,42.9%,0.0%,-,57.1%,14.3%,42.9%,42.9%,37.5%
Ben Williamson RHB,N/A,12,2.80,0,1,0.167,0.167,0.167,-,0.148,-,31.0%,25.0%,15.5%,93.5,-,-,11.1%,66.7%,33.3%,70.0,15.4%,26.9%,7.7%,96.3%,33.3%,0.0%,22.2%,44.4%,11.1%,33.3%,55.6%,13.3%
Chandler Simpson LHB,N/A,9,4.60,0,0,0.333,0.333,0.333,-,0.297,-,16.7%,-,7.4%,82.9,-,-,-,33.3%,22.2%,65.8,-,50.0%,8.3%,100.0%,11.1%,0.0%,22.2%,66.7%,33.3%,33.3%,33.3%,11.1%
Cedric Mullins LHB,+516,5,4.40,0,0,-,-,-,-,-,-,7.7%,-,3.2%,84.6,-,-,40.0%,-,20.0%,68.1,-,36.4%,-,84.6%,60.0%,0.0%,20.0%,20.0%,60.0%,40.0%,-,33.3%
Richie Palacios LHB,+918,5,3.80,0,0,0.250,0.400,0.750,0.500,0.454,20.0%,25.0%,40.0%,7.1%,92.4,-,-,50.0%,-,50.0%,69.7,-,66.7%,-,75.0%,-,-,50.0%,50.0%,100.0%,-,-,25.0%
Hunter Feduccia LHB,N/A,2,3.00,0,0,0.500,0.500,0.500,-,0.445,-,25.0%,50.0%,11.1%,90.7,-,-,-,-,100.0%,70.0,-,25.0%,-,100.0%,-,-,100.0%,-,-,100.0%,-,0.0%
Oliver Dunn LHB,N/A,1,2.25,0,0,-,-,-,-,-,-,0.0%,-,-,101.6,-,-,-,100.0%,-,72.3,-,100.0%,100.0%,100.0%,-,-,-,100.0%,-,100.0%,-,100.0%
