Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Bryce Harper","PHI","Lucas Giolito","SD","5","0.400","0.00","1.20","1.60","0","0","0","2","2","3","8","0.0","0.400","0"
"Jackson Merrill","SD","Zack Wheeler","PHI","7","0.286","0.00","0.86","1.14","0","0","0","2","2","3","8","57.1","0.286","0"
"Trea Turner","PHI","Lucas Giolito","SD","7","0.429","0.33","0.86","1.29","1","0","0","2","2","3","9","28.6","0.500","1"
"Adley Rutschman","BAL","Brayan Bello","BOS","18","0.222","0.17","0.39","0.61","1","1","0","2","3","6","11","22.2","0.300","2"
"Gunnar Henderson","BAL","Brayan Bello","BOS","22","0.318","0.33","0.41","0.73","2","3","0","2","5","2","16","22.7","0.400","3"
"Gary Sanchez","MIL","Adrian Houser","SF","1","1.000","0.00","3.00","4.00","0","0","0","1","1","2","4","0.0","1.000","0"
"Alex Freeland","LAD","Ryne Nelson","ARI","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Stuart Fairchild","CLE","Carlos Rodon","NYY","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","50.0","0.500","0"
"Ryan McMahon","NYY","Slade Cecconi","CLE","2","1.000","1.00","1.50","2.50","1","0","0","1","1","1","5","0.0","1.000","0"
"Jonah Heim","ATH","Shota Imanaga","CHC","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","0.0","0.500","0"
"Aaron Judge","NYY","Slade Cecconi","CLE","2","1.000","1.00","2.00","3.00","0","1","0","1","2","1","6","0.0","1.000","1"
"Brent Rooker","ATH","Shota Imanaga","CHC","3","0.667","1.00","1.00","1.67","1","0","0","1","1","2","5","33.3","0.667","0"
"Kody Clemens","MIN","Seth Lugo","KC","3","0.667","0.50","1.00","1.67","1","0","0","1","1","2","5","0.0","0.667","0"
"Cody Bellinger","NYY","Slade Cecconi","CLE","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","0.0","0.333","0"
"Samuel Basallo","BAL","Brayan Bello","BOS","5","0.400","0.33","0.80","1.20","0","1","0","1","2","1","6","20.0","0.400","0"
"Brayan Rocchio","CLE","Carlos Rodon","NYY","6","0.167","0.00","0.50","0.67","0","0","0","1","1","1","4","83.3","0.286","1"
"Bryson Stott","PHI","Lucas Giolito","SD","8","0.250","0.17","0.50","0.75","0","1","0","1","2","1","6","12.5","0.250","0"
