Matchup,BOS @ CWS
Pitcher,Davis Martin
Pitcher Team,CWS
Opposing Team,BOS

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,228,0.271,0.327,0.399,0.128,1.47,4,0.70,9.2%,27.0%,20.6%,17.7%,12.9%,8.19,58.3%,6.8%,5.1%,42.4%,18.4%,13.8%,17.1%
vsLHB,32.0,143,0.262,0.318,0.373,0.111,1.53,2,0.56,11.2%,24.2%,20.3%,16.3%,11.3%,8.16,56.6%,7.4%,4.1%,40.8%,19.4%,10.5%,17.3%
vsRHB,19.2,85,0.286,0.341,0.442,0.156,1.37,2,0.92,5.9%,32.1%,21.2%,20.7%,16.0%,8.24,61.2%,5.8%,6.7%,45.0%,16.7%,20.0%,16.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Willson Contreras RHB,,+380,28,14,5.00,2,2,0.545,0.643,1.273,0.727,0.748,21.4%,16.7%,7.1%,7.3%,98.8,347.1,4,3,30.0%,10.0%,10.0%,70.0%,50.0%,78.7,85.7%,28.6%,23.8%,87.5%,60.0%,30.0%,66.7%,30.0%,40.0%,30.0%,70.0%,-,26.7%
Masataka Yoshida LHB,,+725,36,27,3.40,1,1,0.280,0.333,0.440,0.160,0.338,7.4%,21.7%,7.4%,10.6%,86.9,284.4,5,1,4.3%,4.3%,13.0%,30.4%,39.1%,73.0,32.5%,30.0%,12.5%,87.0%,56.5%,26.1%,16.7%,30.4%,43.5%,21.7%,52.2%,26.1%,33.3%
Jarren Duran LHB,,+500,34,21,4.20,1,2,0.158,0.190,0.316,0.158,0.216,4.8%,27.5%,23.8%,15.7%,87.4,259.5,2,1,13.3%,-,13.3%,33.3%,33.3%,73.7,25.7%,11.4%,8.6%,89.7%,60.0%,33.3%,20.0%,26.7%,40.0%,40.0%,20.0%,40.0%,31.6%
Anthony Seigler SHB,,+770,16,19,4.80,1,1,0.368,0.368,0.632,0.263,0.432,-,23.3%,21.1%,11.8%,90.6,280.6,4,1,-,-,6.7%,53.3%,40.0%,67.6,2.5%,30.0%,7.5%,93.0%,53.4%,26.7%,25.0%,26.7%,46.7%,33.3%,40.0%,26.7%,17.4%
Wilyer Abreu LHB,,+390,23,22,5.00,0,1,0.158,0.182,0.263,0.105,0.184,4.5%,40.9%,36.4%,24.3%,94.1,292.7,4,1,7.7%,-,15.4%,46.2%,23.1%,74.7,42.5%,25.0%,15.0%,90.9%,61.6%,46.2%,0.0%,15.4%,38.5%,30.8%,53.8%,15.4%,41.2%
Carlos Narvaez RHB,,+725,9,21,3.40,0,1,0.056,0.095,0.056,-,0.073,4.8%,42.9%,38.1%,23.6%,83.6,336.4,7,3,-,-,8.3%,41.7%,50.0%,71.2,14.0%,16.3%,4.7%,87.8%,58.3%,25.0%,0.0%,33.3%,33.3%,50.0%,25.0%,25.0%,37.5%
Caleb Durbin RHB,,+1000,11,19,4.40,0,0,0.333,0.474,0.400,0.067,0.391,21.1%,15.6%,15.8%,7.8%,80.5,206.6,1,0,-,-,8.3%,25.0%,16.7%,70.9,26.2%,14.3%,4.8%,93.3%,16.7%,-,-,16.7%,58.3%,50.0%,33.3%,16.7%,36.4%
Andruw Monasterio RHB,—,N/A,15,16,3.80,0,1,0.125,0.125,0.125,-,0.111,-,17.9%,18.8%,11.5%,89.9,246.0,2,1,-,-,23.1%,30.8%,23.1%,69.3,-,23.5%,8.8%,87.2%,53.9%,23.1%,0.0%,30.8%,38.5%,38.5%,38.5%,23.1%,37.5%
Ceddanne Rafaela RHB,,+650,18,15,5.00,0,0,0.400,0.400,0.400,-,0.356,-,28.6%,20.0%,16.4%,84.3,240.7,0,0,-,-,-,25.0%,50.0%,71.0,5.9%,17.6%,2.9%,97.1%,50.0%,8.3%,0.0%,41.7%,50.0%,41.7%,16.7%,41.7%,18.8%
Connor Wong RHB,—,N/A,17,14,3.80,0,0,0.455,0.571,0.455,-,0.457,21.4%,25.0%,21.4%,10.2%,94.5,205.2,0,0,-,-,25.0%,50.0%,25.0%,72.8,22.7%,27.3%,13.6%,91.7%,50.0%,12.5%,0.0%,37.5%,37.5%,62.5%,25.0%,12.5%,11.8%
Tsung-Che Cheng LHB,,+880,10,12,3.40,0,1,0.273,0.333,0.364,0.091,0.308,8.3%,17.6%,-,8.8%,81.3,324.0,4,2,9.1%,-,9.1%,27.3%,36.4%,65.8,-,31.2%,12.5%,94.1%,45.5%,36.4%,0.0%,9.1%,45.5%,36.4%,45.5%,18.2%,66.7%
Romy Gonzalez RHB,,+521,3,7,4.20,0,0,0.286,0.286,0.286,-,0.254,-,23.1%,28.6%,13.6%,88.0,252.9,0,0,-,-,-,20.0%,20.0%,71.6,16.7%,25.0%,8.3%,92.3%,40.0%,20.0%,0.0%,20.0%,60.0%,-,80.0%,20.0%,28.6%
