Bat Side,both
Condition,all

#,BALLPARK,ELEV,ROOF,BBE,PARK,HR,HITS,1B,2B,3B,K,BB,BARREL,HARDHIT,DIST,AVG EV,AVG DIST
1,Coors Field,5190',Open,"10,749",1.14,1.07,1.12,1.12,1.14,1.42,0.87,1.03,1.03,1.04,1.06,88.5,173.5
2,Sutter Health Park,24',Open,"6,090",1.06,1.04,1.04,1.02,1.11,0.87,0.96,1.09,0.95,0.98,1.01,88.2,174.5
3,Great American Ball Park,535',Open,"9,986",1.04,1.16,1.02,0.98,1.04,0.80,1.00,1.04,1.02,0.97,1.00,88,174.4
4,Oriole Park at Camden Yards,33',Open,"10,518",1.03,1.03,1.03,1.03,1.01,1.11,0.97,0.97,1.04,1.03,1.00,89.1,169.9
5,Target Field,828',Open,"10,440",1.02,0.99,1.03,1.04,1.06,0.90,1.00,0.97,1.04,1.01,1.01,88.5,174.4
6,Angel Stadium,151',Open,"9,882",1.02,1.04,1.02,1.02,0.99,0.99,1.00,1.03,1.00,1.02,1.00,88.6,168.7
7,Chase Field,1086',Retractable,"10,762",1.02,0.91,1.02,1.00,1.10,1.45,0.93,0.98,1.02,1.04,1.02,88.9,166.3
8,Citizens Bank Park,20',Open,"10,261",1.02,1.06,1.03,1.04,0.97,0.98,1.04,0.95,0.92,0.99,1.00,88.5,164.4
9,Daikin Park,45',Retractable,"9,979",1.02,1.12,1.01,0.99,1.00,0.88,1.08,1.02,0.96,1.01,0.99,88.4,167.4
10,Rogers Centre,270',Retractable,"10,397",1.02,1.09,1.01,0.99,1.03,0.80,1.02,0.98,1.05,1.01,1.00,88.4,167.6
11,Nationals Park,35',Open,"10,656",1.02,1.00,1.02,1.04,0.96,1.00,0.94,1.00,1.05,1.03,1.00,88.4,161.9
12,Rate Field,595',Open,"10,119",1.01,1.00,1.00,1.01,0.98,0.89,0.96,1.07,1.02,1.00,0.99,88.2,169.9
13,loanDepot park,10',Retractable,"10,582",1.00,0.93,1.00,1.00,1.05,1.20,0.97,1.04,1.04,1.03,1.00,88.4,161.5
14,PNC Park,780',Open,"10,345",1.00,0.89,1.02,1.01,1.15,0.90,0.97,0.99,1.00,1.03,1.00,88.8,165.3
15,Kauffman Stadium,856',Open,"10,645",1.00,0.86,1.01,0.99,1.10,1.31,0.95,1.01,1.01,1.02,1.01,88.8,169.5
16,Progressive Field,653',Open,"9,791",1.00,0.98,1.01,1.01,1.04,0.81,1.05,1.03,1.01,1.01,0.99,88.1,167.1
17,Comerica Park,600',Open,"9,902",0.99,1.00,1.00,1.01,0.94,1.16,0.98,0.97,0.97,1.00,1.00,88.6,168.5
18,Truist Park,1001',Open,"9,916",0.99,0.95,1.02,1.05,0.98,1.04,1.05,0.98,0.97,1.00,1.01,88.7,166
19,Tropicana Field,15',Dome,"4,185",0.99,1.05,0.98,0.96,0.96,1.15,0.99,0.99,1.04,0.95,1.01,87.5,169.2
20,Fenway Park,21',Open,"10,333",0.99,0.88,1.01,1.03,1.04,0.84,0.98,0.98,0.93,0.99,0.99,88.2,159.3
21,Yankee Stadium,55',Open,"9,742",0.99,1.05,0.97,0.95,0.97,0.91,1.02,1.05,1.02,1.02,1.00,89.3,170.8
22,Dodger Stadium,515',Open,"9,882",0.99,1.11,0.97,0.95,0.95,0.75,1.04,1.00,0.98,1.00,1.00,89,172.8
23,American Family Field,597',Retractable,"9,895",0.98,1.05,0.99,1.00,0.92,0.95,1.08,1.02,0.96,0.97,1.01,87.5,163.7
24,Citi Field,10',Open,"9,851",0.98,0.97,0.98,0.99,0.96,0.87,1.04,1.06,0.96,0.99,0.99,88.6,164.1
25,Oracle Park,',Open,"10,161",0.98,0.81,1.01,1.03,1.05,1.21,0.97,0.97,0.95,1.01,0.99,88.4,159.6
26,Petco Park,23',Open,"10,043",0.98,1.06,0.97,0.97,0.93,0.83,1.06,1.02,1.06,1.00,0.99,88.1,166.1
27,Busch Stadium,460',Open,"10,600",0.97,0.84,1.00,1.03,1.01,0.91,0.93,0.93,0.98,1.03,1.00,88.8,161.1
28,Wrigley Field,595',Open,"10,064",0.96,1.01,0.97,0.99,0.85,1.08,1.02,0.97,1.00,1.02,0.99,88.5,167.8
29,Globe Life Field,545',Retractable,"9,845",0.95,0.94,0.96,0.97,0.94,0.90,1.02,0.96,1.02,1.02,1.00,88.6,171.6
30,T-Mobile Park,10',Retractable,"9,485",0.93,0.97,0.96,0.96,0.97,0.68,1.11,0.93,0.99,1.00,0.99,88.5,166.7
