Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Yordan Alvarez,LHB,HOU,Davis Martin,R,36.1,53.9,28.3,61.9,46.4
Hunter Goodman,RHB,COL,Trevor Rogers,L,31.9,46.1,53.5,36.1,44.4
Vaughn Grissom,RHB,LAA,Cam Schlittler,R,30.1,50.2,44.5,34.9,42.7
Mickey Gasper,SHB,BOS,Bryce Miller,R,29.5,31.8,42.6,60.4,42
Justin Foscue,RHB,TEX,Jacob Lopez,L,29.8,41.2,26.6,61.5,40.8
Derek Hill,RHB,PHI,Taylor Clarke,R,31.7,32.3,39.4,56.5,40.4
Austin Riley,RHB,ATL,Brad Lord,R,41.8,40.3,32.8,39.3,37.9
Lawrence Butler,LHB,ATH,Cody Bradford,L,55.8,30.9,30.9,49.1,37.9
Heriberto Hernandez,RHB,MIA,Noah Cameron,L,46.6,35.9,36.3,37.5,37.5
Bryce Eldridge,LHB,SF,Bubba Chandler,R,38.1,45.3,20.6,43.5,36.7
Michael Conforto,LHB,CHC,Jacob Misiorowski,R,42.2,25.6,20.5,61.5,34.7
James Wood,LHB,WSH,Grant Holmes,R,30.7,36.7,16.4,53.9,34.3
Brandon Valenzuela,SHB,TOR,Joey Cantillo,L,24.3,39.7,32.2,31.6,33.9
Taylor Trammell,LHB,HOU,Davis Martin,R,27.5,34.8,18.4,49.1,32.7
Josh Bell,SHB,MIN,Drew Anderson,R,27.7,32.5,31.1,35.2,32.3
Ryan Jeffers,RHB,MIN,Drew Anderson,R,46.2,27.5,32.3,33.1,32.2
Ian Happ,SHB,CHC,Jacob Misiorowski,R,19.3,27.5,32.5,42,31.8
Miguel Amaya,RHB,CHC,Jacob Misiorowski,R,35.1,32.3,31.8,27.3,31.2
Cal Raleigh,SHB,SEA,Patrick Sandoval,L,23.9,28.4,24.7,45.1,31
Cole Carrigg,SHB,COL,Trevor Rogers,L,28.4,30.3,28.7,34.9,30.8
Drake Baldwin,LHB,ATL,Brad Lord,R,31.4,23.7,22.9,49.8,30.8
Jake Burger,RHB,TEX,Jacob Lopez,L,51.1,16.6,22.5,52.3,30.7
Pedro Ramirez,SHB,CHC,Jacob Misiorowski,R,35.7,25.3,25.2,41.5,30.4
Christian Walker,RHB,HOU,Davis Martin,R,39.2,27.3,27.7,33.6,30.2
Munetaka Murakami,LHB,CWS,Hayden Wesneski,R,28.1,35.9,17.2,38.2,30.1
Esmerlyn Valdez,RHB,PIT,Landen Roupp,R,30.7,19.7,31.4,41.1,29.7
Juan Soto,LHB,NYM,Griffin Jax,R,33.1,30.9,17.1,41.5,29.6
CJ Abrams,LHB,WSH,Grant Holmes,R,32.9,17.7,22.1,53.9,29.6
Kazuma Okamoto,RHB,TOR,Joey Cantillo,L,32.2,31.3,23.1,33.1,29.4
Travis Bazzana,LHB,CLE,Dylan Cease,R,16.4,21,25.9,50.5,29.4
Luis Garcia Jr.,LHB,NYY,Reid Detmers,L,40.2,28.7,17.6,40.4,29.4
Julio Rodriguez,RHB,SEA,Patrick Sandoval,L,23.3,19.8,19.8,56.3,29.3
Adley Rutschman,SHB,BOS,Bryce Miller,R,10.8,29.1,26.9,39.5,29.2
Kyle Schwarber,LHB,PHI,Taylor Clarke,R,32.9,32,16.9,36.4,28.7
Fernando Tatis Jr.,RHB,SD,Brandon Williamson,L,16,33.2,12.6,46.8,28.7
Nick Sogard,SHB,BOS,Bryce Miller,R,30.1,24.8,9.2,55,28.2
Lane Thomas,RHB,ATL,Brad Lord,R,50.3,19,21.5,37,27.4
Jordan Walker,RHB,STL,Yoshinobu Yamamoto,R,43.8,21.1,20.4,38.1,27.4
Riley Greene,LHB,DET,Dean Kremer,R,31.3,27.2,20.7,33.9,27.3
Carson Benge,LHB,NYM,Griffin Jax,R,14.5,25.1,22.3,40.4,27
Jarren Duran,LHB,BOS,Bryce Miller,R,30.1,13.1,20.9,52.1,26.9
Esteury Ruiz,RHB,MIA,Noah Cameron,L,18.7,23.2,19.8,43.3,26.8
Max Kepler,LHB,ARI,Andrew Painter,R,29.7,41.3,10.9,24.2,26.7
