Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Angel Martinez,SHB,CLE,Framber Valdez,L,35,45.6,50.6,47.3,46.5
James Wood,LHB,WSH,Tyler Glasnow,R,47.5,46.3,22.9,65,44.1
Jonathan Aranda,LHB,TB,Jacob deGrom,R,25.1,42.1,20.7,56.8,37.7
Brandon Lowe,LHB,PIT,Yusei Kikuchi,L,41.4,37.2,39.2,33.9,37.4
Jesus Sanchez,LHB,TOR,Seth Lugo,R,32.9,47.3,9,58.7,37.2
Dalton Rushing,LHB,LAD,Cade Cavalli,R,37.3,42.1,20.7,50,37.2
Oneil Cruz,LHB,PIT,Yusei Kikuchi,L,55.5,26.1,32.4,50.3,37
Hunter Goodman,RHB,COL,Matthew Liberatore,L,29.5,39.3,44.9,26.7,36.8
Matt Shaw,RHB,CHC,Ryan Gusto,R,32.2,40.8,35.9,33.1,36.5
Corey Seager,LHB,TEX,Drew Rasmussen,R,29.2,43.5,22.4,45.4,36.2
Mike Trout,RHB,LAA,Braxton Ashcraft,R,48.4,37.7,24.6,42.2,36
Ian Happ,SHB,CHC,Ryan Gusto,R,21.6,36.5,25.4,53.4,35.9
Freddie Freeman,LHB,LAD,Cade Cavalli,R,25,30.5,20.2,66.3,35.8
Gabriel Arias,RHB,CHC,Ryan Gusto,R,57.5,30.9,27.6,43,35.6
Jose Siri,RHB,LAA,Braxton Ashcraft,R,41.5,40.1,21.5,41.3,35
Yordan Alvarez,LHB,HOU,Brandon Pfaadt,R,30.6,41.4,26.4,38,35
Justin Foscue,RHB,TEX,Drew Rasmussen,R,20.7,30.6,20.7,64.1,35
Fernando Tatis Jr.,RHB,SD,Carlos Rodon,L,22.4,35.9,16.1,58.1,34.2
Cole Carrigg,SHB,COL,Matthew Liberatore,L,31,31.7,32.4,39.6,33.8
Shohei Ohtani,LHB,LAD,Cade Cavalli,R,35.1,25.8,22.1,57,33.4
Tim Tawa,RHB,ARI,Ethan Pecko,R,56.5,28.6,23.9,39.3,32.7
Munetaka Murakami,LHB,CWS,Taj Bradley,R,28.1,39.3,10.2,51.1,32.4
Pedro Pages,RHB,STL,Mason Adams,R,46.7,30.8,34.6,25.4,32.2
Zach Neto,RHB,LAA,Braxton Ashcraft,R,44.1,28.6,23.9,42.2,32.1
Max Muncy,LHB,LAD,Cade Cavalli,R,30.2,30.2,20.7,48.8,32
Alex Freeland,SHB,LAD,Cade Cavalli,R,38.6,40.6,17.9,34.1,32
Victor Mesa Jr.,LHB,TB,Jacob deGrom,R,28.9,30.3,8.8,63.2,31.9
Carson Benge,LHB,NYM,Anthony Molina,R,32,22.6,30.5,46,31.8
Daylen Lile,LHB,WSH,Tyler Glasnow,R,27,36.4,28.4,31.3,31.8
Nolan Gorman,LHB,STL,Mason Adams,R,14.6,44.5,17.6,37.4,31.7
Francisco Lindor,SHB,NYM,Anthony Molina,R,19.4,34.3,20.4,45.7,31.5
Liam Hicks,LHB,TB,Jacob deGrom,R,43.8,29.2,18,46.1,31.5
Rafael Flores,RHB,PIT,Yusei Kikuchi,L,31.3,31.3,31.3,31.3,31.3
Sean Keys,LHB,TOR,Seth Lugo,R,50.8,28.1,28.4,30.7,31.1
Max Muncy,RHB,ATH,George Kirby,R,52.9,34.3,13.4,38.2,30.9
Bryce Eldridge,LHB,SF,Zach Thornton,L,42.2,24.1,15,54,30.7
CJ Abrams,LHB,WSH,Tyler Glasnow,R,36.3,16.5,27.9,51.6,30.7
Tyler Stephenson,RHB,CIN,Dustin May,R,38.2,24.6,28.9,38.4,30.7
Ceddanne Rafaela,RHB,BOS,Chris Bassitt,R,35.8,26.5,22.2,43.4,30.4
Michael Busch,LHB,CHC,Ryan Gusto,R,41.4,21.9,18.1,52.6,30.4
Esmerlyn Valdez,RHB,PIT,Yusei Kikuchi,L,33.2,30.9,42.7,12.4,30
