Matchup,KC @ TEX
Pitcher,Michael Wacha
Pitcher Team,KC
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,70.1,276,0.199,0.273,0.351,0.151,1.02,8,1.02,8.0%,24.0%,21.7%,20.4%,11.3%,7.68,64.5%,7.3%,7.9%,38.2%,28.3%,13.0%,15.2%
vsLHB,42.1,168,0.179,0.247,0.285,0.106,0.99,4,0.85,8.9%,24.3%,22.6%,20.0%,11.2%,8.08,67.9%,7.4%,8.8%,36.3%,31.9%,8.3%,18.6%
vsRHB,27.1,108,0.230,0.313,0.450,0.220,1.10,4,1.32,6.5%,23.4%,20.4%,21.2%,11.5%,7.24,59.3%,7.1%,6.4%,41.0%,23.1%,22.2%,10.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Joc Pederson LHB,N/A,20,4.20,3,3,0.222,0.300,0.778,0.556,0.443,10.0%,26.8%,15.0%,13.1%,85.2,20.0%,20.0%,40.0%,26.7%,33.3%,71.2,11.1%,16.7%,11.1%,92.3%,20.0%,66.7%,26.7%,33.3%,73.3%,13.3%,13.3%,17.6%
Kyle Higashioka RHB,N/A,25,3.40,2,2,0.217,0.280,0.478,0.261,0.330,4.0%,27.3%,28.0%,12.1%,86.1,12.5%,6.2%,18.8%,37.5%,31.2%,70.3,7.9%,28.9%,10.5%,86.4%,25.0%,50.0%,18.8%,56.2%,50.0%,43.8%,6.2%,25.0%
Josh Jung RHB,N/A,24,4.40,2,4,0.333,0.417,0.714,0.381,0.473,12.5%,21.6%,12.5%,9.5%,91.0,16.7%,11.1%,33.3%,61.1%,44.4%,71.0,11.8%,32.4%,17.6%,97.1%,27.8%,40.0%,33.3%,27.8%,50.0%,27.8%,22.2%,29.6%
Brandon Nimmo LHB,N/A,18,4.20,2,5,0.353,0.389,0.765,0.412,0.488,5.6%,14.8%,11.1%,5.7%,93.1,33.3%,6.7%,26.7%,53.3%,53.3%,73.4,33.3%,37.5%,20.8%,92.3%,66.7%,20.0%,26.7%,6.7%,33.3%,53.3%,13.3%,20.0%
Evan Carter LHB,N/A,22,3.60,1,1,0.286,0.318,0.667,0.381,0.411,4.5%,26.7%,27.3%,12.5%,90.1,6.7%,-,6.7%,46.7%,13.3%,71.3,25.6%,28.2%,10.3%,88.6%,26.7%,25.0%,13.3%,53.3%,53.3%,26.7%,20.0%,41.2%
Nicky Lopez LHB,N/A,11,3.00,1,2,0.182,0.182,0.455,0.273,0.272,-,27.3%,9.1%,14.6%,86.1,-,-,30.0%,40.0%,40.0%,66.9,-,36.8%,10.5%,90.5%,20.0%,0.0%,30.0%,40.0%,40.0%,50.0%,10.0%,53.8%
Danny Jansen RHB,N/A,28,3.60,0,1,0.136,0.321,0.182,0.045,0.253,14.3%,23.9%,21.4%,11.8%,88.3,6.2%,-,37.5%,31.2%,18.8%,70.8,7.7%,30.8%,2.6%,88.6%,50.0%,0.0%,18.8%,18.8%,56.2%,37.5%,6.2%,37.9%
Jake Burger RHB,N/A,22,4.20,0,1,0.300,0.364,0.350,0.050,0.319,9.1%,46.3%,22.7%,22.1%,92.6,-,-,26.7%,53.3%,26.7%,76.1,67.6%,27.0%,16.2%,90.2%,13.3%,0.0%,20.0%,53.3%,40.0%,40.0%,20.0%,32.1%
Ezequiel Duran RHB,N/A,21,3.80,0,1,0.300,0.333,0.350,0.050,0.303,4.8%,36.4%,38.1%,20.0%,87.6,8.3%,-,8.3%,25.0%,50.0%,71.7,22.0%,14.0%,4.0%,90.9%,16.7%,0.0%,33.3%,33.3%,25.0%,33.3%,33.3%,39.1%
Justin Foscue RHB,N/A,21,2.20,0,2,0.222,0.286,0.278,0.056,0.253,4.8%,21.2%,23.8%,9.0%,83.9,7.1%,7.1%,14.3%,42.9%,28.6%,70.2,7.1%,25.0%,7.1%,87.5%,35.7%,0.0%,21.4%,35.7%,28.6%,50.0%,21.4%,25.0%
Alejandro Osuna LHB,N/A,20,3.20,0,2,0.118,0.250,0.118,-,0.190,10.0%,10.0%,-,4.2%,90.4,-,-,17.6%,29.4%,23.5%,72.7,36.7%,40.0%,6.7%,100.0%,17.6%,0.0%,23.5%,52.9%,41.2%,23.5%,35.3%,20.0%
Michael Helman RHB,N/A,7,3.40,0,0,-,-,-,-,-,-,11.1%,14.3%,5.6%,70.9,-,-,-,-,-,69.7,-,11.1%,-,100.0%,16.7%,0.0%,16.7%,50.0%,33.3%,50.0%,16.7%,10.0%
Sam Haggerty SHB,N/A,4,1.80,0,0,-,-,-,-,-,-,16.7%,25.0%,9.5%,74.8,-,-,-,-,33.3%,71.4,8.3%,-,-,100.0%,33.3%,0.0%,-,66.7%,33.3%,66.7%,-,75.0%
