Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Edgar Quero","CWS","Griffin Jax","TB","1","1.000","1.00","1.00","2.00","0","1","0","0","1","1","2","0.0","1.000","0"
"Luis Arraez","SF","Michael King","SD","1","1.000","0.00","3.00","4.00","0","0","0","1","1","2","4","0.0","1.000","0"
"Colton Cowser","BAL","Zack Wheeler","PHI","2","1.000","1.00","1.50","2.50","1","0","0","1","1","2","5","0.0","1.000","0"
"Yordan Alvarez","HOU","Kumar Rocker","TEX","4","0.750","0.33","1.75","2.50","0","1","0","2","3","4","10","0.0","0.667","1"
"Matt Olson","ATL","Cade Cavalli","WSH","3","0.667","1.00","0.33","1.00","1","1","0","0","1","0","3","33.3","0.667","0"
"Ernie Clement","TOR","Matthew Liberatore","STL","5","0.600","0.67","0.80","1.40","1","1","0","1","2","1","7","20.0","0.600","0"
"Fernando Tatis Jr.","SD","Landen Roupp","SF","10","0.600","0.60","0.10","0.70","5","1","0","0","1","0","7","0.0","0.636","1"
"Jasson Dominguez","NYY","Colin Rea","CHC","2","0.500","0.00","1.50","2.00","0","0","0","1","1","2","4","50.0","0.500","0"
"Masyn Winn","STL","Max Scherzer","TOR","2","0.500","0.00","1.50","2.00","0","0","0","1","1","1","4","0.0","0.500","0"
"Andres Gimenez","TOR","Matthew Liberatore","STL","2","0.500","0.50","0.50","1.00","0","1","0","0","1","1","2","0.0","0.667","0"
"Connor Wong","BOS","Emmet Sheehan","LAD","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Ezequiel Duran","TEX","Peter Lambert","HOU","6","0.500","0.50","0.67","1.17","1","1","0","1","2","1","7","16.7","0.500","0"
"Rafael Devers","SF","Michael King","SD","11","0.455","0.50","0.55","1.00","3","0","0","2","2","4","11","27.3","0.600","4"
"Cedric Mullins","TB","Anthony Kay","CWS","5","0.400","0.50","0.60","1.00","1","0","0","1","1","1","5","40.0","0.571","1"
"Christian Vazquez","HOU","Kumar Rocker","TEX","5","0.400","0.25","0.60","1.00","1","0","0","1","1","2","5","0.0","0.400","0"
"Willi Castro","COL","Seth Lugo","KC","10","0.400","0.50","0.20","0.60","2","2","0","0","2","0","6","20.0","0.455","0"
"Josh Bell","MIN","George Kirby","SEA","10","0.400","0.25","0.60","1.00","2","0","0","2","2","2","10","0.0","0.400","0"
"Marcus Semien","NYM","Sandy Alcantara","MIA","10","0.400","0.43","0.30","0.70","3","0","0","1","1","1","7","20.0","0.400","0"
"Jared Triolo","PIT","Chase Burns","CIN","8","0.375","0.50","0.13","0.50","2","1","0","0","1","1","4","25.0","0.375","0"
"Dansby Swanson","CHC","Gerrit Cole","NYY","11","0.364","0.40","0.64","1.00","1","1","0","2","3","3","11","36.4","0.364","0"
"Andrew Benintendi","CWS","Griffin Jax","TB","14","0.357","0.33","0.21","0.57","4","0","0","1","1","3","8","7.1","0.400","1"
"Cole Young","SEA","Taj Bradley","MIN","3","0.333","0.33","0.33","0.67","0","1","0","0","1","1","2","0.0","0.333","0"
"Gunnar Henderson","BAL","Zack Wheeler","PHI","3","0.333","0.00","1.00","1.33","0","0","0","1","1","1","4","33.3","0.333","0"
"Endy Rodriguez","PIT","Chase Burns","CIN","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.333","0"
"Yainer Diaz","HOU","Kumar Rocker","TEX","3","0.333","0.33","0.33","0.67","0","1","0","0","1","0","2","0.0","0.333","0"
"Tyler Freeman","COL","Seth Lugo","KC","3","0.333","0.00","1.00","1.33","0","0","0","1","1","2","4","33.3","0.333","0"
"LaMonte Wade Jr.","HOU","Kumar Rocker","TEX","3","0.333","0.00","1.00","1.33","0","0","0","1","1","4","4","33.3","0.333","0"
"Austin Riley","ATL","Cade Cavalli","WSH","3","0.333","1.00","0.33","0.67","0","1","0","0","1","0","2","66.7","0.333","0"
"Lars Nootbaar","STL","Max Scherzer","TOR","3","0.333","0.50","0.33","0.67","0","1","0","0","1","1","2","33.3","0.333","0"
"Donovan Walton","ATH","Keider Montero","DET","3","0.333","0.50","0.33","0.67","0","1","0","0","1","0","2","33.3","0.333","0"
"J.T. Realmuto","PHI","Kyle Bradish","BAL","3","0.333","0.50","0.33","0.67","0","1","0","0","1","2","2","33.3","0.333","0"
"Cal Raleigh","SEA","Taj Bradley","MIN","6","0.333","0.00","1.00","1.33","0","0","0","2","2","2","8","16.7","0.556","3"
"Kody Clemens","MIN","George Kirby","SEA","9","0.333","0.43","0.11","0.44","2","1","0","0","1","1","4","22.2","0.400","1"
"Trevor Larnach","MIN","George Kirby","SEA","9","0.333","0.40","0.33","0.67","2","0","0","1","1","1","6","33.3","0.400","1"
"Salvador Perez","KC","Kyle Freeland","COL","9","0.333","0.43","0.11","0.44","2","1","0","0","1","2","4","22.2","0.333","0"
"Julio Rodriguez","SEA","Taj Bradley","MIN","12","0.333","0.30","0.33","0.67","2","1","0","1","2","1","8","8.3","0.333","0"
"Willy Adames","SF","Michael King","SD","12","0.333","0.40","0.17","0.50","3","0","1","0","1","1","6","16.7","0.467","3"
"Manny Machado","SD","Landen Roupp","SF","13","0.308","0.43","0.23","0.54","3","0","0","1","1","2","7","38.5","0.357","1"
"Francisco Lindor","NYM","Sandy Alcantara","MIA","33","0.303","0.29","0.24","0.55","6","2","0","2","4","9","18","12.1","0.368","4"
"Michael Conforto","CHC","Gerrit Cole","NYY","10","0.300","0.40","0.30","0.60","2","0","0","1","1","2","6","40.0","0.364","1"
"Paul Goldschmidt","NYY","Colin Rea","CHC","10","0.300","0.38","0.10","0.40","2","1","0","0","1","0","4","20.0","0.417","2"
