Batter,Batter Team,Pitcher,Pitcher Team,AB,Avg,BABIP,ISO,SLG,1B,2B,3B,HR,XBH,RBI,TB,K%,OBP,BB
"Kyle Tucker","LAD","Ryan Gusto","MIA","2","1.000","1.00","0.50","1.50","1","1","0","0","1","0","3","0.0","1.000","0"
"Jac Caglianone","KC","Sonny Gray","BOS","3","0.667","0.67","0.67","1.33","0","2","0","0","2","1","4","0.0","0.667","0"
"Max Muncy","ATH","George Kirby","SEA","3","0.667","0.50","1.00","1.67","1","0","0","1","1","2","5","0.0","0.667","0"
"Yainer Diaz","HOU","Drew Rasmussen","TB","3","0.667","0.50","1.00","1.67","1","0","0","1","1","2","5","0.0","0.667","0"
"Jahmai Jones","BOS","Seth Lugo","KC","3","0.667","0.67","0.33","1.00","1","1","0","0","1","3","3","0.0","0.600","0"
"Garrett Mitchell","MIL","Andrew Abbott","CIN","5","0.600","0.75","0.40","1.00","1","2","0","0","2","0","5","20.0","0.600","0"
"Carson Benge","NYM","Carlos Rodon","NYY","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Jacob Young","WSH","Yusei Kikuchi","LAA","2","0.500","0.50","0.50","1.00","0","1","0","0","1","0","2","0.0","0.500","0"
"Brett Baty","NYM","Carlos Rodon","NYY","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.500","0"
"Alec Burleson","STL","Anthony Kay","CWS","2","0.500","1.00","0.50","1.00","0","1","0","0","1","0","2","50.0","0.500","0"
"Manny Machado","SD","Anthony Molina","SF","2","0.500","1.00","0.50","1.00","0","1","0","0","1","1","2","50.0","0.500","0"
"Tyler Stephenson","CIN","Dustin May","MIL","4","0.500","0.67","0.25","0.75","1","1","0","0","1","1","3","25.0","0.600","0"
"Lars Nootbaar","ARI","MacKenzie Gore","TEX","4","0.500","0.33","0.75","1.25","1","0","0","1","1","1","5","0.0","0.600","1"
"Jeremy Pena","HOU","Drew Rasmussen","TB","8","0.500","0.50","0.38","0.88","2","1","1","0","2","1","7","0.0","0.600","2"
"Zack Gelof","ATH","George Kirby","SEA","10","0.500","0.50","0.50","1.00","2","2","0","1","3","1","10","10.0","0.500","0"
