Matchup,BAL @ CIN
Pitcher,Brady Singer
Pitcher Team,CIN
Opposing Team,BAL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,48.1,219,0.274,0.375,0.538,0.264,1.49,14,2.61,8.2%,26.4%,21.0%,19.7%,11.3%,8.57,54.3%,6.1%,12.6%,37.7%,32.5%,28.6%,23.8%
vsLHB,31.2,142,0.271,0.383,0.574,0.302,1.42,11,3.13,7.0%,26.2%,23.9%,20.4%,11.5%,9.66,52.1%,5.4%,15.8%,38.9%,37.9%,30.6%,25.3%
vsRHB,16.2,77,0.279,0.361,0.471,0.191,1.62,3,1.62,10.4%,26.9%,15.6%,18.2%,10.9%,6.48,58.4%,7.5%,7.1%,35.7%,23.2%,23.1%,21.4%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Pete Alonso RHB,,+302,24,21,4.20,2,4,0.467,0.619,0.933,0.467,0.615,28.6%,26.7%,23.8%,10.3%,90.6,304.7,5,3,30.0%,10.0%,30.0%,50.0%,60.0%,74.5,53.8%,19.2%,15.4%,89.7%,80.0%,40.0%,50.0%,40.0%,20.0%,40.0%,30.0%,30.0%,31.6%
Taylor Ward RHB,,+517,13,23,4.40,0,0,0.227,0.261,0.227,-,0.222,4.3%,25.0%,30.4%,11.7%,87.0,266.2,4,1,-,-,13.3%,26.7%,40.0%,67.3,-,31.2%,9.4%,88.9%,60.0%,26.7%,0.0%,33.3%,40.0%,40.0%,40.0%,20.0%,38.1%
Blaze Alexander RHB,,+610,9,19,3.40,0,0,0.267,0.421,0.333,0.067,0.344,21.1%,4.2%,5.3%,1.7%,88.9,285.0,4,1,7.7%,-,7.7%,30.8%,38.5%,71.4,10.5%,52.6%,5.3%,79.2%,46.2%,38.5%,0.0%,7.7%,46.2%,38.5%,23.1%,38.5%,21.1%
Tyler O'Neill RHB,—,N/A,12,17,2.80,0,0,0.267,0.353,0.400,0.133,0.330,11.8%,30.0%,41.2%,11.8%,99.2,276.0,3,0,12.5%,-,25.0%,75.0%,62.5%,73.0,34.6%,30.8%,19.2%,89.7%,75.0%,12.5%,0.0%,62.5%,25.0%,50.0%,37.5%,12.5%,28.6%
Coby Mayo RHB,—,N/A,23,12,3.40,0,0,0.083,0.083,0.167,0.083,0.106,-,42.1%,50.0%,14.0%,95.0,218.7,1,0,-,-,33.3%,33.3%,33.3%,74.8,56.2%,31.2%,12.5%,84.2%,66.7%,50.0%,0.0%,16.7%,16.7%,50.0%,16.7%,33.3%,17.6%
Adley Rutschman SHB,,+444,18,11,4.00,0,0,0.200,0.273,0.200,-,0.221,9.1%,11.8%,36.4%,4.7%,77.3,255.8,1,0,-,-,-,-,33.3%,70.2,7.1%,21.4%,-,82.4%,33.3%,-,-,33.3%,66.7%,50.0%,50.0%,-,10.0%
Gunnar Henderson LHB,,+339,19,11,4.60,0,1,0.273,0.273,0.455,0.182,0.312,-,13.3%,9.1%,6.1%,94.9,285.1,1,0,-,-,20.0%,50.0%,30.0%,75.1,50.0%,42.9%,21.4%,100.0%,50.0%,30.0%,0.0%,20.0%,50.0%,50.0%,10.0%,40.0%,16.7%
Chadwick Tromp RHB,—,N/A,4,10,2.40,0,0,-,-,-,-,-,-,21.1%,30.0%,10.3%,78.3,224.4,1,1,-,-,16.7%,16.7%,33.3%,71.5,20.0%,20.0%,6.7%,83.3%,50.0%,16.7%,0.0%,33.3%,33.3%,33.3%,66.7%,-,20.0%
Leody Taveras SHB,—,N/A,14,9,3.40,0,0,0.250,0.333,0.375,0.125,0.312,11.1%,31.2%,44.4%,14.3%,96.0,254.4,1,1,25.0%,-,25.0%,75.0%,25.0%,73.1,37.5%,18.8%,12.5%,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,50.0%,25.0%,25.0%,20.0%
Dylan Beavers LHB,,+484,26,9,3.80,0,0,0.500,0.667,0.833,0.333,0.597,33.3%,21.1%,-,12.5%,99.0,307.2,1,1,16.7%,-,16.7%,83.3%,33.3%,72.8,23.5%,29.4%,29.4%,89.5%,33.3%,-,-,33.3%,66.7%,33.3%,66.7%,-,75.0%
Samuel Basallo LHB,,+338,11,8,2.80,0,1,-,0.250,-,-,0.162,25.0%,21.4%,12.5%,9.4%,85.0,353.8,2,1,-,-,-,20.0%,-,74.6,54.5%,18.2%,9.1%,84.6%,40.0%,40.0%,0.0%,-,60.0%,40.0%,40.0%,20.0%,9.1%
Jackson Holliday LHB,,+560,45,8,3.00,0,0,-,0.125,-,-,0.081,12.5%,16.7%,25.0%,6.9%,85.3,296.8,1,0,-,-,20.0%,20.0%,20.0%,70.7,-,33.3%,-,75.0%,40.0%,20.0%,0.0%,20.0%,60.0%,80.0%,20.0%,-,0.0%
Colton Cowser LHB,,+443,26,5,2.60,0,0,0.200,0.200,0.200,-,0.178,-,41.7%,20.0%,20.8%,84.5,220.1,0,0,-,-,-,25.0%,25.0%,73.2,41.7%,16.7%,-,100.0%,50.0%,25.0%,0.0%,25.0%,50.0%,50.0%,50.0%,-,50.0%
