Matchup,NYY @ ATH
Pitcher,Jacob Lopez
Pitcher Team,ATH
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,48.2,230,0.282,0.378,0.497,0.215,1.77,11,2.03,13.5%,19.2%,15.2%,14.6%,8.5%,6.47,57.8%,6.9%,4.9%,31.1%,31.7%,17.3%,20.1%
vsLHB,13.0,62,0.235,0.329,0.373,0.137,1.69,2,1.38,16.1%,19.6%,14.5%,12.7%,8.5%,6.23,53.2%,7.7%,2.3%,27.9%,23.3%,20.0%,20.9%
vsRHB,35.0,168,0.299,0.396,0.542,0.243,1.83,9,2.31,12.5%,19.0%,15.5%,15.4%,8.4%,6.69,59.5%,6.6%,5.8%,32.2%,34.7%,16.7%,19.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Jose Caballero RHB,N/A,12,3.20,2,2,0.417,0.417,1.000,0.583,0.604,-,23.3%,25.0%,14.6%,83.7,11.1%,11.1%,33.3%,33.3%,55.6%,67.9,3.7%,22.2%,3.7%,90.0%,33.3%,66.7%,33.3%,22.2%,33.3%,44.4%,22.2%,33.3%
Paul Goldschmidt RHB,N/A,17,4.60,1,1,0.562,0.588,0.875,0.312,0.625,5.9%,13.0%,5.9%,5.6%,93.6,14.3%,7.1%,21.4%,57.1%,35.7%,73.5,33.3%,42.9%,23.8%,91.3%,21.4%,33.3%,35.7%,35.7%,42.9%,14.3%,42.9%,28.6%
Trent Grisham LHB,N/A,14,4.40,1,1,0.308,0.357,0.538,0.231,0.387,7.1%,23.5%,28.6%,11.4%,92.5,22.2%,-,-,55.6%,55.6%,69.7,7.1%,57.1%,21.4%,82.4%,22.2%,0.0%,44.4%,22.2%,11.1%,77.8%,11.1%,61.5%
Cody Bellinger LHB,N/A,12,4.20,1,1,0.182,0.250,0.455,0.273,0.303,8.3%,17.4%,25.0%,8.3%,85.5,12.5%,12.5%,12.5%,37.5%,62.5%,69.5,-,31.2%,6.2%,69.6%,25.0%,0.0%,37.5%,25.0%,25.0%,62.5%,12.5%,36.4%
Austin Wells LHB,N/A,12,4.00,1,1,0.083,0.083,0.333,0.250,0.175,-,40.7%,41.7%,23.9%,82.5,-,-,14.3%,28.6%,42.9%,72.8,21.1%,21.1%,-,79.2%,28.6%,50.0%,-,42.9%,57.1%,28.6%,14.3%,45.5%
Anthony Volpe RHB,N/A,7,4.00,1,1,0.333,0.429,1.000,0.667,0.574,14.3%,25.0%,-,8.9%,81.1,16.7%,-,50.0%,33.3%,33.3%,71.5,13.3%,20.0%,6.7%,93.8%,33.3%,50.0%,16.7%,16.7%,66.7%,33.3%,-,10.0%
J.C. Escarra LHB,N/A,13,3.40,0,0,0.333,0.308,0.417,0.083,0.303,-,17.9%,7.7%,11.6%,89.2,8.3%,-,16.7%,33.3%,41.7%,69.2,-,34.8%,17.4%,82.1%,33.3%,0.0%,33.3%,33.3%,41.7%,33.3%,25.0%,27.3%
Ryan McMahon LHB,N/A,12,3.60,0,1,0.333,0.333,0.500,0.167,0.360,-,16.0%,25.0%,8.3%,93.1,11.1%,-,11.1%,44.4%,33.3%,72.9,22.7%,27.3%,13.6%,88.0%,22.2%,0.0%,33.3%,33.3%,33.3%,22.2%,33.3%,33.3%
Ben Rice LHB,N/A,12,4.60,0,1,0.364,0.417,0.636,0.273,0.443,8.3%,35.0%,25.0%,14.3%,93.9,12.5%,-,25.0%,62.5%,62.5%,72.7,23.5%,35.3%,23.5%,85.0%,-,-,62.5%,37.5%,50.0%,25.0%,25.0%,35.7%
Aaron Judge RHB,N/A,11,4.40,0,0,0.200,0.182,0.200,-,0.162,-,33.3%,18.2%,14.5%,92.0,-,-,-,55.6%,11.1%,76.4,66.7%,25.0%,16.7%,100.0%,22.2%,0.0%,11.1%,66.7%,55.6%,22.2%,22.2%,45.5%
Max Schuemann RHB,N/A,9,2.80,0,1,0.500,0.667,0.833,0.333,0.597,33.3%,41.2%,22.2%,15.6%,90.0,-,-,-,50.0%,50.0%,71.3,14.3%,7.1%,7.1%,87.5%,50.0%,0.0%,-,25.0%,25.0%,50.0%,25.0%,36.4%
Jazz Chisholm Jr. LHB,N/A,7,4.40,0,1,0.333,0.429,0.500,0.167,0.401,14.3%,23.5%,14.3%,9.8%,88.7,-,-,40.0%,40.0%,40.0%,73.9,28.6%,21.4%,14.3%,87.5%,20.0%,0.0%,40.0%,20.0%,80.0%,20.0%,-,20.0%
