Matchup,DET @ NYY
Pitcher,Troy Melton
Pitcher Team,DET
Opposing Team,NYY

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,37.1,145,0.173,0.258,0.361,0.188,0.86,7,1.69,6.2%,22.1%,17.2%,17.9%,11.1%,6.03,54.5%,6.3%,6.4%,32.1%,28.4%,12.9%,15.6%
vsLHB,22.2,91,0.152,0.285,0.405,0.253,0.93,6,2.38,9.9%,20.9%,16.5%,19.5%,9.9%,5.96,49.5%,6.6%,7.7%,29.2%,36.9%,16.7%,15.4%
vsRHB,14.2,54,0.204,0.213,0.296,0.093,0.75,1,0.61,-,24.0%,18.5%,15.9%,13.4%,6.14,63.0%,5.9%,4.5%,36.4%,15.9%,-,15.9%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ben Rice LHB,,+255,31,19,3.40,2,4,0.222,0.263,0.556,0.333,0.349,5.3%,23.1%,31.6%,11.1%,97.3,338.7,7,4,16.7%,-,8.3%,50.0%,33.3%,72.9,34.6%,46.2%,15.4%,100.0%,75.0%,75.0%,22.2%,-,25.0%,16.7%,50.0%,33.3%,41.2%
Jazz Chisholm Jr. LHB,,+300,36,18,2.40,2,3,0.250,0.333,0.625,0.375,0.404,11.1%,35.7%,22.2%,13.5%,92.6,309.9,4,4,16.7%,16.7%,25.0%,41.7%,25.0%,74.9,46.4%,25.0%,14.3%,100.0%,33.3%,33.3%,50.0%,-,58.3%,83.3%,8.3%,8.3%,5.6%
Paul Goldschmidt RHB,,+450,19,18,3.40,1,1,0.167,0.167,0.333,0.167,0.216,-,35.1%,38.9%,21.7%,78.5,290.2,3,0,9.1%,-,9.1%,27.3%,27.3%,71.0,9.7%,16.1%,3.2%,83.8%,54.5%,54.5%,16.7%,-,45.5%,36.4%,27.3%,36.4%,41.2%
Spencer Jones LHB,,+430,27,16,3.20,1,0,0.231,0.375,0.538,0.308,0.388,18.8%,45.9%,43.8%,22.4%,95.1,257.3,1,0,-,-,40.0%,60.0%,40.0%,77.5,69.0%,10.3%,6.9%,80.6%,80.0%,40.0%,0.0%,40.0%,20.0%,40.0%,40.0%,20.0%,45.0%
Cody Bellinger LHB,,+340,20,17,4.00,0,1,-,0.235,-,-,0.153,23.5%,20.8%,17.6%,7.5%,90.5,205.6,2,0,-,-,10.0%,30.0%,20.0%,69.8,-,35.3%,11.8%,73.9%,40.0%,30.0%,0.0%,10.0%,30.0%,30.0%,20.0%,50.0%,26.3%
Jose Caballero RHB,,+830,17,15,3.60,0,0,0.067,0.067,0.067,-,0.059,-,25.7%,33.3%,15.5%,88.0,214.8,2,0,-,-,20.0%,30.0%,20.0%,69.9,17.9%,17.9%,-,82.4%,40.0%,30.0%,0.0%,10.0%,40.0%,50.0%,30.0%,20.0%,38.5%
Anthony Volpe RHB,,+630,15,15,3.00,0,1,0.333,0.467,0.417,0.083,0.392,20.0%,13.6%,13.3%,5.6%,91.4,276.7,3,1,-,-,20.0%,40.0%,40.0%,71.9,18.2%,31.8%,13.6%,100.0%,70.0%,30.0%,0.0%,40.0%,30.0%,20.0%,80.0%,-,33.3%
Jasson Dominguez SHB,,+500,13,15,3.60,0,0,0.267,0.267,0.467,0.200,0.313,-,21.2%,40.0%,10.8%,90.6,253.9,3,0,-,-,44.4%,22.2%,55.6%,74.6,45.2%,12.9%,6.5%,93.9%,66.6%,22.2%,0.0%,44.4%,22.2%,66.7%,22.2%,11.1%,25.0%
Amed Rosario RHB,—,N/A,14,14,3.20,0,0,0.308,0.357,0.308,-,0.301,7.1%,31.0%,35.7%,16.1%,90.6,250.6,0,0,-,-,-,37.5%,50.0%,73.0,27.3%,13.6%,9.1%,78.6%,75.0%,25.0%,0.0%,50.0%,25.0%,-,25.0%,75.0%,43.8%
Austin Wells LHB,,+350,18,14,2.60,0,0,0.071,0.071,0.071,-,0.064,-,20.8%,21.4%,12.2%,84.1,218.9,1,0,-,-,18.2%,36.4%,27.3%,73.4,19.0%,19.0%,9.5%,87.5%,45.5%,27.3%,0.0%,18.2%,36.4%,27.3%,36.4%,36.4%,41.7%
