Matchup,SF @ COL
Pitcher,Robbie Ray
Pitcher Team,SF
Opposing Team,COL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,58.2,250,0.240,0.343,0.470,0.230,1.38,13,1.99,11.6%,25.2%,21.2%,16.6%,12.0%,8.13,59.8%,5.8%,11.9%,37.5%,37.5%,20.6%,17.9%
vsLHB,13.2,55,0.224,0.269,0.306,0.082,1.17,0,-,9.1%,27.6%,21.8%,16.4%,12.9%,7.90,61.8%,7.7%,5.3%,23.7%,23.7%,-,10.5%
vsRHB,44.1,195,0.244,0.363,0.518,0.274,1.47,13,2.64,12.3%,24.6%,21.0%,16.6%,11.7%,8.32,59.2%,5.4%,13.8%,41.5%,41.5%,24.1%,20.0%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Tyler Freeman RHB,N/A,16,4.40,2,2,0.250,0.250,0.625,0.375,0.374,-,12.1%,25.0%,6.6%,82.5,-,-,8.3%,33.3%,58.3%,69.5,10.0%,16.7%,6.7%,93.8%,16.7%,50.0%,25.0%,50.0%,16.7%,41.7%,41.7%,21.4%
Hunter Goodman RHB,N/A,16,4.20,1,1,0.312,0.312,0.625,0.312,0.401,-,28.3%,37.5%,17.8%,89.0,20.0%,-,20.0%,40.0%,30.0%,75.5,54.1%,13.5%,8.1%,84.1%,20.0%,50.0%,30.0%,50.0%,50.0%,50.0%,-,57.1%
Ezequiel Tovar RHB,N/A,16,4.20,0,0,0.188,0.188,0.250,0.062,0.191,-,28.3%,31.2%,19.4%,83.9,-,-,18.2%,9.1%,36.4%,72.6,30.0%,20.0%,2.5%,88.9%,36.4%,0.0%,36.4%,27.3%,36.4%,45.5%,18.2%,60.0%
Kyle Karros RHB,N/A,15,2.60,0,0,0.133,0.133,0.267,0.133,0.169,-,27.6%,33.3%,13.3%,86.8,-,-,10.0%,40.0%,30.0%,70.0,3.7%,22.2%,7.4%,93.1%,30.0%,0.0%,10.0%,60.0%,60.0%,30.0%,10.0%,10.0%
Willi Castro SHB,N/A,15,4.00,0,1,0.429,0.467,0.500,0.071,0.425,6.7%,30.3%,26.7%,16.7%,90.7,10.0%,10.0%,20.0%,50.0%,40.0%,74.8,46.9%,18.8%,9.4%,97.0%,10.0%,0.0%,40.0%,40.0%,60.0%,30.0%,10.0%,35.7%
TJ Rumfield LHB,N/A,14,3.40,0,0,0.308,0.357,0.308,-,0.301,7.1%,26.9%,28.6%,15.2%,91.9,-,-,-,33.3%,22.2%,69.3,10.5%,31.6%,5.3%,73.1%,33.3%,0.0%,33.3%,22.2%,-,55.6%,33.3%,36.4%
Troy Johnston LHB,N/A,11,4.20,0,0,0.091,0.091,0.091,-,0.081,-,27.3%,36.4%,17.1%,86.0,-,-,28.6%,28.6%,14.3%,68.3,-,31.2%,12.5%,72.7%,14.3%,0.0%,14.3%,42.9%,28.6%,57.1%,14.3%,54.5%
Jake McCarthy LHB,N/A,10,4.00,0,0,0.300,0.300,0.300,-,0.267,-,11.8%,-,7.7%,73.9,10.0%,-,10.0%,10.0%,40.0%,72.0,26.7%,33.3%,6.7%,93.8%,10.0%,0.0%,30.0%,40.0%,20.0%,60.0%,20.0%,33.3%
Brett Sullivan LHB,N/A,8,3.20,0,0,0.250,0.250,0.250,-,0.222,-,13.3%,12.5%,7.1%,83.0,-,-,-,14.3%,14.3%,65.5,-,41.7%,8.3%,85.7%,14.3%,0.0%,14.3%,71.4%,28.6%,57.1%,14.3%,28.6%
Edouard Julien LHB,N/A,7,3.20,0,1,-,0.143,-,-,0.093,14.3%,53.8%,57.1%,24.1%,86.5,-,-,50.0%,50.0%,100.0%,70.6,11.1%,11.1%,-,75.0%,50.0%,0.0%,50.0%,-,50.0%,-,50.0%,33.3%
Braxton Fulford RHB,N/A,5,1.80,0,0,-,-,-,-,-,-,50.0%,60.0%,27.3%,80.8,-,-,-,-,-,71.6,27.3%,-,-,91.7%,100.0%,0.0%,-,-,-,-,100.0%,33.3%
Chad Stevens RHB,N/A,4,3.00,0,1,-,-,-,-,-,-,16.7%,25.0%,10.5%,72.6,33.3%,-,-,33.3%,33.3%,69.9,12.5%,12.5%,12.5%,72.7%,33.3%,0.0%,-,66.7%,-,33.3%,66.7%,33.3%
Sterlin Thompson LHB,N/A,1,3.00,0,0,-,-,-,-,-,-,60.0%,100.0%,42.9%,-,-,-,-,-,-,74.2,25.0%,-,-,80.0%,-,-,-,-,-,-,-,66.7%
