Matchup,ATL @ CIN
Pitcher,Spencer Strider
Pitcher Team,ATL
Opposing Team,CIN

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,26.0,103,0.170,0.308,0.420,0.250,1.15,6,2.08,14.6%,34.8%,31.1%,23.2%,15.8%,11.08,60.6%,6.9%,8.9%,32.1%,41.1%,26.1%,28.6%
vsLHB,16.2,67,0.155,0.305,0.448,0.293,1.08,5,2.70,13.4%,34.6%,34.3%,27.4%,15.6%,12.42,61.2%,7.4%,14.3%,34.3%,45.7%,31.2%,31.4%
vsRHB,8.1,36,0.200,0.313,0.367,0.167,1.44,1,1.08,16.7%,35.1%,25.0%,16.7%,16.2%,9.72,59.5%,6.0%,-,28.6%,33.3%,14.3%,23.8%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Elly De La Cruz SHB,N/A,28,4.80,2,3,0.120,0.214,0.400,0.280,0.265,10.7%,25.0%,35.7%,12.1%,96.5,20.0%,6.7%,6.7%,66.7%,40.0%,74.2,40.8%,22.4%,14.3%,94.2%,46.7%,28.6%,13.3%,33.3%,13.3%,40.0%,40.0%,37.5%
JJ Bleday LHB,N/A,23,4.80,2,2,0.143,0.217,0.429,0.286,0.278,8.7%,23.3%,17.4%,12.2%,87.8,17.6%,17.6%,17.6%,35.3%,29.4%,74.4,39.0%,22.0%,12.2%,95.3%,23.5%,50.0%,11.8%,47.1%,58.8%,29.4%,5.9%,37.5%
Nathaniel Lowe LHB,N/A,25,4.20,1,2,0.304,0.360,0.478,0.174,0.365,8.0%,8.7%,8.0%,3.6%,90.4,9.5%,-,9.5%,47.6%,33.3%,74.5,46.2%,33.3%,23.1%,84.8%,14.3%,33.3%,28.6%,52.4%,28.6%,52.4%,19.0%,20.7%
Matt McLain RHB,N/A,14,4.60,1,1,0.286,0.286,0.643,0.357,0.395,-,25.0%,28.6%,11.5%,91.0,10.0%,-,20.0%,80.0%,60.0%,72.1,17.4%,34.8%,21.7%,95.8%,50.0%,20.0%,30.0%,20.0%,30.0%,40.0%,30.0%,11.8%
TJ Friedl LHB,N/A,22,2.40,0,0,0.100,0.136,0.100,-,0.110,4.5%,37.8%,36.4%,16.1%,75.3,-,-,23.1%,7.7%,15.4%,71.1,15.6%,18.8%,3.1%,91.4%,23.1%,0.0%,15.4%,30.8%,53.8%,15.4%,30.8%,24.0%
Will Benson LHB,N/A,20,1.80,0,0,0.067,0.300,0.067,-,0.210,20.0%,44.4%,35.0%,14.5%,94.0,12.5%,12.5%,25.0%,37.5%,25.0%,73.2,33.3%,20.8%,8.3%,88.9%,50.0%,0.0%,12.5%,25.0%,25.0%,50.0%,12.5%,26.3%
Tyler Stephenson RHB,N/A,19,4.00,0,0,0.222,0.263,0.278,0.056,0.242,5.3%,38.7%,21.1%,20.7%,84.3,7.1%,-,14.3%,28.6%,42.9%,71.2,13.8%,27.6%,6.9%,96.7%,7.1%,0.0%,35.7%,42.9%,42.9%,28.6%,28.6%,44.4%
Eugenio Suarez RHB,N/A,17,4.20,0,1,0.077,0.294,0.077,-,0.205,23.5%,34.4%,35.3%,13.1%,89.0,14.3%,-,-,14.3%,28.6%,71.8,14.3%,14.3%,3.6%,90.3%,28.6%,0.0%,14.3%,28.6%,28.6%,28.6%,42.9%,30.8%
Blake Dunn RHB,N/A,16,5.40,0,1,0.467,0.500,0.667,0.200,0.499,6.2%,28.6%,12.5%,14.5%,82.7,7.7%,-,15.4%,38.5%,46.2%,69.0,12.0%,36.0%,16.0%,89.3%,15.4%,0.0%,23.1%,38.5%,23.1%,53.8%,23.1%,25.0%
Sal Stewart RHB,N/A,14,4.60,0,0,0.455,0.571,0.636,0.182,0.511,21.4%,33.3%,21.4%,14.9%,96.0,-,-,12.5%,62.5%,50.0%,73.7,25.0%,20.0%,10.0%,100.0%,-,-,50.0%,37.5%,25.0%,37.5%,25.0%,26.7%
Spencer Steer RHB,N/A,12,4.20,0,0,0.182,0.250,0.182,-,0.202,8.3%,34.8%,33.3%,15.7%,90.0,-,-,42.9%,28.6%,42.9%,71.1,13.6%,22.7%,9.1%,95.7%,28.6%,0.0%,42.9%,-,42.9%,14.3%,42.9%,14.3%
Dane Myers RHB,N/A,8,2.60,0,1,0.250,0.250,0.250,-,0.222,-,22.2%,12.5%,9.5%,72.6,14.3%,-,-,14.3%,14.3%,73.6,28.6%,42.9%,14.3%,87.5%,28.6%,0.0%,-,28.6%,28.6%,57.1%,-,30.0%
P.J. Higgins RHB,N/A,4,3.20,0,0,0.333,0.500,0.333,-,0.385,25.0%,33.3%,25.0%,12.5%,90.3,-,-,100.0%,50.0%,50.0%,65.8,-,22.2%,-,100.0%,50.0%,0.0%,50.0%,-,100.0%,-,-,44.4%
