HR Split,Overall
Dates,="6/5/2026"
Games,19

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,8:15 PM,Brady Singer,@,2.17,2.18,1.17,3.35,14.6%,33.8%,40.9%,29.8%,6.8%,1058
2,9:40 PM,Foster Griffin,@,1.20,0.27,1.48,2.19,13.9%,27.9%,39.2%,28.8%,5.8%,397
3,8:40 PM,Ryan Feltner,vs,1.09,0.68,1.15,1.77,12.6%,18.5%,45.7%,32.7%,9.6%,340
4,2:20 PM,Robbie Ray,@,1.06,-0.67,1.47,2.00,12.3%,21.0%,41.2%,34.2%,7.0%,1136
5,8:15 PM,Zebby Matthews,vs,0.97,1.03,0.60,1.84,11.9%,21.5%,37.2%,33.4%,8.9%,544
6,2:20 PM,Edward Cabrera,vs,0.69,0.26,1.28,1.74,12.3%,24.1%,41.4%,22.8%,6.4%,914
7,9:40 PM,Merrill Kelly,vs,0.51,0.92,-0.21,1.34,14.6%,11.7%,43.7%,28.7%,6.2%,1116
8,7:05 PM,Ryan Weathers,vs,0.51,0.89,0.33,1.67,9.9%,21.6%,38.6%,28.1%,6.3%,547
9,10:10 PM,Roki Sasaki,vs,0.43,0.30,0.58,1.31,12.1%,15.9%,43.7%,25.9%,7.8%,540
10,8:15 PM,Kyle Leahy,vs,0.18,0.79,-0.61,0.92,11.1%,12.7%,48.6%,25.0%,8.3%,728
11,8:40 PM,Brandon Sproat,@,0.18,-0.23,0.62,1.31,8.3%,18.9%,40.1%,25.3%,7.8%,403
12,7:15 PM,Martin Perez,vs,0.15,0.35,-0.03,1.01,10.2%,14.2%,43.2%,27.6%,8.1%,504
13,6:40 PM,Framber Valdez,vs,0.14,0.36,0.10,1.20,8.6%,16.1%,44.2%,26.0%,7.4%,1219
14,7:10 PM,Drew Rasmussen,@,-0.17,0.21,-0.38,1.10,7.3%,20.9%,35.0%,19.7%,8.4%,935
15,7:07 PM,Brandon Young,@,-0.18,-0.14,0.04,0.99,7.9%,12.1%,39.2%,28.0%,7.1%,565
16,7:10 PM,Ryan Gusto,vs,-0.25,0.35,-0.28,0.58,9.8%,5.0%,48.3%,23.6%,9.4%,481
17,9:40 PM,Michael King,vs,-0.27,0.26,-0.98,0.98,9.2%,14.8%,33.9%,24.3%,6.4%,698
18,6:40 PM,Anthony Kay,@,-0.31,-1.35,0.14,0.94,8.0%,16.3%,40.3%,20.8%,6.1%,373
19,8:15 PM,Kumar Rocker,vs,-0.35,0.10,-0.62,0.86,7.8%,9.4%,40.5%,25.3%,7.2%,640
20,7:15 PM,Mitch Keller,@,-0.36,0.24,-1.22,0.83,8.2%,14.4%,38.5%,19.9%,8.0%,1145
21,8:15 PM,Michael Wacha,@,-0.38,-0.34,-0.04,0.89,6.6%,13.8%,36.9%,24.7%,7.7%,1145
22,8:15 PM,Parker Messick,@,-0.59,-0.81,-0.34,0.76,5.3%,12.8%,37.5%,24.4%,7.1%,553
23,8:10 PM,Jack Perkins,@,-0.64,-0.97,-0.08,0.62,6.3%,6.6%,30.3%,36.5%,6.4%,333
24,8:10 PM,Peter Lambert,vs,-0.66,-0.91,0.09,0.50,4.8%,6.5%,42.0%,30.9%,7.0%,314
25,7:05 PM,Sonny Gray,@,-0.71,-0.36,-0.85,0.65,7.6%,12.5%,32.8%,18.3%,7.7%,1063
26,6:40 PM,Bryan Woo,@,-0.79,-0.44,-0.86,0.49,4.0%,5.5%,39.3%,28.7%,8.1%,1143
27,6:40 PM,Jesus Luzardo,vs,-0.97,-0.83,-0.76,0.54,6.4%,10.0%,27.3%,21.5%,7.1%,1187
28,7:07 PM,Trey Yesavage,vs,-1.30,-0.87,-1.30,0.13,4.1%,3.0%,33.3%,25.9%,6.9%,429
29,9:40 PM,Christian Scott,@,-1.33,-1.26,-0.49,0.14,3.5%,2.4%,30.8%,26.7%,7.8%,241
