Split,Season
Range,L10
Dates,="6/9/2026"
Games,15

,STATS,STATCAST
TIME,PITCHER,VS,IP,BF,FIP,AVG,WOBA,WHIP,ISO,SLG,HR,HR/9,TB,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,BB,BB%,1STPS%,MEATBALL%,BBE,HH%,BARRELS,BARREL%,FB%,HR/FB%,PULLAIR%
6:40 PM,Zac Gallen,@,49.1,222,5.37,0.312,0.372,1.58,0.195,0.507,10,1.82,104,18.7%,14.9%,13.4%,8.7%,6.02,14,6.3%,65.9%,7.2%,173,46.2%,16,9.2%,26.6%,17.4%,15.6%
6:40 PM,Slade Cecconi,vs,51.2,225,3.99,0.304,0.347,1.51,0.142,0.446,6,1.05,91,20.6%,17.8%,15.6%,9.7%,6.97,16,7.1%,68.1%,7.6%,169,32.5%,11,6.5%,26.6%,8.9%,14.8%
6:35 PM,Trevor Rogers,vs,48.0,215,4.70,0.303,0.370,1.56,0.217,0.520,8,1.50,103,22.3%,16.7%,12.4%,11.5%,6.75,15,7.0%,65.7%,7.6%,164,39.6%,12,7.3%,23.2%,18.4%,20.1%
9:45 PM,Adrian Houser,vs,49.2,225,5.88,0.288,0.376,1.57,0.227,0.515,10,1.81,102,18.1%,14.2%,14.7%,7.8%,5.80,21,9.3%,63.6%,7.3%,168,42.3%,15,8.9%,23.8%,22.5%,15.5%
6:40 PM,Nick Martinez,vs,57.0,247,3.52,0.277,0.311,1.33,0.121,0.398,4,0.63,92,17.6%,14.2%,17.9%,8.8%,5.53,12,4.9%,66.8%,7.1%,198,33.3%,14,7.1%,28.3%,7.1%,19.2%
8:40 PM,Tomoyuki Sugano,vs,51.1,224,5.32,0.276,0.355,1.38,0.227,0.502,9,1.58,102,14.9%,12.1%,11.3%,6.5%,4.73,15,6.7%,61.3%,8.7%,180,47.8%,31,17.2%,31.1%,12.5%,20.0%
8:40 PM,Colin Rea,@,51.2,231,4.71,0.262,0.324,1.43,0.152,0.414,8,1.39,87,21.2%,18.2%,14.9%,9.9%,7.32,19,8.2%,61.0%,6.9%,168,47.0%,23,13.7%,28.0%,12.8%,14.9%
9:40 PM,Lucas Giolito,vs,15.2,74,6.67,0.262,0.362,1.79,0.164,0.426,3,1.72,26,26.4%,14.9%,13.1%,10.4%,6.32,12,16.2%,54.7%,6.9%,50,40.0%,2,4.0%,28.0%,21.4%,30.0%
6:40 PM,Eric Lauer,@,46.0,203,6.60,0.257,0.352,1.41,0.251,0.508,13,2.54,93,19.0%,15.3%,13.6%,9.5%,6.07,18,8.9%,64.4%,5.6%,154,39.0%,18,11.7%,39.0%,20.0%,22.1%
7:40 PM,Erick Fedde,vs,46.2,210,6.79,0.257,0.355,1.48,0.230,0.486,12,2.31,89,15.1%,13.3%,11.5%,6.3%,5.40,22,10.5%,64.0%,6.9%,158,39.9%,14,8.9%,31.6%,20.0%,20.9%
9:45 PM,Andrew Alvarez,@,19.2,82,3.10,0.250,0.295,1.27,0.118,0.368,2,0.92,28,28.7%,26.8%,22.2%,13.5%,10.07,6,7.3%,42.7%,7.6%,54,46.3%,5,9.3%,9.3%,40.0%,20.4%
7:40 PM,Grant Holmes,@,51.2,226,5.31,0.248,0.335,1.39,0.208,0.455,11,1.92,92,27.3%,21.7%,22.3%,13.5%,8.54,22,9.7%,56.4%,6.8%,154,50.0%,17,11.0%,25.3%,28.2%,22.1%
7:10 PM,Freddy Peralta,vs,56.1,245,4.15,0.243,0.317,1.38,0.161,0.404,7,1.12,88,26.0%,22.4%,18.9%,12.3%,8.79,25,10.2%,61.6%,7.6%,164,39.6%,11,6.7%,27.4%,15.6%,17.7%
6:40 PM,Taj Bradley,@,56.1,242,3.65,0.236,0.305,1.31,0.144,0.380,6,0.96,82,27.1%,25.2%,21.3%,12.4%,9.75,23,9.5%,56.2%,7.7%,156,43.6%,15,9.6%,28.8%,13.3%,18.6%
10:05 PM,Robert Gasser,@,13.1,62,5.50,0.231,0.354,1.42,0.231,0.462,2,1.35,24,26.5%,19.4%,15.4%,12.0%,8.10,7,11.3%,61.3%,7.6%,40,30.0%,3,7.5%,30.0%,16.7%,22.5%
7:10 PM,Dustin May,@,58.0,238,2.98,0.230,0.274,1.14,0.088,0.318,3,0.47,69,22.4%,22.3%,20.0%,10.7%,8.22,16,6.7%,58.1%,7.0%,166,47.6%,10,6.0%,19.3%,6.2%,13.9%
9:38 PM,Kai-Wei Teng,@,32.0,137,4.54,0.227,0.318,1.34,0.168,0.395,4,1.12,47,25.6%,21.9%,19.7%,11.1%,8.44,16,11.7%,58.6%,6.8%,89,34.8%,6,6.7%,24.7%,18.2%,14.6%
7:07 PM,Dylan Cease,vs,55.2,236,2.88,0.221,0.283,1.26,0.096,0.317,5,0.81,66,34.3%,33.5%,25.1%,15.5%,12.77,24,10.2%,61.1%,6.6%,129,38.8%,8,6.2%,18.6%,20.8%,19.4%
7:40 PM,Nathan Eovaldi,@,66.0,269,4.33,0.221,0.286,1.05,0.157,0.378,11,1.50,94,31.5%,22.7%,22.7%,16.6%,8.32,14,5.2%,67.0%,6.5%,187,37.4%,14,7.5%,23.0%,25.6%,13.9%
6:35 PM,Logan Gilbert,@,57.0,231,4.71,0.217,0.305,1.05,0.217,0.434,12,1.89,92,28.5%,25.5%,19.2%,14.3%,9.32,14,6.1%,68.1%,7.6%,154,46.1%,19,12.3%,31.2%,22.9%,24.7%
9:38 PM,Walbert Urena,vs,50.2,214,3.99,0.208,0.284,1.28,0.109,0.317,4,0.71,58,28.8%,22.0%,21.0%,12.8%,8.35,27,12.6%,50.9%,6.1%,138,33.3%,8,5.8%,21.7%,10.0%,13.8%
7:40 PM,Stephen Kolek,vs,38.0,149,4.10,0.207,0.265,0.97,0.150,0.357,5,1.18,50,19.5%,18.1%,18.9%,9.2%,6.39,8,5.4%,58.7%,5.6%,113,37.2%,8,7.1%,23.0%,15.4%,13.3%
10:05 PM,J.T. Ginn,vs,53.2,220,4.18,0.193,0.278,1.14,0.130,0.323,6,1.01,62,28.0%,23.6%,24.3%,12.6%,8.72,24,10.9%,54.5%,7.0%,140,37.1%,10,7.1%,22.1%,16.1%,15.7%
6:40 PM,Payton Tolle,@,46.2,187,2.65,0.191,0.240,0.99,0.098,0.289,3,0.58,50,27.2%,27.3%,24.2%,15.1%,9.84,13,7.0%,63.1%,7.8%,122,34.4%,6,4.9%,30.3%,8.1%,19.7%
6:40 PM,Paul Skenes,vs,58.2,225,2.28,0.190,0.226,0.82,0.106,0.296,5,0.77,64,26.3%,31.1%,21.9%,13.5%,10.74,7,3.1%,60.4%,5.9%,147,33.3%,6,4.1%,19.0%,17.9%,15.0%
9:40 PM,Chase Burns,@,59.0,229,3.52,0.189,0.258,0.97,0.156,0.344,8,1.22,73,32.6%,28.4%,23.2%,15.9%,9.92,17,7.4%,59.1%,6.9%,147,39.5%,14,9.5%,31.3%,15.2%,17.7%
6:40 PM,Gerrit Cole,@,17.1,68,4.43,0.188,0.267,0.92,0.203,0.391,3,1.56,25,20.2%,20.6%,21.5%,9.8%,7.27,4,5.9%,73.5%,3.4%,50,28.0%,2,4.0%,34.0%,17.6%,22.0%
6:40 PM,Max Meyer,vs,59.0,234,2.69,0.181,0.242,0.97,0.090,0.271,3,0.46,57,30.8%,28.2%,23.7%,14.8%,10.07,19,8.1%,63.0%,7.4%,145,46.2%,11,7.6%,29.7%,7.0%,14.5%
7:07 PM,Zack Wheeler,@,50.1,189,3.52,0.171,0.239,0.83,0.149,0.320,6,1.07,56,26.2%,25.4%,20.4%,13.4%,8.58,12,6.3%,68.3%,6.0%,128,36.7%,10,7.8%,25.8%,18.2%,18.0%
