Matchup,LAD @ MIN
Pitcher,Zebby Matthews
Pitcher Team,MIN
Opposing Team,LAD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,43.1,178,0.253,0.321,0.452,0.199,1.18,8,1.66,5.1%,23.0%,19.1%,19.8%,10.8%,7.06,68.0%,8.2%,11.3%,39.1%,32.3%,18.6%,18.8%
vsLHB,24.0,103,0.269,0.339,0.452,0.183,1.33,4,1.50,6.8%,21.4%,20.4%,22.3%,10.1%,7.88,65.0%,7.9%,12.3%,42.5%,38.4%,14.3%,21.9%
vsRHB,19.1,75,0.233,0.297,0.452,0.219,0.98,4,1.86,2.7%,25.2%,17.3%,16.7%,11.8%,6.05,72.0%,8.6%,10.0%,35.0%,25.0%,26.7%,15.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Shohei Ohtani LHB,,+220,32,24,3.20,2,3,0.211,0.375,0.579,0.368,0.400,20.8%,34.0%,29.2%,15.7%,90.6,312.7,4,3,25.0%,8.3%,16.7%,50.0%,50.0%,74.2,42.2%,13.3%,8.9%,91.8%,50.0%,33.3%,8.3%,41.7%,25.0%,50.0%,25.0%,30.4%
Mookie Betts RHB,,+557,10,23,4.20,2,3,0.391,0.391,0.739,0.348,0.487,-,17.1%,17.4%,6.7%,90.9,292.5,5,5,10.5%,5.3%,21.1%,36.8%,47.4%,69.9,6.5%,45.2%,19.4%,93.9%,47.4%,11.1%,31.6%,21.1%,26.3%,57.9%,15.8%,16.7%
Dalton Rushing LHB,,+518,38,25,3.20,1,1,0.238,0.360,0.429,0.190,0.345,16.0%,41.7%,36.0%,18.9%,94.1,283.5,5,2,16.7%,8.3%,41.7%,58.3%,75.0%,72.2,6.8%,22.7%,11.4%,91.7%,8.3%,100.0%,66.7%,25.0%,66.7%,16.7%,16.7%,36.0%
Max Muncy LHB,,+350,28,24,2.60,1,1,0.278,0.458,0.500,0.222,0.417,20.8%,20.7%,12.5%,8.5%,92.7,264.4,3,2,-,-,33.3%,53.3%,40.0%,71.7,20.0%,44.0%,20.0%,92.6%,26.7%,25.0%,26.7%,33.3%,60.0%,26.7%,13.3%,20.0%
Kyle Tucker LHB,,+525,19,24,4.00,1,2,0.391,0.417,0.565,0.174,0.427,4.2%,17.4%,20.8%,9.0%,88.2,260.5,2,1,5.6%,5.6%,16.7%,50.0%,16.7%,69.5,9.8%,29.3%,9.8%,89.1%,27.8%,20.0%,11.1%,61.1%,55.6%,22.2%,22.2%,35.0%
Ryan Ward LHB,,+571,23,23,3.20,0,0,0.150,0.261,0.200,0.050,0.217,13.0%,32.1%,39.1%,16.7%,89.4,286.9,2,0,-,-,40.0%,20.0%,30.0%,71.1,6.5%,13.0%,4.3%,83.6%,40.0%,0.0%,20.0%,40.0%,80.0%,-,20.0%,37.5%
Freddie Freeman LHB,,+425,29,21,4.00,0,0,0.294,0.429,0.353,0.059,0.354,19.0%,13.3%,9.5%,7.0%,81.9,234.5,2,0,-,-,-,20.0%,26.7%,70.9,7.3%,12.7%,1.8%,93.2%,26.7%,0.0%,26.7%,46.7%,26.7%,26.7%,46.7%,38.1%
Alex Freeland SHB,,+800,28,21,3.20,0,0,0.312,0.429,0.375,0.062,0.354,19.0%,27.0%,28.6%,10.1%,87.3,253.0,3,1,-,-,27.3%,63.6%,45.5%,70.2,2.9%,22.9%,8.6%,97.2%,18.2%,0.0%,45.5%,27.3%,27.3%,36.4%,36.4%,4.3%
Miguel Rojas RHB,—,N/A,18,17,2.00,0,0,0.250,0.353,0.333,0.083,0.294,17.6%,16.0%,5.9%,7.4%,82.4,224.9,2,1,7.7%,-,23.1%,38.5%,15.4%,69.3,4.8%,38.1%,14.3%,87.5%,38.5%,0.0%,-,38.5%,38.5%,46.2%,15.4%,23.1%
Andy Pages RHB,,+458,29,17,4.40,0,0,0.235,0.235,0.294,0.059,0.232,-,26.5%,23.5%,14.8%,90.3,254.9,3,0,-,-,-,53.8%,30.8%,72.1,21.2%,24.2%,15.2%,97.1%,15.4%,0.0%,30.8%,46.2%,7.7%,69.2%,23.1%,40.0%
Alex Call RHB,—,N/A,19,8,2.40,0,1,0.250,0.250,0.250,-,0.222,-,27.8%,25.0%,14.7%,91.0,286.2,2,1,16.7%,-,16.7%,50.0%,66.7%,66.1,-,35.7%,7.1%,77.8%,66.7%,0.0%,16.7%,16.7%,33.3%,33.3%,33.3%,20.0%
Tommy Edman SHB,,+950,5,7,3.50,0,0,0.571,0.571,0.714,0.143,0.563,-,23.1%,14.3%,12.5%,92.7,234.0,0,0,-,-,16.7%,50.0%,50.0%,69.2,-,38.5%,15.4%,100.0%,-,-,33.3%,50.0%,50.0%,33.3%,16.7%,33.3%
Chuckie Robinson RHB,—,N/A,-,2,3.00,0,0,-,-,-,-,-,-,40.0%,-,25.0%,93.7,118.4,0,0,-,-,-,50.0%,-,69.7,10.0%,20.0%,-,100.0%,-,-,-,50.0%,-,50.0%,50.0%,66.7%
