Matchup,SD @ WSH
Pitcher,Zack Littell
Pitcher Team,WSH
Opposing Team,SD

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.1,235,0.268,0.358,0.521,0.254,1.39,15,2.53,7.2%,13.9%,12.8%,14.9%,6.7%,5.06,62.1%,7.5%,12.3%,47.1%,39.0%,20.5%,20.3%
vsLHB,29.0,135,0.287,0.406,0.623,0.336,1.62,12,3.72,8.9%,10.2%,8.1%,9.7%,4.7%,3.41,59.3%,8.4%,13.4%,47.3%,41.1%,26.1%,19.6%
vsRHB,23.2,100,0.242,0.292,0.385,0.143,1.14,3,1.14,5.0%,18.5%,19.0%,21.3%,9.5%,7.23,66.0%,6.3%,10.7%,46.7%,36.0%,11.1%,21.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Manny Machado RHB,N/A,24,4.20,2,2,0.150,0.292,0.500,0.350,0.336,16.7%,31.0%,29.2%,13.4%,91.7,15.4%,7.7%,23.1%,53.8%,30.8%,75.0,52.6%,23.7%,10.5%,90.5%,15.4%,50.0%,23.1%,53.8%,61.5%,30.8%,7.7%,26.1%
Ty France RHB,N/A,22,3.20,1,2,0.286,0.318,0.476,0.190,0.344,4.5%,34.0%,45.5%,20.2%,92.5,18.2%,-,-,54.5%,45.5%,70.9,6.7%,13.3%,11.1%,86.5%,18.2%,50.0%,27.3%,45.5%,9.1%,54.5%,36.4%,20.0%
Ramon Laureano RHB,N/A,21,4.00,1,1,0.167,0.286,0.389,0.222,0.299,9.5%,24.5%,42.9%,12.6%,92.1,22.2%,-,-,55.6%,55.6%,72.6,25.6%,14.0%,9.3%,89.6%,44.4%,25.0%,22.2%,33.3%,11.1%,44.4%,44.4%,45.5%
Miguel Andujar RHB,N/A,21,4.40,1,1,0.100,0.143,0.250,0.150,0.173,4.8%,25.0%,19.0%,13.8%,84.2,6.2%,6.2%,6.2%,31.2%,18.8%,70.8,16.2%,16.2%,2.7%,88.1%,25.0%,25.0%,6.2%,68.8%,43.8%,25.0%,31.2%,33.3%
Nick Castellanos RHB,N/A,18,2.60,1,1,0.176,0.222,0.412,0.235,0.273,5.6%,40.5%,22.2%,23.3%,88.2,7.7%,-,7.7%,23.1%,46.2%,70.3,16.7%,25.0%,2.8%,92.3%,38.5%,20.0%,23.1%,38.5%,38.5%,23.1%,38.5%,31.6%
Rodolfo Durán RHB,N/A,16,3.20,1,2,0.143,0.250,0.357,0.214,0.268,12.5%,25.9%,25.0%,13.0%,85.0,20.0%,10.0%,40.0%,40.0%,50.0%,72.8,26.1%,17.4%,13.0%,88.5%,40.0%,25.0%,20.0%,20.0%,50.0%,40.0%,10.0%,57.1%
Gavin Sheets LHB,N/A,15,4.40,1,1,0.333,0.467,0.667,0.333,0.473,20.0%,14.3%,20.0%,5.5%,89.4,11.1%,11.1%,44.4%,22.2%,55.6%,73.0,33.3%,11.1%,7.4%,96.4%,44.4%,25.0%,22.2%,22.2%,44.4%,33.3%,22.2%,13.3%
Xander Bogaerts RHB,N/A,23,4.20,0,0,0.105,0.174,0.105,-,0.134,8.7%,27.0%,17.4%,10.5%,86.4,-,-,17.6%,23.5%,23.5%,72.4,26.9%,26.9%,3.8%,89.7%,41.2%,0.0%,5.9%,41.2%,47.1%,35.3%,11.8%,20.8%
Fernando Tatis Jr. RHB,N/A,22,4.40,0,0,0.389,0.500,0.389,-,0.404,13.6%,13.0%,9.1%,4.8%,85.3,-,-,-,50.0%,18.8%,74.9,55.6%,50.0%,27.8%,81.8%,12.5%,0.0%,18.8%,68.8%,25.0%,37.5%,37.5%,31.8%
Freddy Fermin RHB,N/A,20,3.00,0,0,0.056,0.150,0.056,-,0.109,10.0%,31.1%,30.0%,16.3%,86.0,-,-,25.0%,25.0%,16.7%,69.8,14.6%,9.8%,4.9%,93.2%,25.0%,0.0%,8.3%,41.7%,25.0%,50.0%,25.0%,37.5%
Jackson Merrill LHB,N/A,16,4.20,0,1,0.067,0.125,0.133,0.067,0.120,6.2%,29.0%,25.0%,14.8%,88.0,27.3%,-,9.1%,45.5%,45.5%,73.5,31.0%,20.7%,10.3%,93.5%,45.5%,0.0%,9.1%,45.5%,27.3%,63.6%,9.1%,26.3%
Bryce Johnson SHB,N/A,10,2.80,0,0,0.444,0.500,0.556,0.111,0.459,10.0%,25.0%,20.0%,11.5%,63.2,-,-,14.3%,-,14.3%,70.0,-,11.1%,-,81.8%,42.9%,0.0%,-,14.3%,28.6%,57.1%,14.3%,55.6%
Sung-Mun Song LHB,N/A,8,2.20,0,1,0.167,0.375,0.167,-,0.274,25.0%,35.3%,25.0%,15.4%,88.0,-,-,50.0%,25.0%,50.0%,71.0,-,20.0%,-,88.2%,25.0%,0.0%,25.0%,50.0%,75.0%,25.0%,-,16.7%
