Matchup,ATL @ PIT
Pitcher,Mitch Keller
Pitcher Team,PIT
Opposing Team,ATL

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,53.2,242,0.292,0.377,0.519,0.227,1.53,10,1.68,7.9%,18.1%,16.1%,15.4%,9.0%,6.54,60.1%,8.4%,9.6%,43.8%,27.5%,14.3%,18.5%
vsLHB,34.2,153,0.302,0.395,0.576,0.273,1.47,8,2.08,5.9%,16.8%,17.0%,16.6%,8.6%,6.75,59.1%,7.7%,11.4%,44.7%,26.3%,16.7%,18.4%
vsRHB,19.0,89,0.273,0.347,0.416,0.143,1.63,2,0.95,11.2%,20.5%,14.6%,13.4%,9.8%,6.16,61.8%,9.8%,6.2%,42.2%,29.7%,10.5%,18.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ozzie Albies SHB,,+610,17,26,4.60,2,4,0.280,0.308,0.680,0.400,0.416,3.8%,26.9%,26.9%,16.8%,85.5,293.2,5,4,11.1%,11.1%,33.3%,27.8%,44.4%,69.3,4.6%,12.3%,3.1%,100.0%,55.6%,27.8%,40.0%,27.8%,33.3%,55.6%,22.2%,22.2%,36.4%
Matt Olson LHB,,+281,29,24,4.80,2,3,0.273,0.333,0.727,0.455,0.441,8.3%,20.5%,25.0%,9.7%,94.5,336.2,7,5,25.0%,6.2%,25.0%,56.2%,50.0%,74.8,45.0%,30.0%,22.5%,90.9%,68.8%,25.0%,25.0%,43.8%,31.2%,43.8%,25.0%,31.2%,29.2%
Michael Harris II LHB,,+423,20,24,5.00,1,1,0.391,0.417,0.609,0.217,0.443,4.2%,31.2%,29.2%,14.9%,93.7,300.5,2,1,6.2%,-,6.2%,56.2%,25.0%,74.9,47.6%,23.8%,16.7%,87.5%,37.6%,18.8%,33.3%,18.8%,62.5%,37.5%,50.0%,12.5%,30.8%
Drake Baldwin LHB,,+442,39,22,4.40,1,1,0.300,0.364,0.450,0.150,0.363,-,15.8%,9.1%,6.9%,90.0,276.3,6,3,5.6%,-,-,38.9%,27.8%,74.0,47.2%,30.6%,16.7%,94.7%,61.1%,38.9%,14.3%,22.2%,33.3%,11.1%,55.6%,33.3%,25.0%
Mike Yastrzemski LHB,,+630,22,20,3.20,1,2,0.133,0.300,0.333,0.200,0.279,20.0%,12.9%,15.0%,4.8%,87.1,289.7,5,4,15.4%,7.7%,23.1%,46.2%,38.5%,71.8,7.4%,33.3%,11.1%,87.1%,53.9%,30.8%,25.0%,23.1%,30.8%,46.2%,38.5%,15.4%,35.0%
Joey Bart RHB,—,N/A,22,11,3.00,1,3,0.300,0.364,0.700,0.400,0.453,-,5.3%,-,2.3%,90.4,323.0,3,3,20.0%,10.0%,20.0%,50.0%,20.0%,74.8,40.0%,33.3%,20.0%,88.2%,40.0%,20.0%,50.0%,20.0%,60.0%,40.0%,30.0%,30.0%,21.4%
Mauricio Dubon RHB,,+1040,15,27,4.60,0,0,0.261,0.370,0.304,0.043,0.308,14.8%,18.9%,14.8%,9.3%,81.8,237.8,1,0,-,-,15.8%,36.8%,31.6%,68.3,4.8%,23.8%,2.4%,82.4%,21.1%,5.3%,0.0%,15.8%,57.9%,36.8%,21.1%,42.1%,28.1%
Dominic Smith LHB,,+650,20,26,3.80,0,1,0.231,0.231,0.269,0.038,0.220,-,21.1%,23.1%,8.6%,87.9,248.0,3,1,-,-,10.0%,40.0%,20.0%,68.7,5.9%,35.3%,11.8%,89.5%,30.0%,10.0%,0.0%,20.0%,65.0%,50.0%,40.0%,10.0%,17.9%
Austin Riley RHB,,+520,23,22,4.20,0,0,0.150,0.227,0.150,-,0.180,9.1%,33.9%,31.8%,19.0%,80.6,246.0,3,1,-,-,-,7.7%,15.4%,76.2,61.1%,7.4%,-,93.1%,38.5%,23.1%,0.0%,15.4%,46.2%,38.5%,38.5%,23.1%,34.6%
Jorge Mateo RHB,—,N/A,17,19,2.60,0,0,0.118,0.211,0.118,-,0.162,10.5%,41.9%,42.1%,24.0%,80.3,237.5,3,1,-,-,22.2%,22.2%,44.4%,73.7,31.4%,8.6%,2.9%,81.4%,33.3%,-,-,33.3%,33.3%,66.7%,22.2%,11.1%,52.4%
Jim Jarvis LHB,,+1400,5,16,3.60,0,0,0.267,0.312,0.267,-,0.263,6.2%,17.9%,18.8%,7.8%,81.7,255.3,1,0,-,-,-,16.7%,25.0%,71.0,12.5%,8.3%,-,88.9%,41.7%,25.0%,0.0%,16.7%,58.3%,25.0%,41.7%,33.3%,17.6%
Jose Azocar RHB,—,N/A,-,5,1.60,0,0,0.500,0.600,0.500,-,0.486,20.0%,33.3%,20.0%,17.6%,71.6,330.9,1,0,-,-,-,-,-,66.9,-,14.3%,-,77.8%,33.3%,33.3%,0.0%,-,33.3%,33.3%,33.3%,33.3%,66.7%
Kyle Farmer RHB,—,N/A,-,2,1.80,0,0,-,-,-,-,-,-,66.7%,50.0%,40.0%,67.0,-,0,0,-,-,-,-,-,66.2,-,-,-,66.7%,-,-,-,-,100.0%,-,-,100.0%,33.3%
