Matchup,LAD @ ARI
Pitcher,Eric Lauer
Pitcher Team,LAD
Opposing Team,ARI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,42.1,183,0.255,0.355,0.515,0.261,1.39,12,2.55,9.3%,19.3%,16.4%,13.9%,9.7%,6.38,64.9%,6.0%,13.2%,39.7%,41.2%,19.6%,23.5%
vsLHB,6.1,32,0.333,0.425,0.556,0.222,2.21,2,2.84,15.6%,19.3%,18.8%,15.4%,9.0%,8.53,68.8%,8.2%,9.5%,47.6%,23.8%,40.0%,19.0%
vsRHB,36.0,151,0.239,0.340,0.507,0.268,1.25,10,2.50,7.9%,19.3%,15.9%,13.6%,9.9%,6.00,64.1%,5.6%,13.9%,38.3%,44.3%,17.6%,24.3%

,,STATS,STRIKES,STATCAST
BATTER,ODDS,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Nolan Arenado RHB,+550,13,3.40,1,2,0.364,0.462,0.909,0.545,0.554,15.4%,18.2%,23.1%,7.0%,96.2,12.5%,12.5%,37.5%,62.5%,50.0%,73.6,35.0%,25.0%,20.0%,95.2%,12.5%,100.0%,50.0%,25.0%,62.5%,37.5%,-,0.0%
Gabriel Moreno RHB,+775,13,3.60,1,2,0.167,0.154,0.417,0.250,0.230,-,24.1%,30.8%,13.0%,89.1,22.2%,-,-,55.6%,33.3%,71.6,32.0%,20.0%,16.0%,86.2%,33.3%,33.3%,11.1%,55.6%,33.3%,55.6%,11.1%,0.0%
Ildemaro Vargas SHB,+790,12,3.80,1,1,0.333,0.333,0.583,0.250,0.397,-,16.7%,16.7%,9.7%,90.2,10.0%,10.0%,40.0%,30.0%,40.0%,72.7,27.8%,27.8%,16.7%,100.0%,30.0%,33.3%,40.0%,20.0%,60.0%,40.0%,-,16.7%
Jose Fernandez RHB,+980,15,3.40,0,0,0.067,0.067,0.067,-,0.059,-,34.4%,26.7%,22.0%,75.4,-,-,9.1%,36.4%,27.3%,73.6,48.1%,14.8%,3.7%,84.4%,9.1%,0.0%,18.2%,54.5%,27.3%,54.5%,18.2%,40.0%
Corbin Carroll LHB,+494,15,4.40,0,1,0.429,0.467,0.500,0.071,0.425,6.7%,25.0%,13.3%,15.6%,90.1,8.3%,8.3%,41.7%,58.3%,33.3%,75.6,63.2%,42.1%,21.1%,95.0%,41.7%,0.0%,33.3%,16.7%,50.0%,33.3%,16.7%,66.7%
Ketel Marte SHB,+350,14,4.80,0,2,0.417,0.429,0.750,0.333,0.471,7.1%,5.0%,-,2.3%,93.7,15.4%,7.7%,30.8%,61.5%,38.5%,77.9,83.3%,38.9%,33.3%,94.7%,7.7%,0.0%,46.2%,38.5%,61.5%,7.7%,30.8%,14.3%
Ryan Waldschmidt RHB,+1200,13,4.00,0,1,0.500,0.538,0.583,0.083,0.490,7.7%,15.0%,7.7%,7.0%,81.5,-,-,18.2%,27.3%,54.5%,72.2,11.8%,11.8%,-,94.4%,36.4%,0.0%,36.4%,27.3%,27.3%,45.5%,27.3%,0.0%
Jorge Barrosa SHB,+586,10,1.40,0,0,0.111,0.200,0.222,0.111,0.192,10.0%,23.8%,20.0%,10.4%,78.5,-,-,28.6%,-,28.6%,69.9,-,15.8%,-,95.0%,14.3%,0.0%,28.6%,42.9%,71.4%,14.3%,14.3%,38.5%
Geraldo Perdomo SHB,+950,8,4.20,0,0,-,0.375,-,-,0.243,37.5%,0.0%,-,-,68.6,20.0%,-,20.0%,20.0%,20.0%,69.5,-,20.0%,10.0%,90.9%,40.0%,0.0%,-,20.0%,60.0%,20.0%,20.0%,40.0%
Adrian Del Castillo LHB,+880,7,2.80,0,0,-,-,-,-,-,-,33.3%,57.1%,15.2%,92.4,-,-,66.7%,33.3%,33.3%,71.6,25.0%,16.7%,8.3%,85.7%,66.7%,0.0%,-,-,66.7%,33.3%,-,22.2%
Aramis Garcia RHB,N/A,1,2.60,0,0,1.000,1.000,1.000,-,0.890,-,33.3%,-,25.0%,84.6,-,-,-,-,-,75.0,66.7%,-,-,100.0%,-,-,-,100.0%,-,100.0%,-,0.0%
