Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Hunter Goodman,RHB,COL,Paul Skenes,R,37.5,34.5,33.6,35.6,34.8
Shea Langeliers,RHB,ATH,Walbert Urena,R,63.2,21.9,30.8,45.1,34.5
Endy Rodriguez,SHB,PIT,Tomoyuki Sugano,R,56.8,40.2,12.9,41.6,34
Trea Turner,RHB,PHI,Freddy Peralta,R,33.3,29,37.3,34.5,33.3
Kody Clemens,LHB,MIN,Zac Gallen,R,27.3,35,19.7,48.9,33.1
Nolan Arenado,RHB,ARI,Taj Bradley,R,27.6,28.3,30.9,39.6,31.8
Yordan Alvarez,LHB,HOU,Joey Cantillo,L,53.3,25.9,42.4,14.2,30.7
Christian Walker,RHB,HOU,Joey Cantillo,L,32.7,27.9,18,46,29.9
Willi Castro,SHB,COL,Paul Skenes,R,14.9,33,34.5,24.7,29.6
TJ Rumfield,LHB,COL,Paul Skenes,R,14.4,35.5,11,44.1,28.2
Adrian Del Castillo,LHB,ARI,Taj Bradley,R,22.4,25.1,26.3,37.1,28.2
Jeff McNeil,LHB,ATH,Walbert Urena,R,31,20.3,14.5,54.4,28.2
Kyle Schwarber,LHB,PHI,Freddy Peralta,R,24.4,32,24.4,26.9,27.7
Bryce Harper,LHB,PHI,Freddy Peralta,R,22,24.4,22.8,39.2,27.4
Nick Kurtz,LHB,ATH,Walbert Urena,R,43,24.4,22,31.1,27.2
Willson Contreras,RHB,BOS,Emerson Hancock,R,43.4,27.5,17.1,31.1,26.9
Jeremy Pena,RHB,HOU,Joey Cantillo,L,20.4,29.7,20.9,29.7,26.1
Ryan O'Hearn,LHB,PIT,Tomoyuki Sugano,R,46.5,22.7,10.9,37.7,25.3
Byron Buxton,RHB,MIN,Zac Gallen,R,35.6,20,22.8,31.1,25.2
Jarren Duran,LHB,BOS,Emerson Hancock,R,39,16.9,19.9,37.3,25.1
Ketel Marte,SHB,ARI,Taj Bradley,R,22.7,23,34.7,17,25
Marcell Ozuna,RHB,PIT,Tomoyuki Sugano,R,39.6,22.4,11.6,38.4,24.9
Travis Bazzana,LHB,CLE,Spencer Arrighetti,R,52,17.4,17.4,33.3,24.8
Max Muncy,LHB,LAD,Trevor Rogers,L,46.9,26.7,10.4,29.8,24.6
Tommy Troy,RHB,ARI,Taj Bradley,R,51.8,23.3,8.6,34.1,24.4
Andruw Monasterio,RHB,BOS,Emerson Hancock,R,43.5,23,,46.6,24
Rhys Hoskins,RHB,CLE,Spencer Arrighetti,R,49.8,18.5,17.3,28.7,23.8
Josh Bell,SHB,MIN,Zac Gallen,R,34.4,24,15.2,29.7,23.8
Alec Bohm,RHB,PHI,Freddy Peralta,R,27.8,13.7,18.7,42.2,23.7
Mark Vientos,RHB,NYM,Cristopher Sanchez,L,27.2,24.9,18.6,26.2,23.6
Ezequiel Tovar,RHB,COL,Paul Skenes,R,19.8,21.1,23.8,27.9,23.5
Ceddanne Rafaela,RHB,BOS,Emerson Hancock,R,37.2,16,10.6,43.5,23.4
Spencer Horwitz,LHB,PIT,Tomoyuki Sugano,R,30.4,21.7,17.3,30.3,23.4
Jackson Holliday,LHB,BAL,Yoshinobu Yamamoto,R,28.3,18.3,18.3,34,23.2
Colton Cowser,LHB,BAL,Yoshinobu Yamamoto,R,31.8,27.8,9.5,27.8,22.7
Brandon Lowe,LHB,PIT,Tomoyuki Sugano,R,40.8,15.9,19.2,28.5,22.5
Brandon Marsh,LHB,PHI,Freddy Peralta,R,22.1,11.5,20.3,39.9,22.3
Zack Short,RHB,NYM,Cristopher Sanchez,L,51.2,24.2,,34.9,22.3
Henry Davis,RHB,PIT,Tomoyuki Sugano,R,48.6,13.9,24.3,21.2,22.3
Petey Halpin,LHB,CLE,Spencer Arrighetti,R,45.1,28.8,,29.6,22
Adley Rutschman,SHB,BAL,Yoshinobu Yamamoto,R,12.7,30.3,16,19.7,21.6
Coby Mayo,RHB,BAL,Yoshinobu Yamamoto,R,31.7,13.4,16,35.6,21.6
Julio Rodriguez,RHB,SEA,Connelly Early,L,26.1,12.7,3,54.3,21.5
Kyle Tucker,LHB,LAD,Trevor Rogers,L,5.3,15.2,12.3,45.6,20.9
Kyle Karros,RHB,COL,Paul Skenes,R,45.9,12.9,6.5,39.1,20.8
Bryan Reynolds,SHB,PIT,Tomoyuki Sugano,R,40.8,14.5,11.6,32.1,20.7
Corbin Carroll,LHB,ARI,Taj Bradley,R,15.9,8.4,20.8,39.7,20.7
J.T. Realmuto,RHB,PHI,Freddy Peralta,R,44.5,19.6,21.5,10.8,20.5
Zach Neto,RHB,LAA,J.T. Ginn,R,32.5,21.3,17.7,17.8,20.5
Edouard Julien,LHB,COL,Paul Skenes,R,35.8,14.2,6,39.2,20.2
Mookie Betts,RHB,LAD,Trevor Rogers,L,28.7,9.7,9.7,43.7,20.1
Kyle Manzardo,LHB,CLE,Spencer Arrighetti,R,26.6,12.8,21.1,26.4,20.1
Connor Wong,RHB,BOS,Emerson Hancock,R,44.4,12,,44.7,19.8
Freddie Freeman,LHB,LAD,Trevor Rogers,L,31.3,12.3,12.3,34.6,19.8
Logan O'Hoppe,RHB,LAA,J.T. Ginn,R,29.6,15,20,21.9,19.7
Geraldo Perdomo,SHB,ARI,Taj Bradley,R,19.4,9,8,48.6,19.6
Jacob Wilson,RHB,ATH,Walbert Urena,R,40.7,13.6,15,24.7,19.5
