Matchup,KC @ NYM
Pitcher,Michael Wacha
Pitcher Team,KC
Opposing Team,NYM

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,62.1,263,0.276,0.331,0.459,0.183,1.32,8,1.16,5.3%,21.7%,18.3%,17.4%,10.7%,6.93,66.5%,8.1%,5.6%,36.4%,22.7%,15.6%,16.2%
vsLHB,33.0,144,0.287,0.323,0.441,0.154,1.36,4,1.09,4.2%,23.3%,21.5%,20.4%,12.2%,8.45,67.4%,8.5%,5.7%,34.3%,23.8%,16.0%,18.1%
vsRHB,29.1,119,0.264,0.340,0.482,0.218,1.26,4,1.23,6.7%,19.4%,14.3%,13.7%,8.8%,5.22,65.5%,7.7%,5.4%,38.7%,21.5%,15.0%,14.0%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Juan Soto LHB,,+256,36,19,4.80,2,2,0.333,0.474,0.800,0.467,0.518,21.1%,24.1%,15.8%,9.5%,92.2,292.5,4,3,25.0%,8.3%,33.3%,50.0%,41.7%,71.3,16.0%,28.0%,20.0%,89.3%,66.7%,50.0%,33.3%,16.7%,25.0%,50.0%,41.7%,8.3%,14.3%
Francisco Alvarez RHB,,+390,21,24,4.00,1,1,0.217,0.250,0.435,0.217,0.295,4.2%,33.3%,33.3%,16.7%,90.0,274.0,4,3,20.0%,-,6.7%,40.0%,40.0%,73.1,36.6%,24.4%,12.2%,91.1%,53.3%,33.3%,20.0%,20.0%,33.3%,26.7%,46.7%,26.7%,34.8%
Francisco Lindor SHB,,+420,23,21,4.80,1,1,0.158,0.238,0.421,0.263,0.285,4.8%,27.3%,14.3%,11.7%,95.4,320.2,5,4,6.2%,6.2%,18.8%,81.2%,37.5%,71.7,8.3%,38.9%,11.1%,81.8%,56.2%,31.2%,20.0%,25.0%,43.8%,37.5%,43.8%,18.8%,22.2%
Tyrone Taylor RHB,—,N/A,27,17,3.00,1,1,0.200,0.294,0.467,0.267,0.327,11.8%,29.6%,11.8%,15.1%,83.3,291.3,4,2,7.7%,7.7%,23.1%,30.8%,30.8%,70.9,8.7%,26.1%,13.0%,85.2%,61.6%,46.2%,16.7%,15.4%,38.5%,53.8%,30.8%,15.4%,6.7%
A.J. Ewing LHB,,+750,16,15,4.20,1,2,0.214,0.267,0.429,0.214,0.307,-,28.6%,26.7%,11.4%,91.7,337.2,6,3,10.0%,-,20.0%,40.0%,30.0%,70.2,16.0%,28.0%,8.0%,92.6%,70.0%,50.0%,20.0%,20.0%,30.0%,30.0%,40.0%,30.0%,33.3%
Bo Bichette RHB,,+523,12,29,4.80,0,1,0.308,0.379,0.346,0.038,0.326,10.3%,19.6%,13.8%,9.4%,86.8,261.9,3,2,4.5%,-,4.5%,36.4%,31.8%,69.3,8.5%,25.5%,14.9%,92.2%,45.5%,18.2%,0.0%,27.3%,50.0%,13.6%,45.5%,40.9%,25.8%
Brett Baty LHB,,+600,24,21,4.40,0,0,0.389,0.381,0.556,0.167,0.382,4.8%,31.8%,19.0%,19.7%,94.6,274.7,4,3,12.5%,6.2%,31.2%,50.0%,56.2%,76.3,65.9%,29.3%,17.1%,93.2%,75.0%,31.2%,0.0%,43.8%,18.8%,37.5%,56.2%,6.2%,40.0%
Jorge Polanco SHB,,+517,7,18,4.00,0,0,0.167,0.167,0.167,-,0.148,-,23.1%,33.3%,11.1%,86.7,240.6,2,1,-,-,27.3%,27.3%,27.3%,69.8,5.7%,22.9%,5.7%,89.7%,45.5%,18.2%,0.0%,27.3%,27.3%,36.4%,36.4%,27.3%,26.1%
Jared Young LHB,,+610,33,18,3.40,0,0,0.235,0.278,0.235,-,0.238,-,21.1%,5.6%,12.3%,88.7,243.0,4,0,-,-,12.5%,37.5%,25.0%,72.0,27.0%,18.9%,8.1%,97.4%,56.2%,25.0%,0.0%,31.2%,25.0%,18.8%,50.0%,31.2%,30.0%
Luis Torrens RHB,—,N/A,14,17,3.60,0,0,0.200,0.294,0.200,-,0.233,11.8%,16.2%,23.5%,8.1%,83.9,244.6,1,1,-,-,9.1%,18.2%,18.2%,69.9,5.9%,17.6%,5.9%,94.4%,27.3%,9.1%,0.0%,18.2%,63.6%,18.2%,54.5%,27.3%,25.0%
