Matchup,TB @ LAD
Pitcher,Justin Wrobleski
Pitcher Team,LAD
Opposing Team,TB

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,73.1,295,0.221,0.262,0.330,0.109,1.05,6,0.74,5.4%,17.3%,15.3%,14.2%,8.5%,5.52,63.2%,7.7%,7.8%,42.7%,31.9%,8.1%,9.9%
vsLHB,18.2,80,0.247,0.324,0.452,0.205,1.23,4,1.93,6.2%,23.7%,17.5%,19.4%,11.3%,6.75,58.8%,8.7%,8.3%,38.3%,30.0%,22.2%,8.3%
vsRHB,54.2,215,0.212,0.240,0.286,0.074,0.99,2,0.33,5.1%,15.2%,14.4%,12.7%,7.5%,5.10,64.8%,7.4%,7.6%,44.2%,32.6%,3.6%,10.5%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Yandy Diaz RHB,,+396,24,18,4.80,2,3,0.267,0.333,0.667,0.400,0.404,11.1%,15.6%,5.6%,7.4%,89.2,274.9,5,3,13.3%,6.7%,13.3%,33.3%,13.3%,75.1,56.7%,26.7%,16.7%,93.8%,66.7%,20.0%,-,20.0%,13.3%,33.3%,53.3%,13.3%
Ben Williamson RHB,,+1500,25,9,4.00,1,1,0.444,0.444,0.889,0.444,0.572,-,26.7%,33.3%,11.1%,100.5,359.3,4,3,16.7%,-,-,83.3%,50.0%,71.0,23.1%,46.2%,38.5%,92.9%,33.3%,50.0%,33.3%,33.3%,-,66.7%,33.3%,0.0%
Jonathan Aranda LHB,,+475,20,20,4.40,0,1,0.353,0.450,0.353,-,0.368,10.0%,20.6%,10.0%,8.1%,95.2,269.0,3,1,7.1%,-,7.1%,64.3%,21.4%,71.1,25.0%,37.5%,16.7%,75.0%,14.3%,0.0%,21.4%,57.1%,28.6%,35.7%,35.7%,57.1%
Cedric Mullins LHB,—,N/A,11,19,3.60,0,0,0.286,0.474,0.286,-,0.362,21.1%,21.2%,15.8%,10.0%,77.3,237.6,3,1,-,-,-,20.0%,20.0%,69.8,3.8%,23.1%,3.8%,86.7%,30.0%,0.0%,10.0%,20.0%,20.0%,20.0%,60.0%,31.2%
Taylor Walls SHB,,+1160,4,17,3.80,0,1,0.071,0.235,0.071,-,0.167,17.6%,11.1%,23.5%,3.5%,76.9,227.7,1,0,-,-,22.2%,11.1%,11.1%,68.7,-,40.0%,-,88.2%,44.4%,0.0%,-,11.1%,33.3%,33.3%,33.3%,23.5%
Chandler Simpson LHB,,+3500,11,17,3.60,0,0,0.125,0.176,0.188,0.062,0.165,5.9%,12.5%,11.8%,5.0%,78.2,215.4,0,0,-,-,-,7.7%,15.4%,65.2,-,50.0%,7.1%,93.3%,15.4%,0.0%,15.4%,53.8%,30.8%,30.8%,38.5%,41.2%
Austin Slater RHB,,+1000,11,14,4.00,0,0,0.333,0.429,0.417,0.083,0.374,14.3%,10.0%,21.4%,4.4%,87.2,233.8,1,0,-,-,-,22.2%,11.1%,70.3,-,35.3%,5.9%,89.5%,22.2%,0.0%,11.1%,55.6%,33.3%,11.1%,55.6%,16.7%
Nick Fortes RHB,,+880,10,13,4.00,0,1,0.250,0.308,0.417,0.167,0.314,7.7%,7.7%,15.4%,4.4%,87.5,281.3,3,3,-,-,-,33.3%,33.3%,73.4,36.0%,20.0%,12.0%,96.2%,22.2%,0.0%,33.3%,22.2%,22.2%,44.4%,33.3%,40.0%
Richie Palacios LHB,—,N/A,2,13,3.60,0,0,0.250,0.308,0.417,0.167,0.311,7.7%,14.3%,23.1%,8.9%,83.8,179.2,0,0,-,-,22.2%,-,22.2%,68.6,4.3%,21.7%,-,82.1%,11.1%,0.0%,22.2%,44.4%,44.4%,33.3%,22.2%,57.1%
Junior Caminero RHB,,+280,19,13,4.40,0,0,0.300,0.462,0.500,0.200,0.414,23.1%,29.4%,15.4%,11.4%,96.6,265.7,2,1,25.0%,-,37.5%,50.0%,37.5%,81.7,100.0%,23.5%,23.5%,100.0%,25.0%,0.0%,37.5%,25.0%,50.0%,12.5%,37.5%,0.0%
Ryan Vilade RHB,,+840,32,12,3.80,0,0,0.111,0.167,0.111,-,0.128,8.3%,31.4%,25.0%,16.2%,81.7,287.1,1,1,-,-,-,12.5%,37.5%,75.3,55.9%,8.8%,2.9%,97.1%,50.0%,0.0%,12.5%,37.5%,12.5%,37.5%,50.0%,7.1%
Hunter Feduccia LHB,—,N/A,9,8,3.00,0,0,0.375,0.375,0.375,-,0.334,-,7.1%,12.5%,2.9%,88.9,235.8,1,1,14.3%,-,28.6%,28.6%,42.9%,71.7,15.4%,30.8%,7.7%,92.9%,28.6%,0.0%,28.6%,28.6%,28.6%,42.9%,28.6%,20.0%
Victor Mesa Jr. LHB,—,N/A,-,6,3.20,0,0,-,0.167,-,-,0.108,16.7%,11.1%,33.3%,4.0%,74.4,90.7,0,0,-,-,-,-,-,72.6,33.3%,-,-,100.0%,-,-,-,33.3%,33.3%,33.3%,33.3%,28.6%
