Date,Venue,Game,Time,HR %,2B/3B %,1B %,Runs %,HR #,2B/3B #,1B #,Runs #,HR % Stadium,2B/3B % Stadium,1B % Stadium,Runs % Stadium,HR # Stadium,2B/3B # Stadium,1B # Stadium,Runs # Stadium,HR % Weather,2B/3B % Weather,1B % Weather,Runs % Weather,HR # Weather,2B/3B # Weather,1B # Weather,Runs # Weather
2026-06-17,Sutter Health Park,PIT @ ATH,9:40,+38%,+20%,+6%,+29%,+0.85,+0.70,+0.64,+2.52,+32%,+14%,+1%,+21%,+0.72,+0.51,+0.15,+1.80,+6%,+6%,+5%,+8%,+0.13,+0.20,+0.49,+0.72
2026-06-17,Citizens Bank Park,MIA @ PHI,1:05,+32%,-9%,-5%,+7%,+0.72,-0.31,-0.51,+0.63,+16%,-3%,-2%,+6%,+0.36,-0.09,-0.17,+0.50,+16%,-6%,-3%,+1%,+0.36,-0.22,-0.34,+0.13
2026-06-17,Wrigley Field,COL @ CHC,8:05,+23%,-12%,-10%,-2%,+0.52,-0.40,-1.07,-0.13,-1%,-11%,-3%,-6%,-0.02,-0.38,-0.34,-0.57,+24%,-1%,-7%,+5%,+0.54,-0.02,-0.72,+0.43
2026-06-17,Dodger Stadium,TB  @ LAD,3:10,+21%,-5%,-6%,+0%,+0.47,-0.17,-0.69,+0.01,+16%,-3%,-5%,0%,+0.35,-0.11,-0.56,-0.03,+5%,-2%,-1%,+0%,+0.12,-0.06,-0.13,+0.04
2026-06-17,Great American BP,NYM @ CIN,12:40,+10%,-9%,+0%,+4%,+0.23,-0.32,+0.04,+0.34,+12%,+2%,-1%,+9%,+0.28,+0.08,-0.08,+0.78,-2%,-12%,+1%,-5%,-0.04,-0.40,+0.12,-0.44
2026-06-17,Yankee Stadium,CHW @ NYY,7:05,+9%,-18%,-10%,-8%,+0.21,-0.64,-1.04,-0.71,+5%,-12%,-5%,-4%,+0.10,-0.41,-0.50,-0.33,+5%,-7%,-5%,-4%,+0.10,-0.23,-0.54,-0.38
2026-06-17,Nationals Park,KC  @ WAS,1:05,+7%,+8%,+4%,+7%,+0.15,+0.27,+0.39,+0.59,+3%,+4%,+3%,+4%,+0.08,+0.15,+0.36,+0.33,+3%,+3%,+0%,+3%,+0.07,+0.11,+0.03,+0.26
2026-06-17,American Family Fld,CLE @ MIL,7:40,+6%,-14%,-8%,-5%,+0.15,-0.48,-0.85,-0.45,+11%,-11%,-9%,-3%,+0.24,-0.38,-0.96,-0.27,-4%,-3%,+1%,-2%,-0.10,-0.09,+0.10,-0.18
2026-06-17,Busch Stadium,SD  @ STL,2:15,+3%,+2%,+2%,+0%,+0.07,+0.08,+0.23,+0.03,-9%,-5%,+4%,-6%,-0.19,-0.19,+0.41,-0.54,+12%,+8%,-2%,+6%,+0.27,+0.27,-0.17,+0.57
2026-06-17,Truist Park,SF  @ ATL,7:15,+3%,-3%,+1%,0%,+0.07,-0.11,+0.06,-0.01,-4%,-6%,+1%,-4%,-0.09,-0.20,+0.14,-0.32,+7%,+3%,-1%,+4%,+0.16,+0.09,-0.09,+0.31
2026-06-17,Daikin Park,DET @ HOU,2:10,+3%,-11%,-4%,-6%,+0.07,-0.38,-0.46,-0.48,+4%,-11%,-5%,-6%,+0.09,-0.39,-0.49,-0.49,-1%,+0%,+0%,+0%,-0.01,+0.01,+0.04,+0.01
2026-06-17,Fenway Park,TOR @ BOS,6:45,-2%,+24%,+8%,+14%,-0.06,+0.85,+0.90,+1.21,-7%,+21%,+7%,+9%,-0.16,+0.74,+0.76,+0.82,+5%,+3%,+1%,+4%,+0.11,+0.11,+0.14,+0.39
2026-06-17,T-Mobile Park,BAL @ SEA,9:40,-5%,-21%,-10%,-16%,-0.12,-0.73,-1.05,-1.37,+0%,-15%,-7%,-9%,+0.00,-0.53,-0.70,-0.76,-5%,-6%,-3%,-7%,-0.12,-0.20,-0.35,-0.61
2026-06-17,Chase Field,LAA @ ARI,3:40,-7%,+12%,+0%,+1%,-0.17,+0.40,+0.02,+0.07,-7%,+14%,+0%,+2%,-0.16,+0.48,+0.01,+0.16,0%,-2%,+0%,-1%,-0.01,-0.07,+0.01,-0.09
