Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Bryce Eldridge,LHB,SF,Gabriel Hughes,R,37.7,46.9,29.5,59.3,43.9
Max Muncy,LHB,LAD,Logan Henderson,R,40.1,44,36,53.1,43.5
Derek Hill,RHB,PHI,Dean Kremer,R,28.7,32.7,39.8,61.5,41.6
Luis Campusano,RHB,SD,Tanner Bibee,R,54.6,39,21.7,61.2,40.9
Christian Walker,RHB,HOU,Bryan Woo,R,43.4,36.6,33.6,50.9,40
Mickey Moniak,LHB,COL,Blade Tidwell,R,42.2,43.8,32.6,40,39.3
Justin Foscue,RHB,TEX,Jacob Lopez,L,36.1,37.4,25.9,57.2,38.8
Cole Carrigg,SHB,COL,Blade Tidwell,R,65.6,15.5,38.2,54.6,37.1
Josh Bell,SHB,MIN,Andrew Painter,R,31,38.3,25.7,47.1,36
Andy Pages,RHB,LAD,Logan Henderson,R,38.7,34,25.8,46.4,35.1
Drake Baldwin,LHB,ATL,Michael Soroka,R,36.9,34,40.1,29.2,34.9
Kyle Schwarber,LHB,PHI,Dean Kremer,R,26.3,40,26.3,40.5,34.6
Bryce Harper,LHB,PHI,Dean Kremer,R,26.3,34.4,34.4,34.9,33.7
Colson Montgomery,LHB,CWS,Drew Anderson,R,26,24.8,34.7,47.4,33.5
Jake Bauers,LHB,MIL,Tarik Skubal,L,48,33.4,25.2,36.2,33.1
Nathaniel Lowe,LHB,CLE,Casey Mize,R,37.8,26.9,30.8,41.6,32.8
Ben Rice,LHB,NYY,Dylan Cease,R,32.7,23.8,30.7,47.8,32.8
A.J. Ewing,LHB,NYM,Jake Irvin,R,37.8,26.1,24.4,49.8,32.7
Francisco Lindor,SHB,NYM,Jake Irvin,R,27.7,41.1,21.4,35.7,32.5
Jose Altuve,RHB,HOU,Bryan Woo,R,37.2,21.9,36.3,39.6,32.2
Yandy Diaz,RHB,TB,Trevor Rogers,L,12.9,40.9,13.3,48.9,31.8
Cam Smith,RHB,HOU,Bryan Woo,R,58.8,18.1,29.1,43.4,31.8
Junior Caminero,RHB,TB,Trevor Rogers,L,15.7,32.9,26.4,43,31.8
Munetaka Murakami,LHB,CWS,Drew Anderson,R,27.8,39.9,19.5,36.4,31.7
Tyrone Taylor,RHB,CHC,Hunter Dobbins,R,34.7,33.3,19.8,42.7,31.7
Gleyber Torres,RHB,DET,Sean Burke,R,36.1,25,22.6,49.5,31.5
Jose Siri,RHB,LAA,Noah Cameron,L,15.6,40.5,18,40.5,31.3
Esteury Ruiz,RHB,MIA,Nick Lodolo,L,18.1,31.9,26.1,41.6,31.2
Eduardo Valencia,RHB,DET,Sean Burke,R,46.5,20.5,30.4,40.9,31.2
Jose Ramirez,SHB,CLE,Casey Mize,R,35,31.7,18.9,41.9,30.7
Isaac Paredes,RHB,HOU,Bryan Woo,R,44,25.7,30.9,30.6,30.3
Jake Burger,RHB,TEX,Jacob Lopez,L,43.7,15.5,25.1,51.6,30.2
Hunter Feduccia,LHB,LAD,Logan Henderson,R,42.2,32.3,11.1,45.3,30.2
Brandon Valenzuela,SHB,TOR,Ryan Weathers,L,21.9,33.7,27.3,31,29.9
Pedro Pages,RHB,STL,Edward Cabrera,R,33.9,32,33,21.4,29.8
Esmerlyn Valdez,RHB,PIT,Patrick Sandoval,L,17.6,26.5,29.9,38.7,29.7
Ty France,RHB,SD,Tanner Bibee,R,22.3,35.7,16,40.5,29.6
Luis Garcia Jr.,LHB,NYY,Dylan Cease,R,31.9,26,27.1,36.1,29.4
Tim Tawa,RHB,ARI,Bryce Elder,R,42,24.1,21.3,41,29.3
Willi Castro,SHB,COL,Blade Tidwell,R,40.7,42.2,13,25.7,29.2
Daylen Lile,LHB,WSH,Christian Scott,R,23.7,24,21.9,47.6,29.2
Teoscar Hernandez,RHB,LAD,Logan Henderson,R,53.1,27.9,23.3,28,29.1
Lawrence Butler,LHB,ATH,Cody Bradford,L,50.2,25.5,12.8,44.7,29
Yainer Diaz,RHB,HOU,Bryan Woo,R,42.1,19.8,26.8,38.7,28.9
Willy Adames,RHB,SF,Gabriel Hughes,R,34,21.6,26.1,40.5,28.9
Spencer Jones,LHB,NYY,Dylan Cease,R,16.6,16.1,8.6,75.9,28.8
