Matchup,TEX @ KC
Pitcher,Michael Wacha
Pitcher Team,KC
Opposing Team,TEX

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,81.0,327,0.221,0.292,0.386,0.164,1.14,9,1.00,8.0%,23.6%,20.5%,20.7%,11.3%,7.44,64.5%,7.1%,6.9%,37.7%,27.7%,12.5%,16.0%
vsLHB,47.0,191,0.198,0.263,0.320,0.122,1.09,5,0.96,8.9%,24.7%,22.5%,21.2%,11.7%,8.23,66.5%,6.8%,8.5%,35.7%,31.8%,9.8%,20.2%
vsRHB,33.1,136,0.254,0.333,0.476,0.222,1.23,4,1.08,6.6%,22.0%,17.6%,19.8%,10.8%,6.48,61.8%,7.7%,4.9%,40.2%,22.5%,17.4%,10.8%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Josh Jung RHB,,+600,13,31,4.60,1,1,0.370,0.419,0.519,0.148,0.403,6.5%,28.3%,22.6%,14.9%,88.1,260.2,4,2,-,-,9.5%,33.3%,28.6%,69.6,4.3%,29.8%,8.5%,92.2%,14.3%,33.3%,33.3%,52.4%,42.9%,33.3%,23.8%,50.0%
Kyle Higashioka RHB,,+520,16,28,3.60,1,1,0.273,0.429,0.455,0.182,0.389,17.9%,27.5%,25.0%,8.9%,90.6,260.8,4,2,13.3%,-,13.3%,40.0%,46.7%,70.7,6.1%,33.3%,6.1%,82.5%,33.3%,20.0%,33.3%,20.0%,26.7%,60.0%,13.3%,0.0%
Brandon Nimmo LHB,,+500,18,25,4.00,1,3,0.292,0.320,0.417,0.125,0.326,-,25.0%,24.0%,11.6%,97.2,307.4,7,6,11.1%,5.6%,11.1%,55.6%,33.3%,71.6,11.4%,40.0%,22.9%,87.5%,44.4%,12.5%,27.8%,27.8%,27.8%,61.1%,11.1%,12.5%
Joc Pederson LHB,,+375,27,24,3.20,1,2,0.190,0.292,0.429,0.238,0.312,12.5%,28.9%,12.5%,13.4%,92.8,282.0,5,2,5.6%,5.6%,11.1%,44.4%,22.2%,72.8,29.7%,37.8%,21.6%,97.4%,11.1%,0.0%,22.2%,61.1%,50.0%,27.8%,22.2%,19.0%
Nicky Lopez LHB,,+1360,8,20,3.20,1,2,0.263,0.300,0.421,0.158,0.315,5.0%,28.9%,15.0%,15.1%,81.9,265.5,5,3,-,-,31.2%,18.8%,43.8%,65.9,-,29.4%,2.9%,89.5%,18.8%,0.0%,37.5%,37.5%,37.5%,50.0%,12.5%,45.5%
Ezequiel Duran RHB,,+730,21,31,4.00,0,2,0.310,0.355,0.414,0.103,0.338,3.2%,29.2%,22.6%,13.5%,83.9,263.2,2,2,4.5%,-,4.5%,27.3%,31.8%,72.0,27.3%,27.3%,11.4%,91.7%,22.7%,0.0%,18.2%,50.0%,36.4%,22.7%,40.9%,41.4%
Jake Burger RHB,,+412,22,30,3.60,0,0,0.200,0.333,0.240,0.040,0.269,16.7%,28.0%,16.7%,13.2%,89.9,256.8,2,0,5.3%,5.3%,10.5%,42.1%,36.8%,75.7,68.2%,27.3%,13.6%,88.0%,15.8%,0.0%,31.6%,52.6%,36.8%,42.1%,21.1%,42.9%
Wyatt Langford RHB,,+425,20,25,4.00,0,0,0.304,0.360,0.304,-,0.301,8.0%,26.8%,20.0%,13.4%,91.5,242.4,1,1,-,-,22.2%,33.3%,27.8%,72.3,17.6%,29.4%,5.9%,98.1%,38.9%,0.0%,22.2%,27.8%,27.8%,38.9%,33.3%,40.7%
Corey Seager LHB,,+333,34,23,4.40,0,1,0.091,0.130,0.091,-,0.106,4.3%,27.5%,34.8%,14.1%,88.4,278.4,4,3,14.3%,-,7.1%,21.4%,35.7%,72.3,11.1%,22.2%,8.3%,90.0%,42.9%,0.0%,21.4%,35.7%,35.7%,35.7%,28.6%,68.2%
Justin Foscue RHB,—,N/A,22,19,2.20,0,2,0.176,0.263,0.176,-,0.213,5.3%,20.0%,21.1%,9.8%,84.2,252.9,2,2,-,-,15.4%,30.8%,23.1%,70.6,7.7%,26.9%,3.8%,92.9%,38.5%,0.0%,15.4%,38.5%,38.5%,38.5%,23.1%,22.2%
