Matchup,MIN @ ARI
Pitcher,Connor Prielipp
Pitcher Team,MIN
Opposing Team,ARI

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,49.2,216,0.249,0.319,0.397,0.148,1.35,5,0.91,9.3%,22.2%,23.6%,16.7%,10.3%,9.24,63.3%,7.2%,9.2%,38.7%,26.1%,13.5%,13.4%
vsLHB,13.2,57,0.255,0.305,0.392,0.137,1.24,1,0.66,7.0%,22.7%,22.8%,14.6%,10.2%,8.56,59.6%,5.7%,15.0%,40.0%,32.5%,7.7%,10.0%
vsRHB,36.0,159,0.246,0.323,0.399,0.152,1.39,4,1.00,10.1%,22.1%,23.9%,17.6%,10.3%,9.50,64.6%,7.8%,6.9%,38.2%,23.5%,16.7%,14.7%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Ketel Marte SHB,,+380,28,21,4.60,2,2,0.316,0.333,0.684,0.368,0.422,-,6.9%,9.5%,3.0%,98.1,296.6,6,3,11.1%,11.1%,16.7%,66.7%,33.3%,79.4,89.3%,42.9%,32.1%,96.6%,33.3%,16.7%,27.8%,33.3%,33.3%,61.1%,5.6%,23.8%
Gabriel Moreno RHB,,+825,32,18,4.60,1,1,0.125,0.222,0.312,0.188,0.238,11.1%,20.0%,16.7%,8.8%,94.8,283.5,2,1,7.7%,7.7%,15.4%,61.5%,30.8%,72.2,38.5%,38.5%,15.4%,89.7%,23.1%,33.3%,15.4%,53.8%,46.2%,7.7%,46.2%,23.1%
Nolan Arenado RHB,,+680,12,17,4.20,1,1,0.176,0.176,0.353,0.176,0.228,-,21.9%,11.8%,10.6%,87.6,300.8,6,3,7.1%,7.1%,28.6%,35.7%,42.9%,72.6,28.6%,28.6%,3.6%,93.3%,50.0%,14.3%,21.4%,28.6%,28.6%,50.0%,21.4%,31.2%
Tommy Troy RHB,—,N/A,1,8,3.40,1,1,0.625,0.625,1.250,0.625,0.799,-,18.8%,12.5%,7.1%,82.8,288.3,2,2,28.6%,14.3%,14.3%,42.9%,57.1%,71.7,15.4%,38.5%,23.1%,81.2%,42.9%,33.3%,28.6%,14.3%,28.6%,42.9%,28.6%,14.3%
Lourdes Gurriel Jr. RHB,,+780,9,18,3.60,0,1,0.250,0.333,0.312,0.062,0.291,11.1%,28.1%,16.7%,16.4%,84.3,257.4,2,1,7.7%,7.7%,15.4%,30.8%,38.5%,69.8,11.1%,29.6%,11.1%,87.1%,15.4%,0.0%,23.1%,53.8%,46.2%,23.1%,30.8%,42.9%
Corbin Carroll LHB,,+491,15,18,4.60,0,1,0.250,0.333,0.312,0.062,0.295,5.6%,38.2%,22.2%,19.4%,92.5,239.0,2,1,-,-,20.0%,50.0%,20.0%,76.2,60.0%,20.0%,16.7%,88.2%,40.0%,0.0%,-,50.0%,40.0%,50.0%,10.0%,47.6%
Geraldo Perdomo SHB,,+1120,11,16,4.20,0,0,0.333,0.375,0.333,-,0.319,6.2%,5.9%,6.2%,2.6%,80.9,232.8,0,0,-,-,7.1%,21.4%,21.4%,68.8,-,25.8%,3.2%,93.9%,7.1%,0.0%,28.6%,50.0%,28.6%,35.7%,35.7%,12.5%
Ildemaro Vargas SHB,,+970,20,15,4.00,0,0,0.143,0.200,0.214,0.071,0.187,6.7%,15.2%,6.7%,7.8%,88.5,266.7,1,0,-,-,7.7%,23.1%,15.4%,71.0,18.8%,21.9%,9.4%,97.0%,23.1%,0.0%,15.4%,61.5%,38.5%,38.5%,23.1%,25.0%
Jordan Lawlar RHB,,+950,1,14,4.00,0,0,0.182,0.357,0.182,-,0.271,14.3%,16.0%,21.4%,6.5%,83.5,255.2,2,0,-,-,12.5%,-,37.5%,69.3,-,21.7%,-,92.0%,62.5%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,21.4%
Adrian Del Castillo LHB,—,N/A,6,12,2.20,0,0,0.083,0.083,0.083,-,0.074,-,24.0%,33.3%,10.9%,82.6,235.9,2,0,-,-,25.0%,25.0%,25.0%,69.9,10.0%,25.0%,5.0%,80.0%,37.5%,0.0%,12.5%,25.0%,37.5%,37.5%,25.0%,26.7%
Jorge Barrosa SHB,—,N/A,21,10,1.80,0,1,-,0.100,-,-,0.065,10.0%,21.4%,30.0%,7.0%,90.2,324.9,4,0,-,-,16.7%,16.7%,50.0%,69.5,-,28.6%,-,100.0%,33.3%,0.0%,33.3%,33.3%,50.0%,33.3%,16.7%,0.0%
LuJames Groover RHB,,+1150,3,9,3.80,0,1,0.125,0.222,0.125,-,0.179,-,14.3%,11.1%,7.0%,96.6,305.5,3,1,14.3%,14.3%,14.3%,57.1%,14.3%,71.2,10.5%,36.8%,21.1%,90.5%,42.9%,0.0%,-,42.9%,28.6%,42.9%,28.6%,18.2%
Pavin Smith LHB,—,N/A,-,2,3.60,0,0,-,-,-,-,-,-,0.0%,-,-,81.2,-,0,0,-,-,-,-,-,66.9,-,33.3%,-,60.0%,-,-,-,100.0%,100.0%,-,-,0.0%
