HR Split,Overall
Dates,="8/15/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,7:15 PM,Justin Wrobleski,vs,1.52,0.73,1.17,1.97,9.8%,20.2%,41.1%,29.6%,8.7%,913
2,4:05 PM,Michael Lorenzen,@,1.17,1.17,0.46,1.64,11.1%,18.3%,45.7%,25.0%,8.6%,1251
3,7:15 PM,Jared Jones,vs,1.06,-0.33,2.14,1.72,8.4%,21.9%,40.0%,29.3%,7.2%,352
4,4:10 PM,Sean Manaea,vs,0.91,0.54,0.68,1.34,10.8%,16.6%,42.2%,32.7%,8.8%,842
5,2:20 PM,Michael McGreevy,@,0.83,0.74,0.48,1.33,11.9%,12.3%,48.0%,29.5%,7.4%,1025
6,7:10 PM,Connor Prielipp,vs,0.74,0.10,0.73,1.47,7.3%,23.2%,42.9%,27.1%,7.9%,464
7,9:38 PM,Reid Detmers,vs,0.69,0.26,0.44,1.35,9.0%,17.4%,40.9%,32.7%,7.8%,921
8,7:10 PM,Joey Cantillo,vs,0.63,-0.19,0.74,1.24,9.9%,19.3%,45.6%,25.3%,8.7%,1026
9,6:10 PM,Ian Seymour,vs,0.59,1.23,0.10,1.10,11.1%,16.6%,41.6%,28.6%,10.2%,718
10,9:40 PM,MacKenzie Gore,@,0.58,0.09,0.48,1.32,9.9%,20.3%,37.5%,26.5%,7.6%,1371
11,7:15 PM,Jacob Misiorowski,@,0.38,0.24,0.21,1.33,5.1%,26.4%,36.3%,28.5%,8.0%,927
12,7:15 PM,Grant Holmes,vs,0.33,0.69,-0.33,1.21,9.4%,15.8%,40.3%,26.8%,7.3%,1090
13,6:40 PM,Ryan Gusto,@,0.32,0.09,0.49,1.23,7.6%,18.2%,44.8%,23.3%,9.0%,753
14,1:10 PM,Anthony Kay,@,0.11,-1.31,0.80,1.08,10.1%,13.3%,41.9%,24.3%,6.8%,635
15,7:10 PM,Emerson Hancock,@,0.09,0.32,-0.17,1.20,6.7%,13.8%,38.6%,29.9%,8.4%,999
16,7:10 PM,Hayden Wesneski,vs,0.09,1.33,-1.18,1.12,9.2%,13.6%,39.7%,26.9%,6.5%,281
17,2:20 PM,Matthew Boyd,vs,-0.20,-0.67,0.03,1.07,8.5%,12.6%,31.6%,25.3%,8.5%,1225
18,6:40 PM,Brady Singer,vs,-0.27,0.21,-0.66,1.09,6.2%,14.4%,39.5%,25.0%,6.3%,1374
19,4:10 PM,Brad Lord,@,-0.33,1.17,-1.15,0.99,6.5%,18.6%,37.6%,19.8%,8.4%,854
20,9:40 PM,J.T. Ginn,vs,-0.48,0.31,-1.13,1.08,4.9%,17.6%,34.4%,23.0%,6.0%,1015
21,3:07 PM,Cam Schlittler,@,-0.52,-0.02,-0.66,0.76,8.4%,5.9%,41.6%,26.8%,8.3%,1047
22,7:15 PM,Sonny Gray,@,-0.54,-0.75,0.54,0.98,6.0%,12.0%,38.7%,22.4%,7.3%,1388
23,7:10 PM,Jesus Luzardo,@,-0.75,-1.74,0.03,0.79,6.7%,15.6%,32.7%,22.3%,6.3%,1511
24,6:10 PM,Kyle Bradish,@,-0.87,-0.95,-0.05,0.66,6.8%,10.9%,39.1%,24.7%,5.3%,766
25,1:10 PM,Troy Melton,vs,-1.04,-0.15,-1.48,0.72,5.2%,9.3%,34.0%,25.3%,6.5%,641
26,7:15 PM,Eduardo Rodriguez,@,-1.05,-0.99,-0.51,0.68,6.4%,8.4%,33.8%,24.8%,5.8%,1411
27,3:07 PM,Braydon Fisher,vs,-1.09,-0.13,-0.60,0.68,6.8%,10.7%,26.7%,24.2%,6.1%,504
28,9:38 PM,Randy Dobnak,@,-1.40,-1.09,-0.62,0.51,3.9%,7.9%,44.2%,21.2%,5.3%,284
29,4:05 PM,Logan Webb,vs,-1.50,-0.90,-0.99,0.46,5.7%,9.5%,35.1%,17.8%,6.0%,1518
