Matchup,MIA @ COL
Pitcher,Kyle Freeland
Pitcher Team,COL
Opposing Team,MIA

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,51.2,247,0.349,0.431,0.647,0.297,1.80,14,2.44,4.9%,21.4%,17.8%,18.2%,11.2%,7.66,66.9%,7.8%,13.7%,45.3%,34.2%,20.0%,20.0%
vsLHB,12.0,52,0.292,0.318,0.417,0.125,1.25,1,0.75,1.9%,26.9%,19.2%,16.7%,15.2%,7.50,69.2%,9.8%,7.5%,35.0%,27.5%,9.1%,15.0%
vsRHB,39.2,195,0.364,0.460,0.707,0.342,1.97,13,2.95,5.6%,19.8%,17.4%,18.7%,10.2%,7.71,66.3%,7.3%,15.3%,48.0%,36.0%,22.2%,21.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Esteury Ruiz RHB,,+560,22,13,2.00,1,2,0.250,0.308,0.500,0.250,0.354,-,40.0%,30.8%,25.8%,82.3,215.7,2,1,12.5%,12.5%,37.5%,25.0%,25.0%,72.7,29.4%,17.6%,5.9%,89.5%,50.0%,50.0%,25.0%,-,12.5%,50.0%,12.5%,37.5%,44.4%
Otto Lopez RHB,,+572,18,12,4.40,1,1,0.273,0.250,0.636,0.364,0.355,-,19.0%,25.0%,10.0%,88.7,271.7,3,1,11.1%,-,11.1%,22.2%,22.2%,70.4,14.3%,33.3%,9.5%,100.0%,44.4%,33.3%,33.3%,11.1%,44.4%,44.4%,11.1%,44.4%,7.7%
Joe Mack LHB,,+700,24,10,3.40,1,1,0.200,0.200,0.500,0.300,0.299,-,31.6%,30.0%,15.0%,81.2,214.6,1,1,14.3%,14.3%,28.6%,14.3%,28.6%,72.7,29.4%,23.5%,5.9%,89.5%,57.2%,42.9%,33.3%,14.3%,28.6%,42.9%,28.6%,28.6%,18.2%
Javier Sanoja RHB,,+870,17,16,4.00,0,0,0.312,0.312,0.312,-,0.278,-,23.1%,31.2%,16.2%,73.3,96.6,0,0,-,-,18.2%,27.3%,9.1%,69.2,5.3%,21.1%,10.5%,82.6%,9.1%,-,-,9.1%,45.5%,36.4%,27.3%,36.4%,44.4%
Kyle Stowers LHB,,+360,26,13,4.60,0,0,-,0.154,-,-,0.105,7.7%,17.4%,23.1%,9.1%,86.1,266.8,2,0,-,-,12.5%,37.5%,12.5%,74.8,52.6%,21.1%,10.5%,86.4%,25.0%,25.0%,0.0%,-,62.5%,62.5%,-,37.5%,10.0%
Jakob Marsee LHB,,+700,24,12,4.80,0,0,0.091,0.167,0.091,-,0.128,8.3%,28.6%,33.3%,12.0%,83.8,-,0,0,-,-,-,14.3%,-,68.4,5.6%,16.7%,-,90.0%,-,-,-,-,100.0%,57.1%,42.9%,-,21.4%
Liam Hicks LHB,,+800,19,12,5.00,0,0,0.111,0.333,0.111,-,0.236,25.0%,8.3%,16.7%,1.9%,70.5,176.3,0,0,-,-,14.3%,14.3%,28.6%,66.2,-,33.3%,-,81.8%,28.6%,-,-,28.6%,42.9%,57.1%,28.6%,14.3%,14.3%
Leo Jimenez RHB,—,N/A,15,12,2.60,0,1,0.250,0.250,0.417,0.167,0.286,-,24.1%,41.7%,12.1%,91.1,310.2,3,2,14.3%,-,-,42.9%,71.4%,70.9,8.0%,16.0%,8.0%,92.6%,85.8%,42.9%,0.0%,42.9%,14.3%,-,57.1%,42.9%,15.4%
Heriberto Hernandez RHB,,+333,39,12,3.80,0,0,0.182,0.250,0.273,0.091,0.234,8.3%,21.7%,25.0%,9.8%,94.0,286.9,3,2,-,-,25.0%,50.0%,50.0%,75.4,50.0%,20.0%,15.0%,90.9%,75.0%,37.5%,0.0%,37.5%,25.0%,37.5%,62.5%,-,9.1%
Owen Caissie LHB,—,N/A,11,11,2.80,0,0,0.222,0.273,0.222,-,0.221,9.1%,29.4%,36.4%,11.9%,84.9,275.7,2,0,-,-,-,16.7%,50.0%,72.8,43.8%,18.8%,-,94.1%,50.0%,16.7%,0.0%,33.3%,50.0%,16.7%,66.7%,16.7%,22.2%
Xavier Edwards SHB,,+990,26,10,4.80,0,0,0.333,0.400,0.333,-,0.332,10.0%,10.5%,10.0%,3.8%,84.6,307.5,3,2,-,-,-,37.5%,62.5%,69.4,-,29.4%,11.8%,89.5%,62.5%,12.5%,0.0%,50.0%,37.5%,25.0%,37.5%,37.5%,16.7%
Griffin Conine LHB,,+271,-,6,4.00,0,0,0.167,0.167,0.167,-,0.148,-,46.2%,16.7%,27.3%,85.5,219.9,0,0,-,-,-,40.0%,40.0%,74.6,45.5%,18.2%,18.2%,84.6%,20.0%,-,-,20.0%,80.0%,40.0%,40.0%,20.0%,33.3%
