HR Split,Overall
Dates,="6/23/2026"
Games,15

#,TIME,PITCHER,VS,HR RISK,VS LHB,VS RHB,HR/9,BARREL%,HR/FB%,HH%,FB%,MEATBALL%,BF
1,9:38 PM,Ryan Johnson,vs,1.45,0.85,1.50,3.17,8.6%,25.3%,41.1%,34.2%,9.1%,216
2,7:10 PM,Kodai Senga,vs,1.43,0.84,1.35,2.86,11.6%,28.9%,36.8%,34.5%,6.4%,682
3,7:10 PM,Edward Cabrera,@,1.29,0.79,1.29,2.33,11.8%,32.1%,44.3%,24.5%,8.1%,961
4,9:45 PM,Aaron Civale,@,1.17,1.29,0.55,2.45,11.8%,20.3%,45.7%,32.5%,6.6%,823
5,4:07 PM,Shane Bieber,vs,0.73,-0.53,1.79,1.68,11.6%,22.2%,48.6%,26.0%,6.5%,242
6,7:45 PM,Kyle Leahy,vs,0.35,0.73,-0.19,1.04,11.9%,14.0%,51.0%,24.8%,9.0%,787
7,8:40 PM,Sean Sullivan,vs,0.29,-,-0.01,2.57,0.0%,12.5%,28.6%,57.1%,10.7%,70
8,9:40 PM,JR Ritchie,@,0.26,0.77,-0.75,1.68,6.5%,21.6%,39.7%,30.2%,7.9%,257
9,7:10 PM,Brandon Sproat,@,0.22,-0.14,0.70,1.46,8.2%,18.2%,42.7%,23.4%,9.2%,461
10,6:40 PM,Cal Quantrill,@,0.20,0.15,0.12,1.59,9.3%,17.5%,40.5%,26.8%,4.9%,675
11,9:45 PM,Robbie Ray,vs,0.08,-0.11,0.08,1.13,10.7%,11.8%,37.3%,38.3%,6.3%,1200
12,7:40 PM,Sean Burke,vs,0.06,0.38,-0.55,1.45,8.7%,13.2%,35.7%,36.0%,6.2%,1046
13,7:45 PM,Eduardo Rodriguez,@,-0.04,-0.43,0.16,1.32,8.8%,16.8%,37.1%,26.9%,5.6%,1172
14,7:10 PM,Nick Lodolo,vs,-0.05,-0.98,0.34,1.47,6.6%,16.6%,39.3%,28.1%,6.6%,974
15,7:40 PM,Justin Wrobleski,@,-0.14,0.33,-0.24,0.93,7.2%,13.1%,47.8%,27.5%,8.7%,729
16,6:40 PM,Sandy Alcantara,vs,-0.17,-0.01,-0.21,1.34,7.3%,14.5%,35.9%,24.6%,7.8%,1316
17,4:07 PM,Peter Lambert,@,-0.21,-0.65,0.34,1.06,6.8%,10.6%,38.1%,39.5%,7.7%,380
18,6:40 PM,George Kirby,@,-0.24,-0.29,0.03,0.99,7.2%,13.5%,43.3%,24.1%,8.2%,1102
19,6:40 PM,Mitch Keller,vs,-0.28,-0.29,-0.03,0.97,7.8%,12.4%,43.6%,21.0%,8.0%,1222
20,8:40 PM,Sonny Gray,@,-0.34,-0.07,-0.51,1.20,5.9%,14.1%,39.9%,19.7%,8.2%,1153
21,6:40 PM,Carlos Rodon,@,-0.49,0.32,-0.58,0.90,5.3%,9.3%,39.7%,30.1%,9.1%,1093
22,6:45 PM,Jesus Luzardo,@,-0.49,-1.13,-0.12,1.05,6.8%,18.1%,29.0%,22.9%,6.2%,1280
23,9:38 PM,Shane Baz,@,-0.60,-0.48,-0.42,0.66,7.1%,9.2%,41.9%,25.3%,6.8%,1227
24,6:40 PM,Luinder Avila,@,-0.63,-0.14,-0.80,1.04,5.6%,13.3%,28.9%,26.0%,6.9%,308
25,7:40 PM,Parker Messick,@,-0.68,-0.41,-0.59,0.76,6.0%,12.7%,34.6%,24.2%,7.1%,629
26,6:40 PM,Shane McClanahan,vs,-0.73,-0.81,-0.56,0.40,7.7%,6.7%,42.9%,22.7%,7.7%,391
27,6:40 PM,Casey Mize,vs,-0.80,-0.63,-0.44,0.57,7.9%,4.1%,32.3%,31.0%,6.4%,947
28,7:40 PM,Kendry Rojas,vs,-1.25,-1.40,-0.86,0.00,8.3%,0.0%,36.1%,22.2%,5.7%,122
29,6:45 PM,PJ Poulin,vs,-,-,-,-,-,-,-,-,-,0
