Batter,Bats,Team,Pitcher,Throws,Contact,Barrel,HR,HardHit,ZoneScore
Cole Carrigg,SHB,COL,Cade Cavalli,R,53.5,21.8,37,67.2,40.9
Kyle Schwarber,LHB,PHI,Logan Gilbert,R,29.4,41.9,29.1,52,39.3
Bryce Eldridge,LHB,SF,Chase Burns,R,32.1,42.9,25,52.7,38.9
Danny Jansen,RHB,TEX,José Urquidy,R,54.8,25,28.7,60.4,37.9
Willson Contreras,RHB,BOS,Sandy Alcantara,R,40,35.3,28.4,50.2,37.4
Yandy Diaz,RHB,TB,Framber Valdez,L,15.7,48.4,21.8,47.4,36.9
Jake McCarthy,LHB,COL,Cade Cavalli,R,43.9,36.4,18.1,56.4,36.7
Tyrone Taylor,RHB,CHC,Merrill Kelly,R,38.7,35.1,32.2,42.3,36.4
Bryce Harper,LHB,PHI,Logan Gilbert,R,29.4,35.5,37.3,37.3,35.9
Derek Hill,RHB,PHI,Logan Gilbert,R,36.3,27.5,36,46.4,35.7
TJ Rumfield,LHB,COL,Cade Cavalli,R,35.2,25.1,29.2,56.8,35.3
Tim Tawa,RHB,ARI,Kevin Gausman,R,38.5,34.8,35.7,34.4,35.3
Ryan Vilade,RHB,TB,Framber Valdez,L,39.8,36.7,17.2,43.5,32.9
Justin Foscue,RHB,TEX,José Urquidy,R,34.7,33.1,28.7,34.7,32.3
Luis Campusano,RHB,SD,Braxton Ashcraft,R,42.2,28.2,18.1,50.4,32.1
Mickey Moniak,LHB,COL,Cade Cavalli,R,28.9,34.5,20.1,44.3,32.1
Jake Burger,RHB,TEX,José Urquidy,R,52.5,32.3,15.3,42.3,31.7
Kody Clemens,LHB,MIN,Jeffrey Springs,L,21.8,30.5,23.2,45.2,31.1
Ezequiel Duran,RHB,TEX,José Urquidy,R,58.3,7.9,33.6,49.5,31
Munetaka Murakami,LHB,CWS,Kumar Rocker,R,34.1,37,16.4,37.7,30.7
Wyatt Langford,RHB,TEX,José Urquidy,R,45.5,18.1,18.5,57,30.7
Denzer Guzman,RHB,LAA,Parker Messick,L,12.4,37.8,29.8,28.4,30.5
Daylen Lile,LHB,WSH,Ryan Feltner,R,19.4,28.2,19.4,50.6,30.3
James McCann,RHB,ARI,Kevin Gausman,R,49.2,17.9,32.4,36.5,30
CJ Abrams,LHB,WSH,Ryan Feltner,R,28.7,28.8,21.7,41.3,29.8
Abimelec Ortiz,LHB,WSH,Ryan Feltner,R,18.2,22.9,31.3,39.5,29.1
Dylan Crews,RHB,WSH,Ryan Feltner,R,31.1,32,16.2,39.4,29
Angel Genao,SHB,CLE,George Klassen,R,51.2,21.6,9.9,53.1,28.9
Max Muncy,RHB,ATH,Zebby Matthews,R,47.1,28.2,20.8,32.4,28.9
Willi Castro,SHB,COL,Cade Cavalli,R,38.9,26.9,18.4,37.4,28.2
