Matchup,NYM @ TOR
Pitcher,Sean Manaea
Pitcher Team,NYM
Opposing Team,TOR

,STATS,STRIKES,STATCAST
SPLIT,IP,BF,BAA,WOBA,SLG,ISO,WHIP,HR,HR/9,BB%,WHIFF%,K%,PUTAWAY%,SWSTR%,K/9,1STPS%,MEATBALL%,BARREL%,HH%,FB%,HR/FB%,PULLAIR%
Season,36.0,153,0.252,0.310,0.396,0.144,1.25,3,0.75,6.5%,24.6%,23.5%,18.8%,12.2%,9.00,51.9%,7.4%,3.9%,37.9%,21.4%,13.6%,20.4%
vsLHB,15.1,59,0.211,0.221,0.263,0.053,0.91,1,0.59,3.4%,30.0%,32.2%,29.2%,14.4%,11.15,59.3%,7.9%,2.7%,27.0%,8.1%,33.3%,8.1%
vsRHB,20.2,94,0.280,0.366,0.488,0.207,1.50,2,0.87,8.5%,21.6%,18.1%,13.4%,11.0%,7.40,47.4%,7.1%,4.5%,43.9%,28.8%,10.5%,27.3%

,,,STATS,STRIKES,STATCAST
BATTER,SAVE,ODDS,ZONE,PA,L5 PA/G,HR,NEAR HR,BA,OBP,SLG,ISO,WOBA,BB%,WHIFF%,K%,SWSTR%,EV,AVGDIST,300+,350+,BARREL%,PULLBRL%,PULLAIR%,HH%,LA SS%,BAT SPD,FAST%,SQUP%,BLAST%,COMP%,AIR%,FB%,HR/FB%,LD%,GB%,PULL%,STRAIGHT%,OPPO%,1ST PITCH SWING%
Kazuma Okamoto RHB,,+350,15,11,4.40,1,1,0.111,0.273,0.444,0.333,0.309,18.2%,33.3%,27.3%,13.3%,92.1,327.5,3,3,16.7%,-,-,66.7%,50.0%,70.7,18.2%,18.2%,4.5%,95.7%,50.0%,50.0%,33.3%,-,33.3%,33.3%,66.7%,-,38.5%
Ernie Clement RHB,,+750,30,17,3.40,0,1,0.200,0.294,0.267,0.067,0.256,11.8%,26.7%,29.4%,16.7%,81.3,236.0,4,0,-,-,10.0%,10.0%,40.0%,68.3,3.6%,17.9%,-,96.6%,60.0%,30.0%,0.0%,30.0%,20.0%,20.0%,50.0%,30.0%,41.2%
George Springer RHB,,+429,18,14,4.80,0,1,0.125,0.429,0.125,-,0.300,28.6%,25.0%,14.3%,11.6%,92.2,276.4,2,0,-,-,14.3%,42.9%,28.6%,73.0,28.0%,12.0%,4.0%,80.6%,42.9%,42.9%,0.0%,-,42.9%,28.6%,42.9%,28.6%,38.9%
Vladimir Guerrero Jr. RHB,,+454,12,14,4.60,0,1,0.333,0.429,0.417,0.083,0.374,14.3%,12.5%,35.7%,5.3%,91.3,276.6,1,0,-,-,-,28.6%,28.6%,76.4,65.5%,13.8%,6.9%,90.6%,28.6%,14.3%,0.0%,14.3%,71.4%,28.6%,14.3%,57.1%,15.8%
Yohendrick Pinango LHB,—,N/A,5,13,3.80,0,1,0.077,0.077,0.154,0.077,0.098,-,32.1%,30.8%,20.0%,92.3,276.6,3,2,11.1%,-,-,44.4%,44.4%,74.5,41.7%,25.0%,16.7%,85.7%,66.7%,11.1%,0.0%,55.6%,33.3%,11.1%,55.6%,33.3%,30.8%
Andres Gimenez LHB,,+1080,19,13,3.00,0,0,0.333,0.385,0.417,0.083,0.358,-,25.0%,15.4%,15.8%,81.6,276.5,3,1,-,-,-,20.0%,30.0%,66.3,-,30.4%,4.3%,100.0%,40.0%,20.0%,0.0%,20.0%,40.0%,10.0%,50.0%,40.0%,43.8%
Myles Straw RHB,,+1500,15,11,1.80,0,0,0.111,0.182,0.222,0.111,0.174,9.1%,8.3%,9.1%,4.7%,77.8,232.2,1,0,-,-,11.1%,11.1%,22.2%,67.5,-,13.0%,-,95.8%,44.4%,22.2%,0.0%,22.2%,44.4%,11.1%,55.6%,33.3%,25.0%
Nathan Lukes LHB,,+1360,5,11,3.00,0,0,0.182,0.182,0.182,-,0.162,-,43.8%,45.5%,17.9%,75.7,265.1,0,0,-,-,-,-,33.3%,64.8,-,18.2%,-,78.6%,33.3%,-,-,33.3%,50.0%,-,50.0%,50.0%,27.3%
Brandon Valenzuela SHB,—,N/A,32,10,3.80,0,0,0.375,0.400,0.625,0.250,0.408,10.0%,9.5%,20.0%,4.3%,90.7,299.8,3,1,-,-,28.6%,28.6%,71.4%,72.6,26.3%,31.6%,5.3%,90.5%,71.5%,42.9%,0.0%,28.6%,28.6%,57.1%,-,42.9%,45.5%
Daulton Varsho LHB,,+630,22,10,4.60,0,1,0.400,0.400,0.700,0.300,0.467,-,15.0%,30.0%,6.4%,86.0,199.0,1,1,14.3%,-,28.6%,42.9%,42.9%,72.4,16.7%,22.2%,11.1%,90.0%,57.2%,28.6%,0.0%,28.6%,28.6%,28.6%,28.6%,42.9%,23.1%
Alejandro Kirk RHB,,+575,3,6,3.40,0,0,0.333,0.333,0.500,0.167,0.360,-,41.2%,50.0%,16.3%,89.4,371.7,1,1,-,-,-,33.3%,66.7%,68.8,-,12.5%,-,94.1%,33.3%,-,-,33.3%,66.7%,-,66.7%,33.3%,14.3%
Luis Urias RHB,—,N/A,3,5,2.75,0,0,0.200,0.200,0.200,-,0.178,-,13.3%,20.0%,10.0%,87.2,283.5,1,0,-,-,-,-,50.0%,71.0,7.7%,23.1%,-,86.7%,75.0%,50.0%,0.0%,25.0%,25.0%,25.0%,75.0%,-,66.7%
